Dataset,size_bucket,Method,hop_distance,support,recovered,recall,kind
CellOntology_SUB,0-150,Density_m1,1,135,109,0.8074074074074075,direct
CellOntology_SUB,0-150,Density_m1,2,141,125,0.8865248226950354,indirect
CellOntology_SUB,0-150,Density_m1,3,121,109,0.9008264462809917,indirect
CellOntology_SUB,0-150,Density_m1,4,92,83,0.9021739130434783,indirect
CellOntology_SUB,0-150,Density_m1,5,69,62,0.8985507246376812,indirect
CellOntology_SUB,0-150,Density_m1,6,33,30,0.9090909090909091,indirect
CellOntology_SUB,0-150,Density_m1,7,12,10,0.8333333333333334,indirect
CellOntology_SUB,0-150,Density_m1,8,2,1,0.5,indirect
CellOntology_SUB,0-150,Density_m10,1,135,89,0.6592592592592592,direct
CellOntology_SUB,0-150,Density_m10,2,141,91,0.6453900709219859,indirect
CellOntology_SUB,0-150,Density_m10,3,121,80,0.6611570247933884,indirect
CellOntology_SUB,0-150,Density_m10,4,92,62,0.6739130434782609,indirect
CellOntology_SUB,0-150,Density_m10,5,69,51,0.7391304347826086,indirect
CellOntology_SUB,0-150,Density_m10,6,33,29,0.8787878787878788,indirect
CellOntology_SUB,0-150,Density_m10,7,12,9,0.75,indirect
CellOntology_SUB,0-150,Density_m10,8,2,1,0.5,indirect
CellOntology_SUB,0-150,Density_m100,1,135,79,0.5851851851851851,direct
CellOntology_SUB,0-150,Density_m100,2,141,71,0.5035460992907801,indirect
CellOntology_SUB,0-150,Density_m100,3,121,56,0.4628099173553719,indirect
CellOntology_SUB,0-150,Density_m100,4,92,38,0.41304347826086957,indirect
CellOntology_SUB,0-150,Density_m100,5,69,29,0.42028985507246375,indirect
CellOntology_SUB,0-150,Density_m100,6,33,15,0.45454545454545453,indirect
CellOntology_SUB,0-150,Density_m100,7,12,6,0.5,indirect
CellOntology_SUB,0-150,Density_m100,8,2,1,0.5,indirect
CellOntology_SUB,0-150,Density_m2,1,135,103,0.762962962962963,direct
CellOntology_SUB,0-150,Density_m2,2,141,111,0.7872340425531915,indirect
CellOntology_SUB,0-150,Density_m2,3,121,100,0.8264462809917356,indirect
CellOntology_SUB,0-150,Density_m2,4,92,79,0.8586956521739131,indirect
CellOntology_SUB,0-150,Density_m2,5,69,59,0.855072463768116,indirect
CellOntology_SUB,0-150,Density_m2,6,33,28,0.8484848484848485,indirect
CellOntology_SUB,0-150,Density_m2,7,12,10,0.8333333333333334,indirect
CellOntology_SUB,0-150,Density_m2,8,2,2,1.0,indirect
CellOntology_SUB,0-150,Density_m25,1,135,79,0.5851851851851851,direct
CellOntology_SUB,0-150,Density_m25,2,141,92,0.6524822695035462,indirect
CellOntology_SUB,0-150,Density_m25,3,121,81,0.6694214876033058,indirect
CellOntology_SUB,0-150,Density_m25,4,92,60,0.6521739130434783,indirect
CellOntology_SUB,0-150,Density_m25,5,69,44,0.6376811594202898,indirect
CellOntology_SUB,0-150,Density_m25,6,33,19,0.5757575757575758,indirect
CellOntology_SUB,0-150,Density_m25,7,12,6,0.5,indirect
CellOntology_SUB,0-150,Density_m25,8,2,0,0.0,indirect
CellOntology_SUB,0-150,Density_m5,1,135,82,0.6074074074074074,direct
CellOntology_SUB,0-150,Density_m5,2,141,78,0.5531914893617021,indirect
CellOntology_SUB,0-150,Density_m5,3,121,70,0.5785123966942148,indirect
CellOntology_SUB,0-150,Density_m5,4,92,52,0.5652173913043478,indirect
CellOntology_SUB,0-150,Density_m5,5,69,41,0.5942028985507246,indirect
CellOntology_SUB,0-150,Density_m5,6,33,24,0.7272727272727273,indirect
CellOntology_SUB,0-150,Density_m5,7,12,7,0.5833333333333334,indirect
CellOntology_SUB,0-150,Density_m5,8,2,1,0.5,indirect
CellOntology_SUB,0-150,Density_m50,1,135,71,0.5259259259259259,direct
CellOntology_SUB,0-150,Density_m50,2,141,76,0.5390070921985816,indirect
CellOntology_SUB,0-150,Density_m50,3,121,63,0.5206611570247934,indirect
CellOntology_SUB,0-150,Density_m50,4,92,50,0.5434782608695652,indirect
CellOntology_SUB,0-150,Density_m50,5,69,35,0.5072463768115942,indirect
CellOntology_SUB,0-150,Density_m50,6,33,10,0.30303030303030304,indirect
CellOntology_SUB,0-150,Density_m50,7,12,1,0.08333333333333333,indirect
CellOntology_SUB,0-150,Density_m50,8,2,0,0.0,indirect
CellOntology_SUB,0-150,LLMZero,1,135,7,0.05185185185185185,direct
CellOntology_SUB,0-150,LLMZero,2,141,9,0.06382978723404255,indirect
CellOntology_SUB,0-150,LLMZero,3,121,4,0.03305785123966942,indirect
CellOntology_SUB,0-150,LLMZero,4,92,3,0.03260869565217391,indirect
CellOntology_SUB,0-150,LLMZero,5,69,3,0.043478260869565216,indirect
CellOntology_SUB,0-150,LLMZero,6,33,3,0.09090909090909091,indirect
CellOntology_SUB,0-150,LLMZero,7,12,2,0.16666666666666666,indirect
CellOntology_SUB,0-150,LLMZero,8,2,0,0.0,indirect
CellOntology_SUB,0-150,Lexical,1,135,44,0.32592592592592595,direct
CellOntology_SUB,0-150,Lexical,2,141,37,0.2624113475177305,indirect
CellOntology_SUB,0-150,Lexical,3,121,26,0.21487603305785125,indirect
CellOntology_SUB,0-150,Lexical,4,92,15,0.16304347826086957,indirect
CellOntology_SUB,0-150,Lexical,5,69,11,0.15942028985507245,indirect
CellOntology_SUB,0-150,Lexical,6,33,7,0.21212121212121213,indirect
CellOntology_SUB,0-150,Lexical,7,12,2,0.16666666666666666,indirect
CellOntology_SUB,0-150,Lexical,8,2,1,0.5,indirect
CellOntology_SUB,0-150,OurMethod,1,135,109,0.8074074074074075,direct
CellOntology_SUB,0-150,OurMethod,2,141,132,0.9361702127659575,indirect
CellOntology_SUB,0-150,OurMethod,3,121,115,0.9504132231404959,indirect
CellOntology_SUB,0-150,OurMethod,4,92,88,0.9565217391304348,indirect
CellOntology_SUB,0-150,OurMethod,5,69,64,0.927536231884058,indirect
CellOntology_SUB,0-150,OurMethod,6,33,31,0.9393939393939394,indirect
CellOntology_SUB,0-150,OurMethod,7,12,11,0.9166666666666666,indirect
CellOntology_SUB,0-150,OurMethod,8,2,2,1.0,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_k1000_clawback0,1,135,100,0.7407407407407407,direct
CellOntology_SUB,0-150,Our_Method_+restructure_k1000_clawback0,2,141,120,0.851063829787234,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_k1000_clawback0,3,121,106,0.8760330578512396,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_k1000_clawback0,4,92,79,0.8586956521739131,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_k1000_clawback0,5,69,59,0.855072463768116,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_k1000_clawback0,6,33,28,0.8484848484848485,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_k1000_clawback0,7,12,10,0.8333333333333334,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_k1000_clawback0,8,2,1,0.5,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,1,135,109,0.8074074074074075,direct
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,2,141,127,0.900709219858156,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,3,121,111,0.9173553719008265,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,4,92,83,0.9021739130434783,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,5,69,60,0.8695652173913043,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,6,33,29,0.8787878787878788,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,7,12,10,0.8333333333333334,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,8,2,1,0.5,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_neighborhood_k1000_clawback0,1,135,109,0.8074074074074075,direct
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_neighborhood_k1000_clawback0,2,141,127,0.900709219858156,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_neighborhood_k1000_clawback0,3,121,110,0.9090909090909091,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_neighborhood_k1000_clawback0,4,92,82,0.8913043478260869,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_neighborhood_k1000_clawback0,5,69,59,0.855072463768116,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_neighborhood_k1000_clawback0,6,33,28,0.8484848484848485,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_neighborhood_k1000_clawback0,7,12,9,0.75,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_neighborhood_k1000_clawback0,8,2,1,0.5,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_salience_k1000_clawback0,1,135,109,0.8074074074074075,direct
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_salience_k1000_clawback0,2,141,127,0.900709219858156,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_salience_k1000_clawback0,3,121,111,0.9173553719008265,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_salience_k1000_clawback0,4,92,83,0.9021739130434783,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_salience_k1000_clawback0,5,69,60,0.8695652173913043,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_salience_k1000_clawback0,6,33,29,0.8787878787878788,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_salience_k1000_clawback0,7,12,10,0.8333333333333334,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_salience_k1000_clawback0,8,2,1,0.5,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_self_agreement_k1000_clawback0,1,135,109,0.8074074074074075,direct
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_self_agreement_k1000_clawback0,2,141,127,0.900709219858156,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_self_agreement_k1000_clawback0,3,121,111,0.9173553719008265,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_self_agreement_k1000_clawback0,4,92,83,0.9021739130434783,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_self_agreement_k1000_clawback0,5,69,60,0.8695652173913043,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_self_agreement_k1000_clawback0,6,33,29,0.8787878787878788,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_self_agreement_k1000_clawback0,7,12,10,0.8333333333333334,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_+rank_self_agreement_k1000_clawback0,8,2,1,0.5,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_k1000_clawback0,1,135,109,0.8074074074074075,direct
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_k1000_clawback0,2,141,127,0.900709219858156,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_k1000_clawback0,3,121,111,0.9173553719008265,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_k1000_clawback0,4,92,83,0.9021739130434783,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_k1000_clawback0,5,69,59,0.855072463768116,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_k1000_clawback0,6,33,28,0.8484848484848485,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_k1000_clawback0,7,12,9,0.75,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top10_k1000_clawback0,8,2,1,0.5,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top25_k1000_clawback0,1,135,109,0.8074074074074075,direct
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top25_k1000_clawback0,2,141,127,0.900709219858156,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top25_k1000_clawback0,3,121,111,0.9173553719008265,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top25_k1000_clawback0,4,92,83,0.9021739130434783,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top25_k1000_clawback0,5,69,59,0.855072463768116,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top25_k1000_clawback0,6,33,28,0.8484848484848485,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top25_k1000_clawback0,7,12,9,0.75,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_prune_only_top25_k1000_clawback0,8,2,1,0.5,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_ranked_k1000_clawback0,1,135,19,0.14074074074074075,direct
CellOntology_SUB,0-150,Our_Method_+restructure_ranked_k1000_clawback0,2,141,33,0.23404255319148937,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_ranked_k1000_clawback0,3,121,37,0.30578512396694213,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_ranked_k1000_clawback0,4,92,34,0.3695652173913043,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_ranked_k1000_clawback0,5,69,28,0.4057971014492754,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_ranked_k1000_clawback0,6,33,14,0.42424242424242425,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_ranked_k1000_clawback0,7,12,6,0.5,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_ranked_k1000_clawback0,8,2,0,0.0,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_ranked_top25_k1000_clawback0,1,135,109,0.8074074074074075,direct
CellOntology_SUB,0-150,Our_Method_+restructure_ranked_top25_k1000_clawback0,2,141,127,0.900709219858156,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_ranked_top25_k1000_clawback0,3,121,111,0.9173553719008265,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_ranked_top25_k1000_clawback0,4,92,83,0.9021739130434783,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_ranked_top25_k1000_clawback0,5,69,59,0.855072463768116,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_ranked_top25_k1000_clawback0,6,33,28,0.8484848484848485,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_ranked_top25_k1000_clawback0,7,12,9,0.75,indirect
CellOntology_SUB,0-150,Our_Method_+restructure_ranked_top25_k1000_clawback0,8,2,1,0.5,indirect
CellOntology_SUB,0-150,Our_Method_alt_Prompt_k1000_clawback0,1,135,112,0.8296296296296296,direct
CellOntology_SUB,0-150,Our_Method_alt_Prompt_k1000_clawback0,2,141,131,0.9290780141843972,indirect
CellOntology_SUB,0-150,Our_Method_alt_Prompt_k1000_clawback0,3,121,116,0.9586776859504132,indirect
CellOntology_SUB,0-150,Our_Method_alt_Prompt_k1000_clawback0,4,92,89,0.967391304347826,indirect
CellOntology_SUB,0-150,Our_Method_alt_Prompt_k1000_clawback0,5,69,64,0.927536231884058,indirect
CellOntology_SUB,0-150,Our_Method_alt_Prompt_k1000_clawback0,6,33,31,0.9393939393939394,indirect
CellOntology_SUB,0-150,Our_Method_alt_Prompt_k1000_clawback0,7,12,11,0.9166666666666666,indirect
CellOntology_SUB,0-150,Our_Method_alt_Prompt_k1000_clawback0,8,2,2,1.0,indirect
CellOntology_SUB,0-150,Our_Method_alt_Prompt_k=1000,1,135,82,0.6074074074074074,direct
CellOntology_SUB,0-150,Our_Method_alt_Prompt_k=1000,2,141,88,0.624113475177305,indirect
CellOntology_SUB,0-150,Our_Method_alt_Prompt_k=1000,3,121,81,0.6694214876033058,indirect
CellOntology_SUB,0-150,Our_Method_alt_Prompt_k=1000,4,92,61,0.6630434782608695,indirect
CellOntology_SUB,0-150,Our_Method_alt_Prompt_k=1000,5,69,49,0.7101449275362319,indirect
CellOntology_SUB,0-150,Our_Method_alt_Prompt_k=1000,6,33,25,0.7575757575757576,indirect
