Method,best_syn_count,precision,recall,f1,max_syn_count_seen
Our_Method_legacy_vocab_fix_k1000_clawback0,1,0.7656467315716272,0.796875,0.7809488046063338,4
Our_Method_k1000_clawback0_gemini31b,1,0.6682615629984051,0.9337016574585635,0.7789903301393823,2
Our_Method_k1000_clawback0,1,0.6643862140183296,0.8965289256198347,0.7631951840617783,2
Our_Method_k=100,1,0.6256983240223464,0.835820895522388,0.7156549520766773,1
Our_Method_k1000_clawback20,1,0.6026405451448041,0.8669833729216152,0.7110381452914675,5
Density_m1,1,0.6229975861312267,0.8249043773905652,0.709873249502876,6
Our_Method_k1000_clawback25,1,0.6251400821815465,0.7996694214876033,0.7017154315429264,9
Our_Method_+restructure_ranked_top25_k1000_clawback0,1,0.6097732466162771,0.8211570247933885,0.6998518306510474,9
Our_Method_oneway_k1000_clawback0,1,0.6255291436014327,0.7933884297520661,0.699529830803574,9
Our_Method_+restructure_prune_only_top10_k1000_clawback0,1,0.6069160197600565,0.8165289256198347,0.6962889392590991,9
Our_Method_full_json_k1000_clawback0,1,0.6027572940044886,0.819504132231405,0.6946150462318321,6
Our_Method_+restructure_prune_only_top25_k1000_clawback0,1,0.6098135071519102,0.8049586776859504,0.6939275165468283,9
Our_Method_k1000_clawback50,1,0.614256480218281,0.7937190082644628,0.6925504716339371,5
Our_Method_k1000_clawback75,1,0.6223788546255506,0.7801652892561983,0.6923965727054113,4
Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,1,0.6095840867992767,0.7993388429752066,0.6916833111889589,9
Our_Method_k1000_clawback100,1,0.6276788957500908,0.7662809917355372,0.6900893075114479,4
Our_Method_+restructure_prune_only_top10_+rank_neighborhood_k1000_clawback0,1,0.6068814055636896,0.7963636363636364,0.6888294895556875,9
Our_Method_+restructure_prune_only_top10_+rank_self_agreement_k1000_clawback0,1,0.5909708078750848,0.8244628099173553,0.688458217630479,9
Our_Method_isa_k1000_clawback0,1,0.5712603062426383,0.8548760330578512,0.684866840548577,4
Our_Method_k1000_clawback10,1,0.5861370716510903,0.8231404958677686,0.6847099122634744,5
Our_Method_k1000_clawback5,1,0.5803831417624521,0.827107438016529,0.6821206768240062,5
Our_Method_k1000_clawback40,1,0.5566731141199226,0.8764845605700713,0.680895617317354,7
Our_Method_k1000_clawback30,1,0.5562427522226517,0.8764845605700713,0.6805735884267204,7
Our_Method_no_conversational_k1000_clawback0,1,0.5697946809976574,0.8403305785123967,0.6791111508525304,4
Density_m2,1,0.6308503625576797,0.7343816404589886,0.6786903956478674,2
Our_Method_k1000_clawback15,1,0.5498662590752771,0.8764845605700713,0.6757794503567311,7
Our_Method_k1000_clawback8,1,0.5490270888973674,0.8764845605700713,0.6751453303563709,7
Our_Method_k1000_clawback6,1,0.5490270888973674,0.8764845605700713,0.6751453303563709,7
Our_Method_k1000_clawback4,1,0.5490270888973674,0.8764845605700713,0.6751453303563709,7
Our_Method_k1000_clawback2,1,0.5490270888973674,0.8764845605700713,0.6751453303563709,7
Our_Method_k1000_clawback0_gemma4b,1,0.5539568345323741,0.8631534211644709,0.6748236207900925,9
Our_Method_+restructure_prune_only_top10_+rank_salience_k1000_clawback0,1,0.571875,0.8208264462809918,0.674100145756916,9
Our_Method_no_restriction_k1000_clawback0,1,0.5610975766123862,0.8386776859504133,0.672365099929102,3
Our_Method_no_example_k1000_clawback0,1,0.5609521188772703,0.8347107438016529,0.6709826175161013,5
Our_Method_full_k1000_clawback0,1,0.5546564257303525,0.8482644628099174,0.6707368018531303,6
Our_Method_direct_k1000_clawback0,1,0.5354131534569984,0.8876033057851239,0.6679254928960872,6
Our_Method_no_quantifier_k1000_clawback0,1,0.5072653644592663,0.8813223140495868,0.6439122163643731,8
OurMethod_k50,1,0.5064377682403434,0.8805970149253731,0.6430517711171662,1
Our_Method_+restructure_k1000_clawback0,1,0.5869366903849662,0.7028099173553719,0.6396681710758837,7
Our_Method_alt_Prompt_k1000_clawback0,1,0.48617637416675774,0.8816528925619834,0.6267431425919677,4
Density_m10,1,0.6982712047541869,0.5673608159796005,0.6260456657452487,2
Density_m5,1,0.7112676056338029,0.5580110497237569,0.6253869969040249,3
SingleCall_gemma4b,1,0.7184035476718403,0.5507862303442413,0.6235265816694732,1
Density_m25,1,0.6974373105538716,0.5575860603484913,0.619719650403282,6
SingleCall_matched,1,0.7014367816091954,0.5520611984700382,0.6178486706163846,2
Density_m100,1,0.6495702800110895,0.5818104547386316,0.6138260398799662,2
Our_Method_+restructure_ranked_k1000_clawback0,1,0.6089972255251684,0.584793388429752,0.596649943291696,4
Density_m50,1,0.6439373109705802,0.5490862728431789,0.592741238015109,4
SingleCall_gemini31b,1,0.7356770833333334,0.48916277093072674,0.5876128856205326,2
Our_Method_k25_clawback0,1,0.3930993218986837,0.8819587628865979,0.5438142713187958,7
Our_Method_k=10,1,0.3389261744966443,0.9552238805970149,0.5003289600990751,2
SingleCall,1,0.7569204152249135,0.3718657033574161,0.4987175833570818,1
Our_Method_alt_Prompt_k=1000,1,0.5893181228934405,0.3851239669421488,0.465826621503831,4
OurMethod,1,0.3173910730435708,0.80343163538874,0.4550265210630023,4
SingleCall_nomerge,1,0.7289628180039139,0.3166170845728857,0.44148148148148153,1
Our_Method_k=1000,1,0.2857799294330024,0.7991089240590504,0.42100034707113115,5
Our_Method_legacy_json_k1000_clawback0,1,0.5164596273291926,0.2793388429752066,0.3625722846296995,2
SBU_Batch,1,0.6227163047225095,0.20002214471571722,0.3027865074376702,1
TaxoLLaMA_PPL15.0,1,0.3310673011556764,0.2758425375247805,0.3009423760234821,1
LLMZero,1,0.6078876436373953,0.1446286472148541,0.23366395818044502,4
Lexical,1,0.46285260230433056,0.1348691826811762,0.20887494397131331,1
SBU_Embedding,1,0.13429425206538934,0.08844639962954387,0.10665177636630138,1
Vector,1,0.07289652703186537,0.14307800421644412,0.09658444022770397,1
