Method,syn_count,n_nodes,gt_incident,gt_recovered,pred_incident,pred_correct,recall,precision,f1
Density_m1,1,718,4706,3882,4557,2839,0.8249043773905652,0.6229975861312267,0.709873249502876
Density_m1,2,15,0,0,370,233,,0.6297297297297297,
Density_m1,3,3,0,0,86,59,,0.686046511627907,
Density_m1,6,1,0,0,91,91,,1.0,
Density_m10,1,708,4706,2670,3702,2585,0.5673608159796005,0.6982712047541869,0.6260456657452487
Density_m10,2,4,0,0,36,27,,0.75,
Density_m100,1,706,4706,2738,3607,2343,0.5818104547386316,0.6495702800110895,0.6138260398799662
Density_m100,2,9,0,0,307,179,,0.5830618892508144,
Density_m2,1,715,4706,3456,4551,2871,0.7343816404589886,0.6308503625576797,0.6786903956478674
Density_m2,2,14,0,0,333,313,,0.93993993993994,
Density_m25,1,708,4706,2624,3629,2531,0.5575860603484913,0.6974373105538716,0.619719650403282
Density_m25,2,4,0,0,40,28,,0.7,
Density_m25,6,1,0,0,3,1,,0.3333333333333333,
Density_m5,1,710,4706,2626,3550,2525,0.5580110497237569,0.7112676056338029,0.6253869969040249
Density_m5,2,5,0,0,31,24,,0.7741935483870968,
Density_m5,3,1,0,0,9,9,,1.0,
Density_m50,1,708,4706,2584,3637,2342,0.5490862728431789,0.6439373109705802,0.592741238015109
Density_m50,2,6,0,0,200,176,,0.88,
Density_m50,4,1,0,0,27,26,,0.9629629629629629,
LLMZero,1,4249,30160,4362,7049,4285,0.1446286472148541,0.6078876436373953,0.23366395818044502
LLMZero,2,1,0,0,2,0,,0.0,
LLMZero,3,1,0,0,3,1,,0.3333333333333333,
LLMZero,4,1,0,0,54,54,,1.0,
Lexical,1,2695,17276,2330,5034,2330,0.1348691826811762,0.46285260230433056,0.20887494397131331
OurMethod,1,3072,18650,14984,37594,11932,0.80343163538874,0.3173910730435708,0.4550265210630023
OurMethod,2,75,0,0,2866,770,,0.2686671318911375,
OurMethod,3,10,0,0,400,197,,0.4925,
OurMethod,4,2,0,0,122,95,,0.7786885245901639,
OurMethod_k50,1,100,536,472,932,472,0.8805970149253731,0.5064377682403434,0.6430517711171662
Our_Method_+restructure_k1000_clawback0,1,1021,6050,4252,5481,3217,0.7028099173553719,0.5869366903849662,0.6396681710758837
Our_Method_+restructure_k1000_clawback0,2,29,0,0,435,253,,0.5816091954022988,
Our_Method_+restructure_k1000_clawback0,3,2,0,0,111,63,,0.5675675675675675,
Our_Method_+restructure_k1000_clawback0,7,1,0,0,45,45,,1.0,
Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,1,1019,6050,4836,5530,3371,0.7993388429752066,0.6095840867992767,0.6916833111889589
Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,2,30,0,0,426,258,,0.6056338028169014,
Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,3,2,0,0,121,62,,0.512396694214876,
Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,7,1,0,0,81,81,,1.0,
Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,9,1,0,0,84,84,,1.0,
Our_Method_+restructure_prune_only_top10_+rank_neighborhood_k1000_clawback0,1,1023,6050,4818,5464,3316,0.7963636363636364,0.6068814055636896,0.6888294895556875
