Dataset,Method,syn_count,n_nodes,gt_incident,gt_recovered,pred_incident,pred_correct,recall,precision,f1
CellOntology_SUB,Density_m1,1,108,1210,1058,1266,939,0.8743801652892562,0.7417061611374408,0.8025971696764204
CellOntology_SUB,Density_m1,2,3,0,0,6,1,,0.16666666666666666,
CellOntology_SUB,Density_m1,3,1,0,0,22,16,,0.7272727272727273,
CellOntology_SUB,Density_m10,1,105,1210,824,947,774,0.6809917355371901,0.8173178458289335,0.7429528653338521
CellOntology_SUB,Density_m10,2,1,0,0,19,16,,0.8421052631578947,
CellOntology_SUB,Density_m100,1,104,1210,590,608,590,0.48760330578512395,0.9703947368421053,0.6490649064906491
CellOntology_SUB,Density_m2,1,106,1210,984,910,784,0.8132231404958677,0.8615384615384616,0.8366838748861222
CellOntology_SUB,Density_m2,2,3,0,0,120,116,,0.9666666666666667,
CellOntology_SUB,Density_m25,1,105,1210,762,812,760,0.6297520661157024,0.9359605911330049,0.752913522593126
CellOntology_SUB,Density_m5,1,105,1210,710,758,696,0.5867768595041323,0.9182058047493403,0.7159975078603822
CellOntology_SUB,Density_m50,1,105,1210,612,580,531,0.5057851239669422,0.9155172413793103,0.6515925290986194
CellOntology_SUB,Density_m50,2,1,0,0,82,65,,0.7926829268292683,
CellOntology_SUB,LLMZero,1,104,1210,62,62,62,0.0512396694214876,1.0,0.09748427672955975
CellOntology_SUB,Lexical,1,104,1210,286,290,286,0.23636363636363636,0.9862068965517241,0.3813333333333333
CellOntology_SUB,OurMethod,1,113,1210,1104,951,620,0.912396694214876,0.6519453207150369,0.7604893939461276
CellOntology_SUB,OurMethod,2,8,0,0,55,27,,0.4909090909090909,
CellOntology_SUB,OurMethod,3,2,0,0,112,105,,0.9375,
CellOntology_SUB,Our_Method_+restructure_k1000_clawback0,1,111,1210,1006,811,553,0.8314049586776859,0.6818742293464858,0.7492518498366326
CellOntology_SUB,Our_Method_+restructure_k1000_clawback0,2,6,0,0,122,114,,0.9344262295081968,
CellOntology_SUB,Our_Method_+restructure_k1000_clawback0,3,1,0,0,21,15,,0.7142857142857143,
CellOntology_SUB,Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,1,111,1210,1060,901,603,0.8760330578512396,0.6692563817980022,0.7588102262137247
CellOntology_SUB,Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,2,7,0,0,124,114,,0.9193548387096774,
CellOntology_SUB,Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,3,1,0,0,35,15,,0.42857142857142855,
CellOntology_SUB,Our_Method_+restructure_prune_only_top10_+rank_neighborhood_k1000_clawback0,1,111,1210,1050,877,596,0.8677685950413223,0.6795895096921323,0.7622365271831475
CellOntology_SUB,Our_Method_+restructure_prune_only_top10_+rank_neighborhood_k1000_clawback0,2,7,0,0,122,113,,0.9262295081967213,
CellOntology_SUB,Our_Method_+restructure_prune_only_top10_+rank_neighborhood_k1000_clawback0,3,1,0,0,35,15,,0.42857142857142855,
CellOntology_SUB,Our_Method_+restructure_prune_only_top10_+rank_salience_k1000_clawback0,1,111,1210,1060,901,603,0.8760330578512396,0.6692563817980022,0.7588102262137247
CellOntology_SUB,Our_Method_+restructure_prune_only_top10_+rank_salience_k1000_clawback0,2,7,0,0,124,114,,0.9193548387096774,
CellOntology_SUB,Our_Method_+restructure_prune_only_top10_+rank_salience_k1000_clawback0,3,1,0,0,35,15,,0.42857142857142855,
CellOntology_SUB,Our_Method_+restructure_prune_only_top10_+rank_self_agreement_k1000_clawback0,1,111,1210,1060,901,603,0.8760330578512396,0.6692563817980022,0.7588102262137247
CellOntology_SUB,Our_Method_+restructure_prune_only_top10_+rank_self_agreement_k1000_clawback0,2,7,0,0,124,114,,0.9193548387096774,
CellOntology_SUB,Our_Method_+restructure_prune_only_top10_+rank_self_agreement_k1000_clawback0,3,1,0,0,35,15,,0.42857142857142855,
CellOntology_SUB,Our_Method_+restructure_prune_only_top10_k1000_clawback0,1,111,1210,1054,877,597,0.8710743801652893,0.6807297605473204,0.7642282149814662
CellOntology_SUB,Our_Method_+restructure_prune_only_top10_k1000_clawback0,2,7,0,0,124,114,,0.9193548387096774,
CellOntology_SUB,Our_Method_+restructure_prune_only_top10_k1000_clawback0,3,1,0,0,35,15,,0.42857142857142855,
CellOntology_SUB,Our_Method_+restructure_prune_only_top25_k1000_clawback0,1,111,1210,1054,875,597,0.8710743801652893,0.6822857142857143,0.7652077683598643
CellOntology_SUB,Our_Method_+restructure_prune_only_top25_k1000_clawback0,2,7,0,0,124,114,,0.9193548387096774,
