Method,n_nodes,n_multi_syn_nodes,recall_syn1,recall_syn2plus,recall_lift,precision_syn1,precision_syn2plus,precision_lift,spearman_recall
Density_m1,737,19,0.8249043773905652,,,0.6229975861312267,0.70018281535649,0.07718522922526327,
Density_m10,712,4,0.5673608159796005,,,0.6982712047541869,0.75,0.051728795245813086,
Density_m100,715,9,0.5818104547386316,,,0.6495702800110895,0.5830618892508144,-0.06650839076027515,
Density_m2,729,14,0.7343816404589886,,,0.6308503625576797,0.93993993993994,0.3090895773822603,
Density_m25,713,5,0.5575860603484913,,,0.6974373105538716,0.6744186046511628,-0.023018705902708825,
Density_m5,716,6,0.5580110497237569,,,0.7112676056338029,0.825,0.11373239436619709,
Density_m50,715,7,0.5490862728431789,,,0.6439373109705802,0.8898678414096917,0.2459305304391115,
LLMZero,4252,3,0.1446286472148541,,,0.6078876436373953,0.9322033898305084,0.3243157461931131,
Lexical,2695,0,0.1348691826811762,,,0.46285260230433056,,,
OurMethod,3159,87,0.80343163538874,,,0.3173910730435708,0.31345926800472257,-0.003931805038848213,
OurMethod_k50,100,0,0.8805970149253731,,,0.5064377682403434,,,
Our_Method_+restructure_k1000_clawback0,1053,32,0.7028099173553719,,,0.5869366903849662,0.61082910321489,0.023892412829923826,
Our_Method_+restructure_prune_only_top10_+rank_leverage_k1000_clawback0,1053,34,0.7993388429752066,,,0.6095840867992767,0.6811797752808989,0.07159568848162223,
Our_Method_+restructure_prune_only_top10_+rank_neighborhood_k1000_clawback0,1057,34,0.7963636363636364,,,0.6068814055636896,0.6648793565683646,0.057997951004674975,
Our_Method_+restructure_prune_only_top10_+rank_salience_k1000_clawback0,1058,34,0.8208264462809918,,,0.571875,0.6407894736842106,0.06891447368421055,
Our_Method_+restructure_prune_only_top10_+rank_self_agreement_k1000_clawback0,1059,34,0.8244628099173553,,,0.5909708078750848,0.6473684210526316,0.05639761317754677,
Our_Method_+restructure_prune_only_top10_k1000_clawback0,1057,34,0.8165289256198347,,,0.6069160197600565,0.7017045454545454,0.09478852569448892,
Our_Method_+restructure_prune_only_top25_k1000_clawback0,1058,34,0.8049586776859504,,,0.6098135071519102,0.7107913669064748,0.10097785975456464,
Our_Method_+restructure_ranked_k1000_clawback0,1027,18,0.584793388429752,,,0.6089972255251684,0.6804511278195489,0.07145390229438042,
Our_Method_+restructure_ranked_top25_k1000_clawback0,1059,34,0.8211570247933885,,,0.6097732466162771,0.6973125884016973,0.08753934178542022,
Our_Method_alt_Prompt_k1000_clawback0,1049,26,0.8816528925619834,,,0.48617637416675774,0.5240715268225584,0.03789515265580068,
Our_Method_alt_Prompt_k=1000,1000,3,0.3851239669421488,,,0.5893181228934405,0.7391304347826086,0.1498123118891681,
