dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
CellOntology_SUB,duct epithelial cell,cholangiocyte,10,0.0,1,1,0
CellOntology_SUB,duct epithelial cell,branched duct epithelial cell,5,1.0,2,2,0
CellOntology_SUB,epithelial cell,ecto-epithelial cell,6,0.0,2,2,0
CellOntology_SUB,epithelial cell,endo-epithelial cell,3,1.0,2,2,0
CellOntology_SUB,epithelial cell,secretory epithelial cell,30,0.0,2,2,0
CellOntology_SUB,epithelial cell,respiratory tract epithelial cell,9,0.0,2,2,0
CellOntology_SUB,epithelial cell,epithelial cell of alimentary canal,6,0.0,2,2,0
CellOntology_SUB,epithelial cell,columnarcuboidal epithelial cell,3,1.0,2,2,0
CellOntology_SUB,epithelial cell,sensory epithelial cell,12,0.0,2,2,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",nucleate cell,93,0.0,2,4,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",motile cell,1,1.0,2,3,0
CellOntology_SUB,nucleate cell,single nucleate cell,2,1.0,2,2,0
CellOntology_SUB,nucleate cell,polyploid cell,2,1.0,2,2,1
CellOntology_SUB,nucleate cell,precursor cell,14,0.0,1,1,1
CellOntology_SUB,nucleate cell,"hematopoietic cell (hematopoietic cell, leukocyte)",32,0.06666666666666667,2,4,0
CellOntology_SUB,nucleate cell,"germ cell (germ cell, germ line cell)",12,0.0,2,3,1
CellOntology_SUB,nucleate cell,epithelial cell,48,0.0,2,2,1
CellOntology_SUB,nucleate cell,"electrically active cell (electrically active cell, electrically responsive cell, electrically signaling cell)",42,0.0,2,5,1
CellOntology_SUB,nucleate cell,endothelial cell,10,0.0,2,2,1
CellOntology_SUB,nucleate cell,connective tissue cell,16,0.0,2,2,1
CellOntology_SUB,nucleate cell,neural cell,54,0.0,2,2,1
CellOntology_SUB,"germ cell (germ cell, germ line cell)",male germ cell,6,0.0,2,4,0
CellOntology_SUB,"germ cell (germ cell, germ line cell)",gamete-nursing cell,9,0.0,1,2,1
CellOntology_SUB,male germ cell,spermatid,4,1.0,2,2,0
CellOntology_SUB,neural cell,neuron associated cell,30,0.0,2,2,0
CellOntology_SUB,neural cell,neuron,48,0.0,2,2,0
CellOntology_SUB,peripheral nervous system neuron,peripheral sensory neuron,18,0.0,2,2,0
CellOntology_SUB,peripheral nervous system neuron,neural crest derived neuron,36,0.0,2,2,1
CellOntology_SUB,neuron,central nervous system neuron,30,0.0,2,2,0
CellOntology_SUB,neuron,peripheral nervous system neuron,45,0.0,2,2,0
CellOntology_SUB,"electrically active cell (electrically active cell, electrically responsive cell, electrically signaling cell)",sensory receptor cell,15,0.0,2,6,1
CellOntology_SUB,"electrically active cell (electrically active cell, electrically responsive cell, electrically signaling cell)",neuron,48,0.0,2,6,0
CellOntology_SUB,"afferent neuron (afferent neuron, sensory neuron)",intrinsic primary afferent neuron of myenteric plexus,8,1.0,2,4,0
