dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
CellOntology_SUB,duct epithelial cell,branched duct epithelial cell,4,1.0,2,3,0
CellOntology_SUB,duct epithelial cell,cholangiocyte,8,1.0,2,4,0
CellOntology_SUB,duct epithelial cell,large mucus secreting cholangiocyte,4,1.0,2,4,0
CellOntology_SUB,epithelial cell,branched duct epithelial cell,3,1.0,2,5,0
CellOntology_SUB,epithelial cell,duct epithelial cell,12,1.0,2,6,0
CellOntology_SUB,epithelial cell,mucus secreting cell,12,1.0,1,2,1
CellOntology_SUB,epithelial cell,neurecto-epithelial cell,3,1.0,2,5,0
CellOntology_SUB,epithelial cell,strial basal cell,3,1.0,2,5,0
CellOntology_SUB,epithelial cell,cholangiocyte,6,1.0,2,5,0
CellOntology_SUB,epithelial cell,seromucus secreting cell,6,1.0,1,2,1
CellOntology_SUB,epithelial cell,endo-epithelial cell,9,1.0,2,6,0
CellOntology_SUB,epithelial cell,ecto-epithelial cell,3,1.0,2,5,0
CellOntology_SUB,epithelial cell,epithelial cell of alimentary canal,9,1.0,2,6,0
CellOntology_SUB,epithelial cell,sensory epithelial cell,6,1.0,2,5,0
CellOntology_SUB,epithelial cell,auditory epithelial cell,3,1.0,2,5,0
CellOntology_SUB,epithelial cell,epithelial cell of upper respiratory tract,6,1.0,2,6,0
CellOntology_SUB,epithelial cell,olfactory epithelial cell,3,1.0,2,5,0
CellOntology_SUB,epithelial cell,columnarcuboidal epithelial cell,3,1.0,2,5,0
CellOntology_SUB,epithelial cell,epithelial cell of stomach,6,1.0,2,6,0
CellOntology_SUB,epithelial cell,vein endothelial cell,6,0.0,1,2,1
CellOntology_SUB,epithelial cell,"blood vessel endothelial cell (blood vessel endothelial cell, endothelial cell of vascular tree)",9,0.5,1,6,1
CellOntology_SUB,epithelial cell,endothelial cell,12,0.6666666666666666,1,3,1
CellOntology_SUB,epithelial cell,respiratory tract epithelial cell,9,1.0,2,6,0
CellOntology_SUB,epithelial cell,secretory epithelial cell,18,1.0,2,6,0
CellOntology_SUB,epithelial cell,large mucus secreting cholangiocyte,3,1.0,2,5,0
CellOntology_SUB,epithelial cell,stem cell of gastric gland,3,1.0,2,5,0
CellOntology_SUB,secretory epithelial cell,branched duct epithelial cell,5,1.0,1,1,1
CellOntology_SUB,secretory epithelial cell,mucus secreting cell,20,1.0,2,6,1
CellOntology_SUB,secretory epithelial cell,cholangiocyte,10,1.0,2,4,1
CellOntology_SUB,secretory epithelial cell,seromucus secreting cell,10,1.0,2,5,1
CellOntology_SUB,secretory epithelial cell,large mucus secreting cholangiocyte,5,1.0,2,5,0
CellOntology_SUB,secretory cell,branched duct epithelial cell,3,1.0,1,1,1
CellOntology_SUB,secretory cell,be1 cell,3,1.0,1,1,1
CellOntology_SUB,secretory cell,androgen secreting cell,3,1.0,2,5,0
CellOntology_SUB,secretory cell,mucus secreting cell,12,1.0,2,5,0
CellOntology_SUB,secretory cell,cholangiocyte,6,1.0,2,4,1
CellOntology_SUB,secretory cell,seromucus secreting cell,6,1.0,2,4,0
CellOntology_SUB,secretory cell,steroid hormone secreting cell,6,1.0,2,4,0
CellOntology_SUB,secretory cell,large mucus secreting cholangiocyte,3,1.0,2,4,0
CellOntology_SUB,secretory cell,secretory epithelial cell,18,1.0,2,5,0
CellOntology_SUB,"cell (cell, electrically active cell, electrically responsive cell, electrically signaling cell, eukaryotic cell)",branched duct epithelial cell,2,1.0,2,7,0
CellOntology_SUB,"cell (cell, electrically active cell, electrically responsive cell, electrically signaling cell, eukaryotic cell)","germ cell (germ cell, germ line cell)",10,1.0,2,16,0
