dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
CellOntology_SUB,duct epithelial cell,branched duct epithelial cell,4,1.0,2,2,0
CellOntology_SUB,duct epithelial cell,cholangiocyte,8,1.0,2,2,0
CellOntology_SUB,duct epithelial cell,large mucus secreting cholangiocyte,4,1.0,1,1,0
CellOntology_SUB,epithelial cell,branched duct epithelial cell,3,1.0,2,2,0
CellOntology_SUB,epithelial cell,duct epithelial cell,12,1.0,2,2,0
CellOntology_SUB,epithelial cell,mucus secreting cell,9,1.0,1,1,1
CellOntology_SUB,epithelial cell,neurecto-epithelial cell,3,1.0,2,2,0
CellOntology_SUB,epithelial cell,cholangiocyte,6,1.0,2,2,0
CellOntology_SUB,epithelial cell,seromucus secreting cell,3,1.0,1,1,1
CellOntology_SUB,epithelial cell,endo-epithelial cell,3,1.0,2,2,0
CellOntology_SUB,epithelial cell,ecto-epithelial cell,6,1.0,2,2,0
CellOntology_SUB,epithelial cell,epithelial cell of alimentary canal,9,1.0,2,2,0
CellOntology_SUB,epithelial cell,sensory epithelial cell,12,0.6666666666666666,2,2,0
CellOntology_SUB,epithelial cell,auditory epithelial cell,3,1.0,2,2,0
CellOntology_SUB,epithelial cell,epithelial cell of upper respiratory tract,6,1.0,2,2,0
CellOntology_SUB,epithelial cell,olfactory epithelial cell,3,1.0,2,2,0
CellOntology_SUB,epithelial cell,columnarcuboidal epithelial cell,3,1.0,2,2,0
CellOntology_SUB,epithelial cell,epithelial cell of stomach,6,1.0,2,2,0
CellOntology_SUB,epithelial cell,respiratory tract epithelial cell,9,1.0,2,2,0
CellOntology_SUB,epithelial cell,secretory epithelial cell,21,0.6666666666666666,2,2,0
CellOntology_SUB,epithelial cell,large mucus secreting cholangiocyte,3,1.0,1,1,0
CellOntology_SUB,epithelial cell,stem cell of gastric gland,3,1.0,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",branched duct epithelial cell,1,1.0,2,4,0
CellOntology_SUB,"cell (cell, eukaryotic cell)","germ cell (germ cell, germ line cell)",6,1.0,2,8,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",peripheral nervous system neuron,8,1.0,2,4,0
CellOntology_SUB,"cell (cell, eukaryotic cell)","afferent neuron (afferent neuron, peripheral sensory neuron, sensory neuron)",2,1.0,2,12,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",duct epithelial cell,4,1.0,2,4,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",enteric neuron,2,1.0,2,4,0
CellOntology_SUB,"cell (cell, eukaryotic cell)","b cell cd19-positive (b cell cd19-positive, lymphocyte of b lineage cd19-positive)",1,1.0,2,8,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",androgen secreting cell,1,1.0,2,4,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",mucus secreting cell,3,1.0,2,3,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",neurecto-epithelial cell,1,1.0,2,4,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",strial basal cell,1,1.0,2,4,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",cholangiocyte,2,1.0,2,3,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",vein endothelial cell,1,1.0,2,4,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",seromucus secreting cell,1,1.0,2,4,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",mesenchymal stem cell of orbital adipose tissue,1,1.0,2,4,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",vascular leptomeningeal cell,2,1.0,2,4,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",ecto-epithelial cell,2,1.0,2,4,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",sensory receptor cell,5,1.0,2,4,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",brain macroglial cell,7,1.0,2,4,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",epithelial cell of alimentary canal,3,1.0,2,4,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",sensory epithelial cell,4,1.0,2,3,0
