dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
CellOntology_SUB,duct epithelial cell,branched duct epithelial cell,10,1.0,2,2,0
CellOntology_SUB,duct epithelial cell,cholangiocyte,10,1.0,2,2,0
CellOntology_SUB,duct epithelial cell,large mucus secreting cholangiocyte,5,1.0,2,2,0
CellOntology_SUB,branched duct epithelial cell,large mucus secreting cholangiocyte,6,1.0,1,1,0
CellOntology_SUB,epithelial cell,branched duct epithelial cell,6,1.0,2,2,0
CellOntology_SUB,epithelial cell,duct epithelial cell,12,1.0,2,2,0
CellOntology_SUB,epithelial cell,neurecto-epithelial cell,3,1.0,2,2,0
CellOntology_SUB,epithelial cell,strial basal cell,3,1.0,2,2,0
CellOntology_SUB,epithelial cell,cholangiocyte,6,1.0,2,2,0
CellOntology_SUB,epithelial cell,vein endothelial cell,3,1.0,2,2,1
CellOntology_SUB,epithelial cell,seromucus secreting cell,3,1.0,1,1,1
CellOntology_SUB,epithelial cell,endo-epithelial cell,42,1.0,2,2,0
CellOntology_SUB,epithelial cell,ecto-epithelial cell,15,1.0,2,2,0
CellOntology_SUB,epithelial cell,epithelial cell of alimentary canal,9,1.0,2,2,0
CellOntology_SUB,epithelial cell,sensory epithelial cell,12,1.0,2,2,0
CellOntology_SUB,epithelial cell,schlemms canal endothelial cell,3,1.0,2,2,1
CellOntology_SUB,epithelial cell,auditory epithelial cell,6,1.0,2,2,0
CellOntology_SUB,epithelial cell,endothelial cell of vascular tree,12,1.0,2,2,1
CellOntology_SUB,epithelial cell,blood vessel endothelial cell,6,1.0,2,2,1
CellOntology_SUB,epithelial cell,endothelial cell,15,1.0,2,2,1
CellOntology_SUB,epithelial cell,epithelial cell of upper respiratory tract,6,1.0,2,2,0
CellOntology_SUB,epithelial cell,olfactory epithelial cell,3,1.0,2,2,0
CellOntology_SUB,epithelial cell,columnarcuboidal epithelial cell,60,1.0,2,2,0
CellOntology_SUB,epithelial cell,epithelial cell of stomach,6,1.0,2,2,0
CellOntology_SUB,epithelial cell,respiratory tract epithelial cell,9,1.0,2,2,0
CellOntology_SUB,epithelial cell,secretory epithelial cell,9,1.0,2,2,0
CellOntology_SUB,epithelial cell,large mucus secreting cholangiocyte,3,1.0,2,2,0
CellOntology_SUB,epithelial cell,stem cell of gastric gland,3,1.0,2,2,0
CellOntology_SUB,cell,branched duct epithelial cell,2,1.0,2,2,0
CellOntology_SUB,cell,germ line cell,5,1.0,2,2,0
CellOntology_SUB,cell,peripheral nervous system neuron,8,1.0,2,2,0
CellOntology_SUB,cell,sensory neuron,3,1.0,2,2,0
CellOntology_SUB,cell,duct epithelial cell,4,1.0,2,2,0
CellOntology_SUB,cell,enteric neuron,2,1.0,2,2,0
CellOntology_SUB,cell,be1 cell,1,1.0,2,2,0
CellOntology_SUB,cell,lymphocyte of b lineage cd19-positive,5,1.0,2,2,0
CellOntology_SUB,cell,androgen secreting cell,1,1.0,2,2,0
CellOntology_SUB,cell,mucus secreting cell,3,1.0,2,2,0
CellOntology_SUB,cell,neurecto-epithelial cell,1,1.0,2,2,0
CellOntology_SUB,cell,strial basal cell,1,1.0,2,2,0
CellOntology_SUB,cell,cholangiocyte,2,1.0,2,2,0
CellOntology_SUB,cell,vein endothelial cell,1,1.0,2,2,0
CellOntology_SUB,cell,seromucus secreting cell,1,1.0,2,2,0
CellOntology_SUB,cell,mesenchymal stem cell of orbital adipose tissue,1,1.0,2,2,0
CellOntology_SUB,cell,endo-epithelial cell,14,1.0,2,2,0
CellOntology_SUB,cell,vascular leptomeningeal cell,2,1.0,2,2,0
CellOntology_SUB,cell,ecto-epithelial cell,5,1.0,2,2,0
CellOntology_SUB,cell,sensory receptor cell,6,1.0,2,2,0
CellOntology_SUB,cell,brain macroglial cell,4,1.0,2,2,0
CellOntology_SUB,cell,epithelial cell of alimentary canal,3,1.0,2,2,0
CellOntology_SUB,cell,sensory epithelial cell,4,1.0,2,2,0
CellOntology_SUB,cell,macroglial cell,6,1.0,2,2,0
CellOntology_SUB,cell,mesenchymal stem cell of adipose tissue,2,1.0,2,2,0
CellOntology_SUB,cell,b cell,5,1.0,2,2,0
CellOntology_SUB,cell,mature alpha-beta t cell,2,1.0,2,2,0
CellOntology_SUB,cell,afferent neuron,4,1.0,2,2,0
CellOntology_SUB,cell,"electrically active cell (electrically active cell, electrically responsive cell)",24,1.0,2,4,0
CellOntology_SUB,cell,schlemms canal endothelial cell,1,1.0,2,2,0
CellOntology_SUB,cell,male germ cell,2,1.0,2,2,0
CellOntology_SUB,cell,neural cell,32,1.0,2,2,0
CellOntology_SUB,cell,neuron associated cell,9,1.0,2,2,0
CellOntology_SUB,cell,auditory epithelial cell,2,1.0,2,2,0
CellOntology_SUB,cell,endothelial cell of vascular tree,4,1.0,2,2,0
CellOntology_SUB,cell,lymphocyte,13,1.0,2,2,0
CellOntology_SUB,cell,blood vessel endothelial cell,2,1.0,2,2,0
CellOntology_SUB,cell,b cell cd19-positive,4,1.0,2,2,0
CellOntology_SUB,cell,interlaminar astrocyte,1,1.0,2,2,0
CellOntology_SUB,cell,astrocyte of the forebrain,3,1.0,2,2,0
CellOntology_SUB,cell,neural crest derived neuron,6,1.0,2,2,0
CellOntology_SUB,cell,endothelial cell,5,1.0,2,2,0
CellOntology_SUB,cell,wide field retinal amacrine cell,2,1.0,2,2,0
CellOntology_SUB,cell,epithelial cell of upper respiratory tract,2,1.0,2,2,0
CellOntology_SUB,cell,t cell,5,1.0,2,2,0
CellOntology_SUB,cell,intrinsic primary afferent neuron of myenteric plexus,1,1.0,2,2,0
CellOntology_SUB,cell,gamete-nursing cell,3,1.0,2,2,0
CellOntology_SUB,cell,spermatid,1,1.0,2,2,0
CellOntology_SUB,cell,amacrine cell,3,1.0,2,2,0
CellOntology_SUB,cell,olfactory epithelial cell,1,1.0,2,2,0
CellOntology_SUB,cell,precursor cell,7,1.0,2,2,0
CellOntology_SUB,cell,multi fate stem cell,5,1.0,2,2,0
CellOntology_SUB,cell,mesothelial fibroblast,4,1.0,2,2,0
CellOntology_SUB,cell,germline-derived nurse cell,1,1.0,2,2,0
CellOntology_SUB,cell,eukaryotic cell,97,1.0,2,2,0
CellOntology_SUB,cell,professional antigen presenting cell,6,1.0,2,2,0
CellOntology_SUB,cell,wf4 amacrine cell,1,1.0,2,2,0
CellOntology_SUB,cell,mature b cell,3,1.0,2,2,0
CellOntology_SUB,cell,superior cervical ganglion thnpy neuron,1,1.0,2,2,0
CellOntology_SUB,cell,columnarcuboidal epithelial cell,20,1.0,2,2,0
CellOntology_SUB,cell,hematopoietic cell,17,1.0,2,2,0
CellOntology_SUB,cell,alpha-beta t cell,3,1.0,2,2,0
CellOntology_SUB,cell,nucleate cell,90,1.0,2,2,0
CellOntology_SUB,cell,lymphocyte of b lineage,7,1.0,2,2,0
CellOntology_SUB,cell,germ cell,3,1.0,2,2,0
CellOntology_SUB,cell,autonomic neuron,5,1.0,2,2,0
CellOntology_SUB,cell,motile cell,17,1.0,2,2,0
CellOntology_SUB,cell,retinal cell,4,1.0,2,2,0
CellOntology_SUB,cell,astrocyte,4,1.0,2,2,0
CellOntology_SUB,cell,epithelial cell of stomach,2,1.0,2,2,0
CellOntology_SUB,cell,mature t cell,3,1.0,2,2,0
CellOntology_SUB,cell,epithelial cell,25,1.0,2,2,0
CellOntology_SUB,cell,stem cell,6,1.0,2,2,0
CellOntology_SUB,cell,sympathetic neuron,2,1.0,2,2,0
CellOntology_SUB,cell,leukocyte,16,1.0,2,2,0
CellOntology_SUB,cell,be cell,2,1.0,2,2,0
CellOntology_SUB,cell,secretory cell,23,1.0,2,2,0
CellOntology_SUB,cell,interneuron,4,1.0,2,2,0
CellOntology_SUB,cell,respiratory tract epithelial cell,3,1.0,2,2,0
CellOntology_SUB,cell,vlmc nn vascular leptomeningeal cell mmus,1,1.0,2,2,0
CellOntology_SUB,cell,peripheral sensory neuron,2,1.0,2,2,0
CellOntology_SUB,cell,astrocyte of the cerebral cortex,2,1.0,2,2,0
CellOntology_SUB,cell,mesothelial fibroblast of the leptomeninx,3,1.0,2,2,0
CellOntology_SUB,cell,electrically signaling cell,23,1.0,2,2,0
CellOntology_SUB,cell,invertebrate nurse cell,2,1.0,2,2,0
CellOntology_SUB,cell,mucosal-associated invariant t cell,1,1.0,2,2,0
CellOntology_SUB,cell,connective tissue cell,27,1.0,2,2,0
CellOntology_SUB,cell,fibroblast,5,1.0,2,2,0
CellOntology_SUB,cell,steroid hormone secreting cell,2,1.0,2,2,0
CellOntology_SUB,cell,mononuclear leukocyte,15,1.0,2,2,0
CellOntology_SUB,cell,chemoreceptor cell,1,1.0,2,2,0
CellOntology_SUB,cell,glial cell,8,1.0,2,2,0
CellOntology_SUB,cell,secretory epithelial cell,3,1.0,2,2,0
CellOntology_SUB,cell,cerebral cortex glial cell,3,1.0,2,2,0
CellOntology_SUB,cell,large mucus secreting cholangiocyte,1,1.0,2,2,0
CellOntology_SUB,cell,neuron,16,1.0,2,2,0
CellOntology_SUB,cell,polyploid cell,3,1.0,2,2,0
CellOntology_SUB,cell,single nucleate cell,63,1.0,2,2,0
CellOntology_SUB,cell,stem cell of gastric gland,1,1.0,2,2,0
CellOntology_SUB,cell,stromal cell,7,1.0,2,2,0
CellOntology_SUB,cell,central nervous system neuron,4,1.0,2,2,0
CellOntology_SUB,cell,mesenchymal stem cell,3,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,branched duct epithelial cell,4,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,peripheral nervous system neuron,16,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,sensory neuron,6,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,duct epithelial cell,8,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,enteric neuron,4,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,be1 cell,2,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,lymphocyte of b lineage cd19-positive,10,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,mucus secreting cell,6,1.0,2,2,1
CellOntology_SUB,eukaryotic cell,neurecto-epithelial cell,2,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,strial basal cell,2,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,cholangiocyte,4,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,vein endothelial cell,2,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,seromucus secreting cell,2,1.0,2,2,1
CellOntology_SUB,eukaryotic cell,mesenchymal stem cell of orbital adipose tissue,2,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,endo-epithelial cell,28,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,vascular leptomeningeal cell,4,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,ecto-epithelial cell,10,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,sensory receptor cell,12,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,brain macroglial cell,8,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,epithelial cell of alimentary canal,6,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,sensory epithelial cell,8,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,macroglial cell,12,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,mesenchymal stem cell of adipose tissue,4,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,b cell,10,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,mature alpha-beta t cell,4,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,afferent neuron,8,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,schlemms canal endothelial cell,2,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,male germ cell,4,1.0,2,2,1
CellOntology_SUB,eukaryotic cell,neural cell,64,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,neuron associated cell,18,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,auditory epithelial cell,4,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,endothelial cell of vascular tree,8,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,lymphocyte,26,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,blood vessel endothelial cell,4,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,b cell cd19-positive,8,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,interlaminar astrocyte,2,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,astrocyte of the forebrain,6,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,neural crest derived neuron,12,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,endothelial cell,10,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,wide field retinal amacrine cell,4,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,epithelial cell of upper respiratory tract,4,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,t cell,10,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,intrinsic primary afferent neuron of myenteric plexus,2,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,spermatid,2,1.0,2,2,0
CellOntology_SUB,eukaryotic cell,amacrine cell,6,1.0,2,2,0
