dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
CellOntology_SUB,duct epithelial cell,branched duct epithelial cell,21,1.0,2,4,0
CellOntology_SUB,duct epithelial cell,cholangiocyte,14,1.0,2,5,0
CellOntology_SUB,duct epithelial cell,large mucus secreting cholangiocyte,7,1.0,2,4,0
CellOntology_SUB,duct epithelial cell,columnarcuboidal epithelial cell,7,1.0,1,2,1
CellOntology_SUB,branched duct epithelial cell,cholangiocyte,16,0.0,1,1,0
CellOntology_SUB,epithelial cell,branched duct epithelial cell,12,1.0,2,3,0
CellOntology_SUB,epithelial cell,duct epithelial cell,20,1.0,2,3,0
CellOntology_SUB,epithelial cell,mucus secreting cell,16,1.0,1,2,1
CellOntology_SUB,epithelial cell,neurecto-epithelial cell,4,1.0,2,4,0
CellOntology_SUB,epithelial cell,strial basal cell,4,1.0,2,3,0
CellOntology_SUB,epithelial cell,cholangiocyte,8,1.0,2,4,0
CellOntology_SUB,epithelial cell,seromucus secreting cell,4,1.0,1,2,1
CellOntology_SUB,epithelial cell,endo-epithelial cell,8,1.0,2,3,0
CellOntology_SUB,epithelial cell,ecto-epithelial cell,4,1.0,2,3,0
CellOntology_SUB,epithelial cell,epithelial cell of alimentary canal,12,1.0,2,3,0
CellOntology_SUB,epithelial cell,sensory epithelial cell,12,1.0,2,3,0
CellOntology_SUB,epithelial cell,auditory epithelial cell,4,1.0,2,3,0
CellOntology_SUB,epithelial cell,epithelial cell of upper respiratory tract,12,1.0,2,4,0
CellOntology_SUB,epithelial cell,olfactory epithelial cell,4,1.0,2,3,0
CellOntology_SUB,epithelial cell,columnarcuboidal epithelial cell,4,1.0,2,3,0
CellOntology_SUB,epithelial cell,epithelial cell of stomach,8,1.0,2,3,0
CellOntology_SUB,epithelial cell,respiratory tract epithelial cell,16,1.0,2,2,0
CellOntology_SUB,epithelial cell,secretory epithelial cell,32,1.0,2,4,0
CellOntology_SUB,epithelial cell,large mucus secreting cholangiocyte,4,1.0,2,3,0
CellOntology_SUB,epithelial cell,stem cell of gastric gland,4,1.0,1,2,0
CellOntology_SUB,cell,branched duct epithelial cell,3,1.0,2,3,0
CellOntology_SUB,cell,"germ cell (germ cell, germ line cell)",4,1.0,2,8,0
CellOntology_SUB,cell,peripheral nervous system neuron,8,1.0,2,4,0
CellOntology_SUB,cell,sensory neuron,8,1.0,2,4,0
CellOntology_SUB,cell,duct epithelial cell,5,1.0,2,3,0
CellOntology_SUB,cell,enteric neuron,2,1.0,2,3,0
CellOntology_SUB,cell,be1 cell,1,1.0,2,4,0
CellOntology_SUB,cell,lymphocyte of b lineage cd19-positive,3,1.0,2,3,0
CellOntology_SUB,cell,androgen secreting cell,1,1.0,2,3,0
CellOntology_SUB,cell,mucus secreting cell,4,1.0,2,3,0
CellOntology_SUB,cell,neurecto-epithelial cell,1,1.0,2,4,0
CellOntology_SUB,cell,strial basal cell,1,1.0,2,3,0
CellOntology_SUB,cell,cholangiocyte,2,1.0,2,3,0
CellOntology_SUB,cell,vein endothelial cell,1,1.0,2,3,0
CellOntology_SUB,cell,mesenchymal stem cell of orbital adipose tissue,1,1.0,2,3,0
CellOntology_SUB,cell,endo-epithelial cell,2,1.0,2,3,0
CellOntology_SUB,cell,"mesothelial fibroblast of the leptomeninx (mesothelial fibroblast of the leptomeninx, vascular leptomeningeal cell)",2,1.0,2,6,0
CellOntology_SUB,cell,ecto-epithelial cell,1,1.0,2,3,0
CellOntology_SUB,cell,sensory receptor cell,13,1.0,2,4,0
CellOntology_SUB,cell,brain macroglial cell,6,1.0,2,3,0
CellOntology_SUB,cell,epithelial cell of alimentary canal,3,1.0,2,3,0
CellOntology_SUB,cell,sensory epithelial cell,3,1.0,2,3,0
CellOntology_SUB,cell,macroglial cell,7,1.0,2,3,0
CellOntology_SUB,cell,mesenchymal stem cell of adipose tissue,2,1.0,2,2,0
CellOntology_SUB,cell,"b cell (b cell, lymphocyte of b lineage)",6,1.0,2,5,0
CellOntology_SUB,cell,mature alpha-beta t cell,2,1.0,2,3,0
CellOntology_SUB,cell,"afferent neuron (afferent neuron, peripheral sensory neuron)",2,1.0,2,7,0
CellOntology_SUB,cell,"electrically active cell (electrically active cell, electrically responsive cell, electrically signaling cell, neural cell)",27,1.0,2,9,0
CellOntology_SUB,cell,male germ cell,2,1.0,2,4,0
CellOntology_SUB,cell,neuron associated cell,9,1.0,2,3,0
CellOntology_SUB,cell,auditory epithelial cell,1,1.0,2,3,0
CellOntology_SUB,cell,"blood vessel endothelial cell (blood vessel endothelial cell, endothelial cell of vascular tree)",3,1.0,2,6,0
CellOntology_SUB,cell,lymphocyte,12,1.0,2,4,0
CellOntology_SUB,cell,b cell cd19-positive,2,1.0,2,3,0
CellOntology_SUB,cell,interlaminar astrocyte,1,1.0,2,3,0
CellOntology_SUB,cell,astrocyte of the forebrain,3,1.0,2,3,0
CellOntology_SUB,cell,endothelial cell,6,1.0,2,3,0
CellOntology_SUB,cell,wide field retinal amacrine cell,2,1.0,2,3,0
CellOntology_SUB,cell,epithelial cell of upper respiratory tract,3,1.0,2,4,0
CellOntology_SUB,cell,t cell,5,1.0,2,3,0
CellOntology_SUB,cell,"gamete-nursing cell (gamete-nursing cell, germline-derived nurse cell, invertebrate nurse cell)",1,1.0,2,9,0
CellOntology_SUB,cell,spermatid,1,1.0,2,3,0
CellOntology_SUB,cell,amacrine cell,3,1.0,2,3,0
CellOntology_SUB,cell,olfactory epithelial cell,1,1.0,2,3,0
CellOntology_SUB,cell,"precursor cell (precursor cell, stem cell)",6,1.0,2,7,0
CellOntology_SUB,cell,multi fate stem cell,5,1.0,2,3,0
CellOntology_SUB,cell,"eukaryotic cell (eukaryotic cell, nucleate cell)",91,1.0,2,5,0
