dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
CellOntology_SUB,vlmc nn vascular leptomeningeal cell mmus,vascular leptomeningeal cell,1,1.0,1,1,1
CellOntology_SUB,brain macroglial cell,astrocyte,4,1.0,0,1,1
CellOntology_SUB,brain macroglial cell,astrocyte of the cerebral cortex,1,1.0,0,1,0
CellOntology_SUB,brain macroglial cell,astrocyte of the forebrain,1,1.0,0,1,0
CellOntology_SUB,brain macroglial cell,interlaminar astrocyte,1,1.0,0,1,0
CellOntology_SUB,astrocyte,astrocyte of the forebrain,9,1.0,0,1,0
CellOntology_SUB,astrocyte,astrocyte of the cerebral cortex,9,1.0,0,1,0
CellOntology_SUB,astrocyte,interlaminar astrocyte,9,1.0,0,1,0
CellOntology_SUB,lymphocyte of b lineage,lymphocyte of b lineage cd19-positive,20,0.0,0,2,0
CellOntology_SUB,lymphocyte of b lineage cd19-positive,b cell cd19-positive,11,1.0,0,1,0
CellOntology_SUB,"blood vessel endothelial cell (blood vessel endothelial cell, endothelial cell of vascular tree)",vein endothelial cell,2,1.0,0,2,0
CellOntology_SUB,"blood vessel endothelial cell (blood vessel endothelial cell, endothelial cell of vascular tree)",schlemms canal endothelial cell,2,1.0,0,1,0
CellOntology_SUB,retinal cell,wide field retinal amacrine cell,3,0.5,0,1,0
CellOntology_SUB,retinal cell,wf4 amacrine cell,1,1.0,0,1,0
CellOntology_SUB,wide field retinal amacrine cell,amacrine cell,24,0.0,0,1,1
CellOntology_SUB,"alpha-beta t cell (alpha-beta t cell, mature alpha-beta t cell)",mucosal-associated invariant t cell,10,1.0,0,1,0
CellOntology_SUB,single nucleate cell,nucleate cell,124,0.0,1,1,1
CellOntology_SUB,nucleate cell,stem cell,28,0.0,0,1,1
CellOntology_SUB,nucleate cell,epithelial cell,60,0.0,0,1,1
CellOntology_SUB,nucleate cell,neural cell,92,0.0,0,1,1
CellOntology_SUB,nucleate cell,hematopoietic cell,52,0.0,0,1,1
CellOntology_SUB,nucleate cell,secretory cell,12,0.0,0,1,1
CellOntology_SUB,polyploid cell,nucleate cell,124,0.0,1,1,1
CellOntology_SUB,eukaryotic cell,nucleate cell,62,0.0,0,1,1
CellOntology_SUB,eukaryotic cell,polyploid cell,63,0.016129032258064516,0,1,1
CellOntology_SUB,eukaryotic cell,single nucleate cell,63,0.016129032258064516,0,1,0
CellOntology_SUB,eukaryotic cell,motile cell,1,1.0,0,1,1
CellOntology_SUB,stem cell,mesenchymal stem cell,15,1.0,1,2,0
CellOntology_SUB,stem cell,precursor cell,5,1.0,0,1,1
CellOntology_SUB,stem cell,multi fate stem cell,5,1.0,1,2,0
CellOntology_SUB,stem cell,stem cell of gastric gland,5,1.0,1,1,0
CellOntology_SUB,stem cell,mesenchymal stem cell of adipose tissue,5,1.0,0,1,0
CellOntology_SUB,stem cell,mesenchymal stem cell of orbital adipose tissue,5,1.0,0,1,0
CellOntology_SUB,epithelial cell,secretory epithelial cell,30,0.2,1,2,0
CellOntology_SUB,epithelial cell,respiratory tract epithelial cell,10,1.0,1,2,0
CellOntology_SUB,epithelial cell,epithelial cell of alimentary canal,10,1.0,1,2,0
CellOntology_SUB,epithelial cell,columnarcuboidal epithelial cell,5,1.0,1,2,0
CellOntology_SUB,epithelial cell,duct epithelial cell,20,0.0,1,1,0
CellOntology_SUB,epithelial cell,epithelial cell of upper respiratory tract,5,1.0,1,1,0
CellOntology_SUB,epithelial cell,epithelial cell of stomach,5,1.0,1,1,0
CellOntology_SUB,epithelial cell,sensory epithelial cell,5,1.0,1,1,0
CellOntology_SUB,epithelial cell,olfactory epithelial cell,5,1.0,1,1,0
CellOntology_SUB,epithelial cell,auditory epithelial cell,5,1.0,1,1,0
CellOntology_SUB,neural cell,neuron,80,0.0,1,2,0
CellOntology_SUB,neural cell,glial cell,30,0.0,0,1,0
CellOntology_SUB,hematopoietic cell,leukocyte,60,0.0,0,1,0
CellOntology_SUB,secretory cell,steroid hormone secreting cell,10,0.0,0,1,0
CellOntology_SUB,mesenchymal stem cell,mesenchymal stem cell of adipose tissue,6,1.0,0,2,0
CellOntology_SUB,mesenchymal stem cell,mesenchymal stem cell of orbital adipose tissue,6,1.0,0,2,0
CellOntology_SUB,secretory epithelial cell,duct epithelial cell,24,0.0,0,1,1
CellOntology_SUB,secretory epithelial cell,mucus secreting cell,6,1.0,0,1,1
CellOntology_SUB,respiratory tract epithelial cell,epithelial cell of upper respiratory tract,6,1.0,0,1,0
