dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
CellOntology_SUB,duct epithelial cell,branched duct epithelial cell,3,1.0,2,2,0
CellOntology_SUB,duct epithelial cell,cholangiocyte,6,1.0,1,1,0
CellOntology_SUB,duct epithelial cell,large mucus secreting cholangiocyte,3,1.0,1,1,0
CellOntology_SUB,epithelial cell,branched duct epithelial cell,2,1.0,2,2,0
CellOntology_SUB,epithelial cell,duct epithelial cell,8,1.0,2,2,0
CellOntology_SUB,epithelial cell,neurecto-epithelial cell,2,1.0,1,1,0
CellOntology_SUB,epithelial cell,strial basal cell,2,1.0,1,1,0
CellOntology_SUB,epithelial cell,cholangiocyte,4,1.0,1,1,0
CellOntology_SUB,epithelial cell,endo-epithelial cell,2,1.0,1,1,0
CellOntology_SUB,epithelial cell,ecto-epithelial cell,2,1.0,1,1,0
CellOntology_SUB,epithelial cell,epithelial cell of alimentary canal,6,1.0,2,2,0
CellOntology_SUB,epithelial cell,sensory epithelial cell,10,0.5,2,2,0
CellOntology_SUB,epithelial cell,auditory epithelial cell,2,1.0,2,2,0
CellOntology_SUB,epithelial cell,epithelial cell of upper respiratory tract,2,1.0,2,2,0
CellOntology_SUB,epithelial cell,olfactory epithelial cell,2,1.0,2,2,0
CellOntology_SUB,epithelial cell,columnarcuboidal epithelial cell,2,1.0,2,2,0
CellOntology_SUB,epithelial cell,epithelial cell of stomach,4,1.0,2,2,0
CellOntology_SUB,epithelial cell,respiratory tract epithelial cell,4,1.0,2,2,0
CellOntology_SUB,epithelial cell,secretory epithelial cell,10,0.25,2,2,0
CellOntology_SUB,epithelial cell,large mucus secreting cholangiocyte,2,1.0,1,1,0
CellOntology_SUB,epithelial cell,stem cell of gastric gland,2,1.0,1,1,0
CellOntology_SUB,germ cell,germ line cell,8,0.0,1,1,1
CellOntology_SUB,germ cell,male germ cell,4,1.0,2,2,0
CellOntology_SUB,germ cell,spermatid,2,1.0,1,1,0
CellOntology_SUB,germ line cell,gamete-nursing cell,9,0.0,1,1,1
CellOntology_SUB,neuron,peripheral nervous system neuron,40,1.0,2,2,0
CellOntology_SUB,neuron,sensory neuron,16,1.0,2,2,0
CellOntology_SUB,neuron,enteric neuron,8,1.0,2,2,0
CellOntology_SUB,neuron,afferent neuron,8,1.0,1,1,0
CellOntology_SUB,neuron,neural crest derived neuron,36,1.0,2,2,0
CellOntology_SUB,neuron,intrinsic primary afferent neuron of myenteric plexus,4,1.0,1,1,0
CellOntology_SUB,neuron,amacrine cell,16,0.6666666666666666,1,1,0
CellOntology_SUB,neuron,wf4 amacrine cell,8,1.0,1,1,0
CellOntology_SUB,neuron,superior cervical ganglion thnpy neuron,4,1.0,1,1,0
CellOntology_SUB,neuron,autonomic neuron,20,1.0,2,2,0
CellOntology_SUB,neuron,sympathetic neuron,8,1.0,1,1,0
CellOntology_SUB,neuron,"central nervous system neuron (central nervous system neuron, interneuron)",4,1.0,2,4,0
CellOntology_SUB,neuron,peripheral sensory neuron,4,1.0,1,1,0
CellOntology_SUB,peripheral nervous system neuron,sensory neuron,20,0.6666666666666666,2,3,1
CellOntology_SUB,peripheral nervous system neuron,enteric neuron,10,1.0,2,2,0
CellOntology_SUB,peripheral nervous system neuron,autonomic neuron,25,0.75,2,3,0
CellOntology_SUB,peripheral nervous system neuron,neural crest derived neuron,45,0.75,2,2,1
CellOntology_SUB,peripheral nervous system neuron,peripheral sensory neuron,5,1.0,2,2,0
CellOntology_SUB,peripheral nervous system neuron,superior cervical ganglion thnpy neuron,5,1.0,2,3,0
CellOntology_SUB,peripheral nervous system neuron,intrinsic primary afferent neuron of myenteric plexus,5,1.0,1,1,0
CellOntology_SUB,sensory neuron,peripheral sensory neuron,7,1.0,2,3,0
CellOntology_SUB,sensory neuron,afferent neuron,14,0.0,1,2,1
CellOntology_SUB,enteric neuron,intrinsic primary afferent neuron of myenteric plexus,8,1.0,1,1,0
CellOntology_SUB,autonomic neuron,superior cervical ganglion thnpy neuron,7,1.0,1,1,0
CellOntology_SUB,autonomic neuron,sympathetic neuron,14,1.0,2,3,0
CellOntology_SUB,autonomic neuron,enteric neuron,14,0.0,1,1,0
CellOntology_SUB,neural crest derived neuron,sensory neuron,24,0.0,1,1,1
CellOntology_SUB,neural crest derived neuron,enteric neuron,12,0.0,1,1,0
CellOntology_SUB,neural crest derived neuron,autonomic neuron,30,0.75,1,1,1
CellOntology_SUB,neural crest derived neuron,sympathetic neuron,12,1.0,2,2,1
CellOntology_SUB,neural crest derived neuron,superior cervical ganglion thnpy neuron,6,1.0,1,1,1
CellOntology_SUB,be cell,be1 cell,7,1.0,1,1,0
CellOntology_SUB,lymphocyte of b lineage,"b cell cd19-positive (b cell cd19-positive, lymphocyte of b lineage cd19-positive)",5,1.0,2,4,0
CellOntology_SUB,lymphocyte of b lineage,b cell,25,0.75,1,1,0
CellOntology_SUB,lymphocyte of b lineage,mature b cell,5,1.0,1,2,0
CellOntology_SUB,lymphocyte of b lineage,be cell,10,0.0,1,1,0
CellOntology_SUB,steroid hormone secreting cell,androgen secreting cell,3,1.0,1,1,0
CellOntology_SUB,secretory cell,androgen secreting cell,2,1.0,2,2,0
CellOntology_SUB,secretory cell,mucus secreting cell,6,1.0,2,2,0
CellOntology_SUB,secretory cell,seromucus secreting cell,2,1.0,2,2,0
CellOntology_SUB,secretory cell,steroid hormone secreting cell,4,1.0,2,2,0
CellOntology_SUB,secretory cell,secretory epithelial cell,10,1.0,1,1,0
CellOntology_SUB,secretory cell,large mucus secreting cholangiocyte,2,1.0,1,1,0
CellOntology_SUB,mucus secreting cell,seromucus secreting cell,5,1.0,1,1,1
CellOntology_SUB,mucus secreting cell,large mucus secreting cholangiocyte,5,1.0,1,1,0
CellOntology_SUB,neural cell,neurecto-epithelial cell,2,1.0,1,1,1
CellOntology_SUB,neural cell,neuron,30,0.14285714285714285,2,2,0
CellOntology_SUB,neural cell,glial cell,18,0.5,1,1,0
CellOntology_SUB,neural cell,interlaminar astrocyte,2,1.0,1,1,0
CellOntology_SUB,neural cell,astrocyte of the forebrain,2,1.0,1,1,0
CellOntology_SUB,neural cell,superior cervical ganglion thnpy neuron,2,1.0,1,1,0
CellOntology_SUB,neural cell,retinal cell,10,0.25,1,1,0
CellOntology_SUB,neural cell,astrocyte of the cerebral cortex,2,1.0,1,1,0
CellOntology_SUB,neural cell,cerebral cortex glial cell,4,1.0,1,1,0
CellOntology_SUB,neural cell,"central nervous system neuron (central nervous system neuron, interneuron)",2,1.0,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",strial basal cell,1,1.0,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",mesenchymal stem cell of orbital adipose tissue,1,1.0,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",vascular leptomeningeal cell,2,0.0,1,2,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",astrocyte of the forebrain,1,1.0,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",endothelial cell,5,0.0,2,2,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",gamete-nursing cell,3,0.0,1,2,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",mature b cell,1,1.0,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",superior cervical ganglion thnpy neuron,1,1.0,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",alpha-beta t cell,3,0.5,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",nucleate cell,8,0.5714285714285714,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",polyploid cell,1,1.0,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",single nucleate cell,3,0.5,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",motile cell,1,1.0,2,3,0
CellOntology_SUB,"cell (cell, eukaryotic cell)","electrically active cell (electrically active cell, electrically responsive cell, electrically signaling cell)",18,0.11764705882352941,1,3,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",secretory cell,7,0.0,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",stem cell,7,0.3333333333333333,2,2,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",precursor cell,1,1.0,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",epithelial cell,24,0.043478260869565216,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",neural cell,27,0.19230769230769232,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",glial cell,9,0.25,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",neuron,15,0.07142857142857142,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)","hematopoietic cell (hematopoietic cell, leukocyte)",15,0.35714285714285715,1,2,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",germ cell,7,0.16666666666666666,2,2,0
CellOntology_SUB,"cell (cell, eukaryotic cell)","connective tissue cell (connective tissue cell, stromal cell)",9,0.375,1,2,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",be cell,2,1.0,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",be1 cell,1,1.0,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",astrocyte of the cerebral cortex,1,1.0,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",mesothelial fibroblast of the leptomeninx,3,0.5,1,1,0
CellOntology_SUB,"cell (cell, eukaryotic cell)",mucosal-associated invariant t cell,1,1.0,1,1,0
CellOntology_SUB,cholangiocyte,large mucus secreting cholangiocyte,4,1.0,2,2,0
CellOntology_SUB,endothelial cell,vein endothelial cell,2,1.0,2,2,0
CellOntology_SUB,endothelial cell,schlemms canal endothelial cell,2,1.0,2,2,0
CellOntology_SUB,endothelial cell,endothelial cell of vascular tree,8,1.0,2,2,0
CellOntology_SUB,endothelial cell,blood vessel endothelial cell,6,1.0,2,2,0
CellOntology_SUB,blood vessel endothelial cell,vein endothelial cell,4,1.0,1,1,0
CellOntology_SUB,blood vessel endothelial cell,schlemms canal endothelial cell,4,1.0,1,1,0
CellOntology_SUB,endothelial cell of vascular tree,vein endothelial cell,3,1.0,2,2,0
CellOntology_SUB,endothelial cell of vascular tree,schlemms canal endothelial cell,3,1.0,1,1,0
CellOntology_SUB,endothelial cell of vascular tree,blood vessel endothelial cell,9,1.0,2,2,0
CellOntology_SUB,mesenchymal stem cell of adipose tissue,mesenchymal stem cell of orbital adipose tissue,5,1.0,1,1,0
CellOntology_SUB,mesenchymal stem cell,mesenchymal stem cell of orbital adipose tissue,4,1.0,2,3,0
CellOntology_SUB,mesenchymal stem cell,mesenchymal stem cell of adipose tissue,8,1.0,2,3,0
CellOntology_SUB,stem cell,mesenchymal stem cell of orbital adipose tissue,2,1.0,1,1,0
CellOntology_SUB,stem cell,mesenchymal stem cell of adipose tissue,4,1.0,1,1,0
CellOntology_SUB,stem cell,precursor cell,2,1.0,1,1,1
CellOntology_SUB,stem cell,multi fate stem cell,2,1.0,2,2,0
CellOntology_SUB,stem cell,mesenchymal stem cell,6,1.0,2,2,0
CellOntology_SUB,stem cell,stem cell of gastric gland,2,1.0,2,2,0
CellOntology_SUB,vascular leptomeningeal cell,vlmc nn vascular leptomeningeal cell mmus,8,1.0,2,2,0
CellOntology_SUB,nucleate cell,vascular leptomeningeal cell,4,0.0,1,1,1
CellOntology_SUB,nucleate cell,gamete-nursing cell,6,0.0,1,1,1
CellOntology_SUB,nucleate cell,single nucleate cell,6,0.5,2,2,0
