dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
CellOntology_SUB,duct epithelial cell,branched duct epithelial cell,12,1.0,2,3,0
CellOntology_SUB,duct epithelial cell,cholangiocyte,8,1.0,2,4,0
CellOntology_SUB,duct epithelial cell,large mucus secreting cholangiocyte,4,1.0,2,3,0
CellOntology_SUB,branched duct epithelial cell,cholangiocyte,12,0.0,1,1,0
CellOntology_SUB,epithelial cell,branched duct epithelial cell,9,1.0,2,2,0
CellOntology_SUB,epithelial cell,duct epithelial cell,12,1.0,2,3,0
CellOntology_SUB,epithelial cell,mucus secreting cell,9,1.0,1,2,1
CellOntology_SUB,epithelial cell,neurecto-epithelial cell,3,1.0,2,4,0
CellOntology_SUB,epithelial cell,strial basal cell,3,1.0,2,3,0
CellOntology_SUB,epithelial cell,cholangiocyte,6,1.0,2,3,0
CellOntology_SUB,epithelial cell,seromucus secreting cell,3,1.0,1,2,1
CellOntology_SUB,epithelial cell,endo-epithelial cell,3,1.0,2,3,0
CellOntology_SUB,epithelial cell,ecto-epithelial cell,3,1.0,2,3,0
CellOntology_SUB,epithelial cell,epithelial cell of alimentary canal,9,1.0,2,4,0
CellOntology_SUB,epithelial cell,"sensory epithelial cell (sensory epithelial cell, sensory receptor cell)",21,0.3333333333333333,2,3,0
CellOntology_SUB,epithelial cell,auditory epithelial cell,3,1.0,2,3,0
CellOntology_SUB,epithelial cell,epithelial cell of upper respiratory tract,6,1.0,2,3,0
CellOntology_SUB,epithelial cell,olfactory epithelial cell,3,1.0,2,3,0
CellOntology_SUB,epithelial cell,columnarcuboidal epithelial cell,3,1.0,2,4,0
CellOntology_SUB,epithelial cell,epithelial cell of stomach,6,1.0,2,4,0
CellOntology_SUB,epithelial cell,respiratory tract epithelial cell,9,1.0,2,4,0
CellOntology_SUB,epithelial cell,large mucus secreting cholangiocyte,3,1.0,2,3,0
CellOntology_SUB,epithelial cell,secretory epithelial cell,15,1.0,2,4,0
CellOntology_SUB,epithelial cell,stem cell of gastric gland,3,1.0,1,3,0
CellOntology_SUB,cell,branched duct epithelial cell,3,1.0,2,2,0
CellOntology_SUB,cell,"germ cell (germ cell, germ line cell)",5,1.0,2,7,0
CellOntology_SUB,cell,peripheral nervous system neuron,9,1.0,2,3,0
CellOntology_SUB,cell,"afferent neuron (afferent neuron, sensory neuron)",3,1.0,2,7,0
CellOntology_SUB,cell,duct epithelial cell,4,1.0,2,3,0
CellOntology_SUB,cell,enteric neuron,2,1.0,2,4,0
CellOntology_SUB,cell,be1 cell,1,1.0,2,3,0
CellOntology_SUB,cell,"b cell cd19-positive (b cell cd19-positive, lymphocyte of b lineage cd19-positive)",3,1.0,2,5,0
CellOntology_SUB,cell,androgen secreting cell,1,1.0,2,4,0
CellOntology_SUB,cell,mucus secreting cell,3,1.0,2,3,0
CellOntology_SUB,cell,neurecto-epithelial cell,1,1.0,2,3,0
CellOntology_SUB,cell,strial basal cell,1,1.0,2,3,0
CellOntology_SUB,cell,cholangiocyte,2,1.0,2,3,0
CellOntology_SUB,cell,vein endothelial cell,2,1.0,2,3,0
CellOntology_SUB,cell,seromucus secreting cell,1,1.0,2,3,0
CellOntology_SUB,cell,mesenchymal stem cell of orbital adipose tissue,1,1.0,2,3,0
CellOntology_SUB,cell,endo-epithelial cell,1,1.0,2,3,0
CellOntology_SUB,cell,vascular leptomeningeal cell,2,1.0,2,3,0
CellOntology_SUB,cell,ecto-epithelial cell,1,1.0,2,3,0
CellOntology_SUB,cell,"sensory epithelial cell (sensory epithelial cell, sensory receptor cell)",7,1.0,2,6,0
CellOntology_SUB,cell,brain macroglial cell,6,1.0,2,4,0
CellOntology_SUB,cell,epithelial cell of alimentary canal,3,1.0,2,4,0
CellOntology_SUB,cell,macroglial cell,7,1.0,2,4,0
CellOntology_SUB,cell,mesenchymal stem cell of adipose tissue,2,1.0,2,3,0
CellOntology_SUB,cell,"b cell (b cell, lymphocyte of b lineage)",4,1.0,2,5,0
CellOntology_SUB,cell,mature alpha-beta t cell,2,1.0,2,3,0
CellOntology_SUB,cell,electrically responsive cell,17,1.0,2,4,0
CellOntology_SUB,cell,schlemms canal endothelial cell,1,1.0,2,3,0
CellOntology_SUB,cell,male germ cell,2,1.0,2,3,0
CellOntology_SUB,cell,neural cell,26,1.0,2,3,0
CellOntology_SUB,cell,neuron associated cell,1,1.0,2,3,0
CellOntology_SUB,cell,auditory epithelial cell,1,1.0,2,3,0
CellOntology_SUB,cell,"blood vessel endothelial cell (blood vessel endothelial cell, endothelial cell of vascular tree)",3,1.0,2,7,0
CellOntology_SUB,cell,lymphocyte,10,1.0,2,3,0
CellOntology_SUB,cell,interlaminar astrocyte,1,1.0,2,2,0
CellOntology_SUB,cell,astrocyte of the forebrain,3,1.0,2,3,0
CellOntology_SUB,cell,neural crest derived neuron,7,1.0,2,3,0
CellOntology_SUB,cell,endothelial cell,4,1.0,2,4,0
CellOntology_SUB,cell,wide field retinal amacrine cell,2,1.0,2,3,0
CellOntology_SUB,cell,epithelial cell of upper respiratory tract,2,1.0,2,3,0
CellOntology_SUB,cell,t cell,5,1.0,2,3,0
CellOntology_SUB,cell,intrinsic primary afferent neuron of myenteric plexus,1,1.0,2,3,0
CellOntology_SUB,cell,"gamete-nursing cell (gamete-nursing cell, germline-derived nurse cell)",2,1.0,2,6,0
CellOntology_SUB,cell,spermatid,1,1.0,2,3,0
CellOntology_SUB,cell,amacrine cell,3,1.0,2,3,0
CellOntology_SUB,cell,olfactory epithelial cell,1,1.0,2,3,0
CellOntology_SUB,cell,precursor cell,7,1.0,2,3,0
CellOntology_SUB,cell,multi fate stem cell,5,1.0,2,4,0
CellOntology_SUB,cell,mesothelial fibroblast,2,1.0,2,3,0
CellOntology_SUB,cell,"eukaryotic cell (eukaryotic cell, nucleate cell)",93,1.0,2,7,0
CellOntology_SUB,cell,professional antigen presenting cell,5,1.0,2,4,0
CellOntology_SUB,cell,wf4 amacrine cell,1,1.0,2,3,0
CellOntology_SUB,cell,superior cervical ganglion thnpy neuron,1,1.0,2,3,0
CellOntology_SUB,cell,columnarcuboidal epithelial cell,1,1.0,2,4,0
CellOntology_SUB,cell,hematopoietic cell,14,1.0,2,4,0
CellOntology_SUB,cell,alpha-beta t cell,3,1.0,2,4,0
CellOntology_SUB,cell,mature b cell,1,1.0,1,1,0
CellOntology_SUB,cell,autonomic neuron,5,1.0,2,3,0
CellOntology_SUB,cell,motile cell,1,1.0,2,3,0
CellOntology_SUB,cell,retinal cell,4,1.0,2,3,0
CellOntology_SUB,cell,astrocyte,4,1.0,2,3,0
CellOntology_SUB,cell,epithelial cell of stomach,2,1.0,2,4,0
CellOntology_SUB,cell,mature t cell,3,1.0,2,2,0
CellOntology_SUB,cell,epithelial cell,25,1.0,2,3,0
CellOntology_SUB,cell,stem cell,6,1.0,2,3,0
CellOntology_SUB,cell,sympathetic neuron,2,1.0,2,3,0
CellOntology_SUB,cell,leukocyte,13,1.0,2,4,0
CellOntology_SUB,cell,be cell,2,1.0,2,3,0
CellOntology_SUB,cell,secretory cell,12,1.0,2,4,0
CellOntology_SUB,cell,interneuron,4,1.0,2,3,0
CellOntology_SUB,cell,respiratory tract epithelial cell,3,1.0,2,4,0
CellOntology_SUB,cell,"mesothelial fibroblast of the leptomeninx (mesothelial fibroblast of the leptomeninx, vlmc nn vascular leptomeningeal cell mmus)",1,1.0,2,6,0
CellOntology_SUB,cell,peripheral sensory neuron,2,1.0,2,3,0
CellOntology_SUB,cell,astrocyte of the cerebral cortex,2,1.0,2,3,0
CellOntology_SUB,cell,"electrically active cell (electrically active cell, electrically signaling cell)",16,1.0,2,7,0
CellOntology_SUB,cell,invertebrate nurse cell,1,1.0,2,3,0
CellOntology_SUB,cell,mucosal-associated invariant t cell,1,1.0,2,3,0
CellOntology_SUB,cell,connective tissue cell,9,1.0,2,3,0
CellOntology_SUB,cell,fibroblast,4,1.0,2,3,0
CellOntology_SUB,cell,steroid hormone secreting cell,2,1.0,2,3,0
CellOntology_SUB,cell,mononuclear leukocyte,12,1.0,2,3,0
CellOntology_SUB,cell,chemoreceptor cell,1,1.0,2,3,0
CellOntology_SUB,cell,glial cell,9,1.0,2,3,0
CellOntology_SUB,cell,secretory epithelial cell,5,1.0,2,4,0
CellOntology_SUB,cell,cerebral cortex glial cell,3,1.0,1,1,0
CellOntology_SUB,cell,large mucus secreting cholangiocyte,1,1.0,2,3,0
CellOntology_SUB,cell,neuron,15,1.0,2,3,0
CellOntology_SUB,cell,polyploid cell,3,1.0,2,2,0
CellOntology_SUB,cell,single nucleate cell,75,1.0,2,3,0
CellOntology_SUB,cell,stem cell of gastric gland,1,1.0,2,4,0
CellOntology_SUB,cell,stromal cell,8,1.0,2,4,0
CellOntology_SUB,cell,central nervous system neuron,5,1.0,2,3,0
CellOntology_SUB,cell,mesenchymal stem cell,3,1.0,2,3,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",branched duct epithelial cell,6,1.0,2,4,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)","germ cell (germ cell, germ line cell)",10,1.0,2,16,1
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",peripheral nervous system neuron,18,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)","afferent neuron (afferent neuron, sensory neuron)",6,1.0,2,14,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",duct epithelial cell,8,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",enteric neuron,4,1.0,2,9,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",be1 cell,2,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)","b cell cd19-positive (b cell cd19-positive, lymphocyte of b lineage cd19-positive)",6,1.0,2,12,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",androgen secreting cell,2,1.0,2,8,1
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",mucus secreting cell,6,1.0,2,7,1
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",neurecto-epithelial cell,2,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",strial basal cell,2,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",cholangiocyte,4,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",vein endothelial cell,4,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",seromucus secreting cell,2,1.0,2,7,1
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",mesenchymal stem cell of orbital adipose tissue,2,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",endo-epithelial cell,2,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",vascular leptomeningeal cell,4,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",ecto-epithelial cell,2,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)","sensory epithelial cell (sensory epithelial cell, sensory receptor cell)",14,1.0,2,12,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",brain macroglial cell,12,1.0,2,9,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",epithelial cell of alimentary canal,6,1.0,2,9,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",macroglial cell,14,1.0,2,9,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",mesenchymal stem cell of adipose tissue,4,1.0,2,6,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)","b cell (b cell, lymphocyte of b lineage)",8,1.0,2,12,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",mature alpha-beta t cell,4,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",schlemms canal endothelial cell,2,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",male germ cell,4,1.0,2,7,1
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",neural cell,52,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",neuron associated cell,2,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",auditory epithelial cell,2,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)","blood vessel endothelial cell (blood vessel endothelial cell, endothelial cell of vascular tree)",6,1.0,2,16,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",lymphocyte,20,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",interlaminar astrocyte,2,1.0,2,5,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",astrocyte of the forebrain,6,1.0,2,5,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",neural crest derived neuron,14,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",endothelial cell,8,1.0,2,8,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",wide field retinal amacrine cell,4,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",epithelial cell of upper respiratory tract,4,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",t cell,10,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",intrinsic primary afferent neuron of myenteric plexus,2,1.0,2,7,0
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)","gamete-nursing cell (gamete-nursing cell, germline-derived nurse cell)",4,1.0,2,14,1
CellOntology_SUB,"eukaryotic cell (eukaryotic cell, nucleate cell)",spermatid,2,1.0,2,7,0
