dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
CellOntology_SUB,duct epithelial cell,branched duct epithelial cell,15,1.0,2,6,0
CellOntology_SUB,duct epithelial cell,cholangiocyte,10,1.0,2,5,0
CellOntology_SUB,duct epithelial cell,large mucus secreting cholangiocyte,5,1.0,2,4,0
CellOntology_SUB,branched duct epithelial cell,cholangiocyte,12,0.0,1,1,0
CellOntology_SUB,epithelial cell,branched duct epithelial cell,12,1.0,1,3,0
CellOntology_SUB,epithelial cell,duct epithelial cell,16,1.0,1,4,0
CellOntology_SUB,epithelial cell,mucus secreting cell,16,1.0,1,2,1
CellOntology_SUB,epithelial cell,neurecto-epithelial cell,4,1.0,1,2,0
CellOntology_SUB,epithelial cell,strial basal cell,4,1.0,1,2,0
CellOntology_SUB,epithelial cell,cholangiocyte,8,1.0,1,2,0
CellOntology_SUB,epithelial cell,seromucus secreting cell,4,1.0,1,2,1
CellOntology_SUB,epithelial cell,endo-epithelial cell,4,1.0,1,2,0
CellOntology_SUB,epithelial cell,ecto-epithelial cell,8,1.0,1,3,0
CellOntology_SUB,epithelial cell,epithelial cell of alimentary canal,12,1.0,1,3,0
CellOntology_SUB,epithelial cell,sensory epithelial cell,16,1.0,1,2,0
CellOntology_SUB,epithelial cell,auditory epithelial cell,8,1.0,1,2,0
CellOntology_SUB,epithelial cell,epithelial cell of upper respiratory tract,8,1.0,1,2,0
CellOntology_SUB,epithelial cell,olfactory epithelial cell,4,1.0,1,2,0
CellOntology_SUB,epithelial cell,columnarcuboidal epithelial cell,4,1.0,1,2,0
CellOntology_SUB,epithelial cell,epithelial cell of stomach,8,1.0,1,3,0
CellOntology_SUB,epithelial cell,respiratory tract epithelial cell,12,1.0,1,1,0
CellOntology_SUB,epithelial cell,secretory epithelial cell,20,1.0,1,3,0
CellOntology_SUB,epithelial cell,large mucus secreting cholangiocyte,4,1.0,1,1,0
CellOntology_SUB,epithelial cell,stem cell of gastric gland,4,1.0,1,2,0
CellOntology_SUB,cell,branched duct epithelial cell,3,1.0,2,4,0
CellOntology_SUB,cell,"germ cell (germ cell, germ line cell)",5,1.0,2,7,0
CellOntology_SUB,cell,peripheral nervous system neuron,8,1.0,2,3,0
CellOntology_SUB,cell,"afferent neuron (afferent neuron, peripheral sensory neuron, sensory neuron)",2,1.0,2,10,0
