dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
CellOntology_SUB,duct epithelial cell,branched duct epithelial cell,6,1.0,1,2,0
CellOntology_SUB,duct epithelial cell,cholangiocyte,12,1.0,1,2,0
CellOntology_SUB,duct epithelial cell,large mucus secreting cholangiocyte,6,1.0,1,2,0
CellOntology_SUB,epithelial cell,branched duct epithelial cell,5,1.0,1,2,0
CellOntology_SUB,epithelial cell,duct epithelial cell,20,1.0,1,2,0
CellOntology_SUB,epithelial cell,mucus secreting cell,20,1.0,1,1,1
CellOntology_SUB,epithelial cell,neurecto-epithelial cell,5,1.0,1,2,0
CellOntology_SUB,epithelial cell,strial basal cell,5,1.0,1,2,0
CellOntology_SUB,epithelial cell,cholangiocyte,10,1.0,1,2,0
CellOntology_SUB,epithelial cell,seromucus secreting cell,5,1.0,1,2,1
CellOntology_SUB,epithelial cell,endo-epithelial cell,5,1.0,1,2,0
CellOntology_SUB,epithelial cell,ecto-epithelial cell,5,1.0,1,2,0
CellOntology_SUB,epithelial cell,epithelial cell of alimentary canal,15,1.0,1,2,0
CellOntology_SUB,epithelial cell,sensory epithelial cell,10,1.0,1,2,0
CellOntology_SUB,epithelial cell,auditory epithelial cell,5,1.0,1,3,0
CellOntology_SUB,epithelial cell,epithelial cell of upper respiratory tract,10,1.0,1,2,0
CellOntology_SUB,epithelial cell,olfactory epithelial cell,5,1.0,1,2,0
CellOntology_SUB,epithelial cell,columnarcuboidal epithelial cell,5,1.0,1,2,0
CellOntology_SUB,epithelial cell,epithelial cell of stomach,10,1.0,1,2,0
CellOntology_SUB,epithelial cell,respiratory tract epithelial cell,15,1.0,1,3,0
CellOntology_SUB,epithelial cell,secretory epithelial cell,25,1.0,1,2,0
CellOntology_SUB,epithelial cell,large mucus secreting cholangiocyte,5,1.0,1,2,0
CellOntology_SUB,epithelial cell,stem cell of gastric gland,5,1.0,1,4,0
CellOntology_SUB,cell,branched duct epithelial cell,1,1.0,1,2,0
CellOntology_SUB,cell,"germ cell (germ cell, germ line cell)",5,1.0,1,3,0
CellOntology_SUB,cell,peripheral nervous system neuron,8,1.0,1,2,0
CellOntology_SUB,cell,"afferent neuron (afferent neuron, peripheral sensory neuron, sensory neuron)",2,1.0,1,6,0
CellOntology_SUB,cell,duct epithelial cell,4,1.0,1,2,0
CellOntology_SUB,cell,enteric neuron,2,1.0,1,2,0
CellOntology_SUB,cell,be1 cell,1,1.0,1,2,0
CellOntology_SUB,cell,"b cell cd19-positive (b cell cd19-positive, lymphocyte of b lineage cd19-positive)",2,1.0,1,4,0
CellOntology_SUB,cell,androgen secreting cell,1,1.0,1,2,0
CellOntology_SUB,cell,mucus secreting cell,4,1.0,1,1,0
CellOntology_SUB,cell,neurecto-epithelial cell,1,1.0,1,2,0
CellOntology_SUB,cell,strial basal cell,1,1.0,1,2,0
CellOntology_SUB,cell,cholangiocyte,2,1.0,1,2,0
CellOntology_SUB,cell,vein endothelial cell,1,1.0,1,2,0
CellOntology_SUB,cell,seromucus secreting cell,1,1.0,1,2,0
CellOntology_SUB,cell,mesenchymal stem cell of orbital adipose tissue,1,1.0,1,2,0
CellOntology_SUB,cell,endo-epithelial cell,1,1.0,1,2,0
CellOntology_SUB,cell,vascular leptomeningeal cell,2,1.0,1,2,0
CellOntology_SUB,cell,ecto-epithelial cell,1,1.0,1,2,0
CellOntology_SUB,cell,sensory receptor cell,4,1.0,1,2,0
CellOntology_SUB,cell,brain macroglial cell,5,1.0,1,1,0
CellOntology_SUB,cell,epithelial cell of alimentary canal,3,1.0,1,2,0
CellOntology_SUB,cell,sensory epithelial cell,2,1.0,1,2,0
CellOntology_SUB,cell,macroglial cell,6,1.0,1,2,0
CellOntology_SUB,cell,mesenchymal stem cell of adipose tissue,2,1.0,1,2,0
CellOntology_SUB,cell,"b cell (b cell, lymphocyte of b lineage)",3,1.0,1,4,0
CellOntology_SUB,cell,mature alpha-beta t cell,1,1.0,1,2,0
CellOntology_SUB,cell,electrically responsive cell,15,1.0,1,1,0
CellOntology_SUB,cell,schlemms canal endothelial cell,1,1.0,1,2,0
CellOntology_SUB,cell,male germ cell,2,1.0,1,3,0
CellOntology_SUB,cell,neural cell,26,1.0,1,2,0
CellOntology_SUB,cell,neuron associated cell,1,1.0,1,3,0
CellOntology_SUB,cell,auditory epithelial cell,1,1.0,1,3,0
CellOntology_SUB,cell,endothelial cell of vascular tree,3,1.0,1,1,0
CellOntology_SUB,cell,lymphocyte,9,1.0,1,2,0
CellOntology_SUB,cell,interlaminar astrocyte,1,1.0,1,1,0
CellOntology_SUB,cell,astrocyte of the forebrain,3,1.0,1,1,0
CellOntology_SUB,cell,neural crest derived neuron,6,1.0,1,2,0
CellOntology_SUB,cell,endothelial cell,4,1.0,1,2,0
CellOntology_SUB,cell,wide field retinal amacrine cell,2,1.0,1,2,0
CellOntology_SUB,cell,epithelial cell of upper respiratory tract,2,1.0,1,2,0
CellOntology_SUB,cell,t cell,5,1.0,1,2,0
CellOntology_SUB,cell,intrinsic primary afferent neuron of myenteric plexus,1,1.0,1,2,0
CellOntology_SUB,cell,gamete-nursing cell,3,1.0,1,2,0
CellOntology_SUB,cell,spermatid,1,1.0,1,1,0
CellOntology_SUB,cell,amacrine cell,3,1.0,1,2,0
CellOntology_SUB,cell,olfactory epithelial cell,1,1.0,1,2,0
CellOntology_SUB,cell,precursor cell,8,1.0,1,2,0
CellOntology_SUB,cell,multi fate stem cell,5,1.0,1,2,0
CellOntology_SUB,cell,mesothelial fibroblast,3,1.0,1,2,0
