dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_MatOnto_SUB,derivedunit,scaled unit,12,0.0,1,1,0
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power,12,0.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,density unit,12,0.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,conduction unit,12,0.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,radiation unit,16,0.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,catalytic activity unit,4,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,energy unit,4,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,molar mass unit,4,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,molecular mass unit,4,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,moment of force unit,4,1.0,2,2,1
LLMs4OL_MatOnto_SUB,radiation unit,dose equivalent unit,5,1.0,1,1,0
LLMs4OL_MatOnto_SUB,radiation unit,electromagnetic radiation unit,5,1.0,2,2,1
LLMs4OL_MatOnto_SUB,radiation unit,luminous flux unit,5,1.0,1,1,1
LLMs4OL_MatOnto_SUB,density unit,area density unit,5,1.0,1,1,0
LLMs4OL_MatOnto_SUB,density unit,linear density unit,5,1.0,1,1,0
LLMs4OL_MatOnto_SUB,scaled unit,peta scaled unit,5,1.0,2,2,0
LLMs4OL_MatOnto_SUB,scaled unit,zepto scaled unit,5,1.0,2,2,0
LLMs4OL_MatOnto_SUB,conduction unit,electric current unit,5,1.0,1,1,1
LLMs4OL_MatOnto_SUB,conduction unit,electric resistance unit,5,1.0,1,1,1
LLMs4OL_MatOnto_SUB,unit raised to power,unit raised to power of negative one,5,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit raised to power,unit raised to power of three,5,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,derivedunit,66,0.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,intensive property,88,0.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,angle,8,0.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,angular acceleration,4,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,count,4,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,exposure,4,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,magnetic flux,4,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,radiation,4,1.0,1,1,0
LLMs4OL_MatOnto_SUB,intensive property,"chemical quality (chemical quality, molecularquality)",60,0.0,1,2,1
LLMs4OL_MatOnto_SUB,intensive property,density,5,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,electric resistance,5,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,flexural modulus,5,1.0,2,2,0
LLMs4OL_MatOnto_SUB,intensive property,hardness range,5,1.0,1,1,1
LLMs4OL_MatOnto_SUB,intensive property,permittivity,5,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,surface tension,5,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,temperature,5,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,velocity,5,1.0,1,1,1
LLMs4OL_MatOnto_SUB,intensive property,wavenumber,5,1.0,1,1,1
LLMs4OL_MatOnto_SUB,quality,measured property,90,0.0,1,1,0
LLMs4OL_MatOnto_SUB,atom,curium atom,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,atom,gallium atom,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,atom,potassium atom,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,atom,rubidium atom,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,atom,tellurium atom,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,atom,terbium atom,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",material,50,0.0,2,4,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",atom,14,0.0,2,4,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",site,6,0.0,2,3,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",identifier,6,0.0,1,0,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",unit,46,0.0,1,0,1
LLMs4OL_MatOnto_SUB,continuant,dependent_continuant,32,0.0,2,2,0
LLMs4OL_MatOnto_SUB,continuant,"independent_continuant (independent_continuant, object)",62,0.0,2,4,0
LLMs4OL_MatOnto_SUB,"chemical quality (chemical quality, molecularquality)",concentration,12,0.0,2,2,1
LLMs4OL_MatOnto_SUB,"chemical quality (chemical quality, molecularquality)",aromaticity,6,1.0,2,3,0
LLMs4OL_MatOnto_SUB,"chemical quality (chemical quality, molecularquality)",cyclicity,6,1.0,1,2,0
