dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_MatOnto_SUB,derivedunit,molar mass unit,2,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,electric resistance unit,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,dose equivalent unit,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,linear density unit,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,luminous flux unit,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,radiation unit,8,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,moment of force unit,2,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,zepto scaled unit,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power of negative one,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,molecular mass unit,2,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,density unit,6,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,scaled unit,6,1.0,1,1,0
LLMs4OL_MatOnto_SUB,derivedunit,energy unit,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,peta scaled unit,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power of three,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,electric current unit,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,electromagnetic radiation unit,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,conduction unit,6,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,area density unit,2,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,catalytic activity unit,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power,6,1.0,2,2,1
LLMs4OL_MatOnto_SUB,radiation unit,dose equivalent unit,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,radiation unit,luminous flux unit,3,1.0,1,1,1
LLMs4OL_MatOnto_SUB,radiation unit,electromagnetic radiation unit,3,1.0,2,2,1
LLMs4OL_MatOnto_SUB,density unit,linear density unit,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,density unit,area density unit,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,scaled unit,zepto scaled unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,scaled unit,peta scaled unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,conduction unit,electric resistance unit,3,1.0,1,1,1
LLMs4OL_MatOnto_SUB,conduction unit,electric current unit,3,1.0,1,1,1
LLMs4OL_MatOnto_SUB,unit raised to power,unit raised to power of negative one,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit raised to power,unit raised to power of three,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,derivedunit,22,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,molar mass unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,electric resistance unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,dose equivalent unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,linear density unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,luminous flux unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,radiation unit,4,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,moment of force unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,zepto scaled unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of negative one,1,1.0,2,2,1
LLMs4OL_MatOnto_SUB,unit,molecular mass unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,density unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,scaled unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,energy unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,peta scaled unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of three,1,1.0,2,2,1
LLMs4OL_MatOnto_SUB,unit,electric current unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,electromagnetic radiation unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,conduction unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,area density unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,catalytic activity unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power,3,1.0,2,2,1
LLMs4OL_MatOnto_SUB,measured property,flexural modulus,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,wavenumber,1,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,moleculecomponentcount,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,pauling electronegativity,1,1.0,2,2,1
LLMs4OL_MatOnto_SUB,measured property,temperature,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,surface tension,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,density,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,mulliken electronegativity,1,1.0,2,2,1
LLMs4OL_MatOnto_SUB,measured property,concentration,2,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,solid angle,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,velocity,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,magnetic flux,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,cyclicity,1,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,aromaticity,1,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,undefined stereo atom count,1,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,angle,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,electronegativity,3,1.0,2,2,1
LLMs4OL_MatOnto_SUB,measured property,electric resistance,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,permittivity,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,amount of substance concentration,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,angular acceleration,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,exposure,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,count,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,molar entropy,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,hardness range,1,1.0,1,1,1
LLMs4OL_MatOnto_SUB,measured property,radiation,1,1.0,1,1,0
LLMs4OL_MatOnto_SUB,intensive property,flexural modulus,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,intensive property,wavenumber,1,1.0,1,1,1
LLMs4OL_MatOnto_SUB,intensive property,pauling electronegativity,1,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,temperature,1,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,surface tension,1,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,density,1,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,mulliken electronegativity,1,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,concentration,2,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,electronegativity,3,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,cyclicity,1,1.0,1,1,1
LLMs4OL_MatOnto_SUB,intensive property,aromaticity,1,1.0,1,1,1
LLMs4OL_MatOnto_SUB,intensive property,velocity,1,1.0,1,1,1
LLMs4OL_MatOnto_SUB,intensive property,electric resistance,1,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,permittivity,1,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,amount of substance concentration,1,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,hardness range,1,1.0,1,1,1
LLMs4OL_MatOnto_SUB,quality,flexural modulus,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,wavenumber,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,moleculecomponentcount,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,pauling electronegativity,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,temperature,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,surface tension,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,density,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,cyclicity,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,aromaticity,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,aromatic,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,mulliken electronegativity,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,undefined stereo atom count,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,concentration,4,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,solid angle,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,velocity,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,magnetic flux,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,electronegativity,6,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,hardness range,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,quality,electric resistance,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,permittivity,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,amount of substance concentration,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,angular acceleration,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,exposure,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,radiation,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,molar entropy,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,atom,rubidium atom,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,atom,gallium atom,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,atom,curium atom,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,atom,potassium atom,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,atom,terbium atom,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,atom,tellurium atom,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",rubidium atom,1,1.0,2,4,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",thiol group,1,1.0,2,3,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",gallium atom,1,1.0,2,4,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",site,3,1.0,2,3,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",curium atom,1,1.0,2,4,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",organic group,4,1.0,2,3,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",molybdenum,1,1.0,2,4,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",atom,7,1.0,2,4,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",ion,2,1.0,1,2,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",anion,1,1.0,2,4,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",element,9,1.0,2,4,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",mixture,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",solution,1,1.0,1,2,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",homogeneous mixture,2,1.0,1,2,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",organic compound,3,1.0,2,3,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",fullerene,1,1.0,2,4,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",carbon allotrope,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",imine,1,1.0,1,2,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",ceramic material,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",potassium atom,1,1.0,2,4,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",terbium atom,1,1.0,2,4,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",tellurium atom,1,1.0,2,4,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",magnesium,1,1.0,2,3,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",scandium,1,1.0,2,4,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",promethium,1,1.0,2,3,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",xenon,1,1.0,2,3,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",darmstadtium,1,1.0,2,4,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",p-block element,4,1.0,2,2,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",periodic table element,8,1.0,2,3,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",general sulfinic acid group,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",chiral center,1,1.0,1,2,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",chaoite,1,1.0,2,3,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",molecular center,2,1.0,1,2,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",moleculecomponentcount,1,1.0,1,1,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)","chemical quality (chemical quality, molecularquality)",12,0.09090909090909091,1,1,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",opticalisomer,1,1.0,1,1,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",molecular formula,1,1.0,1,1,1
