dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_MatOnto_SUB,derivedunit,molar mass unit,2,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,electric resistance unit,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,dose equivalent unit,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,linear density unit,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,luminous flux unit,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,radiation unit,8,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,moment of force unit,2,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,zepto scaled unit,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power of negative one,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,molecular mass unit,2,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,density unit,6,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,scaled unit,6,1.0,1,1,0
LLMs4OL_MatOnto_SUB,derivedunit,energy unit,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,peta scaled unit,2,1.0,1,1,0
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power of three,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,electric current unit,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,electromagnetic radiation unit,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,conduction unit,6,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,area density unit,2,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,catalytic activity unit,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power,6,1.0,2,2,1
LLMs4OL_MatOnto_SUB,radiation unit,dose equivalent unit,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,radiation unit,luminous flux unit,3,1.0,1,1,1
LLMs4OL_MatOnto_SUB,radiation unit,electromagnetic radiation unit,3,1.0,2,2,1
LLMs4OL_MatOnto_SUB,density unit,linear density unit,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,density unit,area density unit,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,scaled unit,zepto scaled unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,scaled unit,peta scaled unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,conduction unit,electric resistance unit,3,1.0,1,1,1
LLMs4OL_MatOnto_SUB,conduction unit,electric current unit,3,1.0,1,1,1
LLMs4OL_MatOnto_SUB,unit raised to power,unit raised to power of negative one,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit raised to power,unit raised to power of three,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,derivedunit,22,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,molar mass unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,electric resistance unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,dose equivalent unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,linear density unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,luminous flux unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,radiation unit,4,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,moment of force unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,zepto scaled unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of negative one,1,1.0,2,2,1
LLMs4OL_MatOnto_SUB,unit,molecular mass unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,density unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,scaled unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,energy unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,peta scaled unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of three,1,1.0,2,2,1
LLMs4OL_MatOnto_SUB,unit,electric current unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,electromagnetic radiation unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,conduction unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,area density unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,catalytic activity unit,1,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power,3,1.0,2,2,1
LLMs4OL_MatOnto_SUB,measured property,flexural modulus,4,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,wavenumber,4,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,moleculecomponentcount,4,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,pauling electronegativity,4,1.0,2,2,1
LLMs4OL_MatOnto_SUB,measured property,temperature,4,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,surface tension,4,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,"chemical quality (chemical quality, molecularquality)",48,0.9090909090909091,1,2,0
LLMs4OL_MatOnto_SUB,measured property,density,4,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,mulliken electronegativity,4,1.0,2,2,1
LLMs4OL_MatOnto_SUB,measured property,concentration,8,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,solid angle,4,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,velocity,4,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,magnetic flux,4,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,cyclicity,4,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,aromaticity,4,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,undefined stereo atom count,4,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,angle,8,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,electronegativity,12,1.0,2,2,1
LLMs4OL_MatOnto_SUB,measured property,electric resistance,4,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,permittivity,4,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,amount of substance concentration,4,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,angular acceleration,4,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,exposure,4,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,molar entropy,4,1.0,2,2,0
LLMs4OL_MatOnto_SUB,measured property,intensive property,88,0.9523809523809523,1,1,0
LLMs4OL_MatOnto_SUB,measured property,hardness range,4,1.0,1,1,1
LLMs4OL_MatOnto_SUB,measured property,radiation,4,1.0,1,1,0
LLMs4OL_MatOnto_SUB,intensive property,flexural modulus,5,1.0,2,2,0
LLMs4OL_MatOnto_SUB,intensive property,wavenumber,5,1.0,1,1,1
LLMs4OL_MatOnto_SUB,intensive property,pauling electronegativity,5,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,temperature,5,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,surface tension,5,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,"chemical quality (chemical quality, molecularquality)",60,0.6363636363636364,1,2,1
LLMs4OL_MatOnto_SUB,intensive property,density,5,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,mulliken electronegativity,5,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,concentration,10,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,electronegativity,15,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,cyclicity,5,1.0,1,1,1
LLMs4OL_MatOnto_SUB,intensive property,aromaticity,5,1.0,1,1,1
LLMs4OL_MatOnto_SUB,intensive property,velocity,5,1.0,1,1,1
LLMs4OL_MatOnto_SUB,intensive property,electric resistance,5,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,permittivity,5,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,amount of substance concentration,5,1.0,2,2,1
LLMs4OL_MatOnto_SUB,intensive property,hardness range,5,1.0,1,1,1
LLMs4OL_MatOnto_SUB,quality,flexural modulus,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,wavenumber,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,moleculecomponentcount,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,pauling electronegativity,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,temperature,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,surface tension,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,"chemical quality (chemical quality, molecularquality)",36,1.0,2,4,0
LLMs4OL_MatOnto_SUB,quality,density,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,cyclicity,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,aromaticity,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,aromatic,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,mulliken electronegativity,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,undefined stereo atom count,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,concentration,6,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,solid angle,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,velocity,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,magnetic flux,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,measured property,87,0.9642857142857143,1,1,0
LLMs4OL_MatOnto_SUB,quality,electronegativity,9,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,intensive property,66,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,hardness range,3,1.0,1,1,1
LLMs4OL_MatOnto_SUB,quality,electric resistance,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,permittivity,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,amount of substance concentration,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,angular acceleration,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,exposure,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,radiation,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,molar entropy,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,atom,rubidium atom,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,atom,gallium atom,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,atom,curium atom,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,atom,potassium atom,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,atom,terbium atom,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,atom,tellurium atom,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",rubidium atom,2,1.0,2,4,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",thiol group,2,1.0,2,3,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",gallium atom,2,1.0,2,4,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",site,6,1.0,2,3,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",curium atom,2,1.0,2,4,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",organic group,8,1.0,2,3,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",molybdenum,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",material,38,1.0,2,4,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",atom,14,1.0,2,4,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",ion,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",anion,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",element,18,1.0,2,4,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",mixture,6,1.0,2,4,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",solution,2,1.0,1,2,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",homogeneous mixture,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",organic compound,6,1.0,2,3,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",fullerene,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",carbon allotrope,4,1.0,2,4,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",imine,2,1.0,1,2,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",ceramic material,4,1.0,2,4,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",potassium atom,2,1.0,2,4,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",terbium atom,2,1.0,2,4,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",tellurium atom,2,1.0,2,4,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",magnesium,2,1.0,2,3,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",scandium,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",promethium,2,1.0,2,3,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",xenon,2,1.0,2,3,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",darmstadtium,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",p-block element,8,1.0,2,2,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",periodic table element,16,1.0,2,3,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",general sulfinic acid group,2,1.0,2,2,0
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",chiral center,2,1.0,1,2,1
LLMs4OL_MatOnto_SUB,"independent_continuant (independent_continuant, object)",chaoite,2,1.0,2,3,1
