dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_MatOnto_SUB,unit,derivedunit,20,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,wavenumber,1,1.0,1,2,1
LLMs4OL_MatOnto_SUB,unit,molar mass unit,1,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,electric resistance unit,1,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,dose equivalent unit,1,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,linear density unit,1,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,luminous flux unit,1,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,radiation unit,4,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,moment of force unit,1,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,zepto scaled unit,1,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of negative one,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,unit,solid angle,1,1.0,2,5,1
LLMs4OL_MatOnto_SUB,unit,molecular mass unit,1,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,density unit,2,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,scaled unit,3,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,energy unit,1,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,peta scaled unit,1,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of three,1,1.0,2,4,1
LLMs4OL_MatOnto_SUB,unit,electric current unit,1,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,electromagnetic radiation unit,2,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,conduction unit,2,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,area density unit,1,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,catalytic activity unit,1,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,angle,2,1.0,1,2,1
LLMs4OL_MatOnto_SUB,unit,unit raised to power,4,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,molar mass unit,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,electric resistance unit,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,dose equivalent unit,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,linear density unit,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,luminous flux unit,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,radiation unit,8,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,moment of force unit,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,energy unit,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power of negative one,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,solid angle,2,1.0,2,5,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power of three,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,density unit,4,1.0,2,3,1
LLMs4OL_MatOnto_SUB,derivedunit,area density unit,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,catalytic activity unit,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,molecular mass unit,2,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,electromagnetic radiation unit,4,1.0,1,2,1
