dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_MatOnto_SUB,unit,derivedunit,54,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,molar mass unit,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,electric resistance unit,3,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,dose equivalent unit,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,linear density unit,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,luminous flux unit,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,radiation unit,9,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,moment of force unit,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,zepto scaled unit,3,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of negative one,3,1.0,2,5,1
LLMs4OL_MatOnto_SUB,unit,solid angle,3,1.0,2,4,1
LLMs4OL_MatOnto_SUB,unit,molecular mass unit,6,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,density unit,9,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,scaled unit,21,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,energy unit,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,peta scaled unit,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of three,3,1.0,2,4,1
LLMs4OL_MatOnto_SUB,unit,electric current unit,3,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,electromagnetic radiation unit,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,conduction unit,3,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,area density unit,3,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,catalytic activity unit,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power,9,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,molar mass unit,4,1.0,2,5,1
LLMs4OL_MatOnto_SUB,derivedunit,electric resistance unit,4,1.0,2,6,1
LLMs4OL_MatOnto_SUB,derivedunit,density unit,12,1.0,2,6,1
LLMs4OL_MatOnto_SUB,derivedunit,energy unit,4,1.0,2,5,1
LLMs4OL_MatOnto_SUB,derivedunit,moment of force unit,4,1.0,2,5,1
LLMs4OL_MatOnto_SUB,derivedunit,linear density unit,4,1.0,2,5,1
LLMs4OL_MatOnto_SUB,derivedunit,dose equivalent unit,4,1.0,2,5,1
LLMs4OL_MatOnto_SUB,derivedunit,radiation unit,12,1.0,2,6,1
LLMs4OL_MatOnto_SUB,derivedunit,luminous flux unit,4,1.0,2,5,1
LLMs4OL_MatOnto_SUB,derivedunit,solid angle,4,1.0,2,5,1
LLMs4OL_MatOnto_SUB,derivedunit,area density unit,4,1.0,2,6,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power of negative one,4,1.0,2,6,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power of three,4,1.0,1,3,1
LLMs4OL_MatOnto_SUB,derivedunit,molecular mass unit,8,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,electromagnetic radiation unit,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,catalytic activity unit,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power,12,1.0,1,2,1
LLMs4OL_MatOnto_SUB,density unit,linear density unit,5,1.0,1,3,0
LLMs4OL_MatOnto_SUB,density unit,area density unit,5,1.0,2,5,0
LLMs4OL_MatOnto_SUB,radiation unit,dose equivalent unit,5,1.0,2,5,0
LLMs4OL_MatOnto_SUB,radiation unit,electromagnetic radiation unit,5,1.0,2,5,1
LLMs4OL_MatOnto_SUB,intensive property,flexural modulus,5,1.0,1,2,0
LLMs4OL_MatOnto_SUB,intensive property,wavenumber,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,intensive property,pauling electronegativity,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,intensive property,temperature,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,intensive property,surface tension,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,intensive property,density,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,intensive property,cyclicity,25,0.25,1,2,1
LLMs4OL_MatOnto_SUB,intensive property,aromaticity,10,0.0,1,2,1
LLMs4OL_MatOnto_SUB,intensive property,mulliken electronegativity,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,intensive property,concentration,15,1.0,2,5,1
LLMs4OL_MatOnto_SUB,intensive property,molecularquality,65,0.5,1,2,1
LLMs4OL_MatOnto_SUB,intensive property,electronegativity,15,1.0,1,2,1
LLMs4OL_MatOnto_SUB,intensive property,amount of substance concentration,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,intensive property,molar entropy,5,1.0,2,3,1
LLMs4OL_MatOnto_SUB,intensive property,permittivity,5,1.0,2,3,1
LLMs4OL_MatOnto_SUB,intensive property,hardness range,5,1.0,1,3,1
LLMs4OL_MatOnto_SUB,intensive property,electric resistance,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,measured property,flexural modulus,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,wavenumber,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,moleculecomponentcount,8,1.0,1,3,0
LLMs4OL_MatOnto_SUB,measured property,pauling electronegativity,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,measured property,temperature,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,surface tension,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,density,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,cyclicity,20,0.25,1,2,0
LLMs4OL_MatOnto_SUB,measured property,aromaticity,8,0.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,mulliken electronegativity,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,measured property,undefined stereo atom count,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,concentration,12,1.0,2,5,0
LLMs4OL_MatOnto_SUB,measured property,solid angle,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,velocity,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,magnetic flux,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,angle,8,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,amount of substance concentration,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,electric resistance,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,hardness range,4,1.0,2,5,1
LLMs4OL_MatOnto_SUB,measured property,molar entropy,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,permittivity,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,angular acceleration,4,1.0,2,3,0
LLMs4OL_MatOnto_SUB,measured property,electronegativity,12,1.0,1,2,1
LLMs4OL_MatOnto_SUB,measured property,intensive property,96,0.6956521739130435,1,2,0
LLMs4OL_MatOnto_SUB,measured property,count,12,1.0,1,3,0
LLMs4OL_MatOnto_SUB,"atom (atom, element, periodic table element)",rubidium atom,5,1.0,2,13,0
LLMs4OL_MatOnto_SUB,"atom (atom, element, periodic table element)",gallium atom,5,1.0,2,13,0
LLMs4OL_MatOnto_SUB,"atom (atom, element, periodic table element)",curium atom,5,1.0,2,13,0
LLMs4OL_MatOnto_SUB,"atom (atom, element, periodic table element)",molybdenum,5,1.0,2,9,0
LLMs4OL_MatOnto_SUB,"atom (atom, element, periodic table element)",potassium atom,5,1.0,2,13,0
LLMs4OL_MatOnto_SUB,"atom (atom, element, periodic table element)",chiral center,5,1.0,2,5,1
LLMs4OL_MatOnto_SUB,"atom (atom, element, periodic table element)",terbium atom,5,1.0,2,13,0
LLMs4OL_MatOnto_SUB,"atom (atom, element, periodic table element)",darmstadtium,5,1.0,2,13,0
LLMs4OL_MatOnto_SUB,"atom (atom, element, periodic table element)",ion,10,0.0,1,2,1
LLMs4OL_MatOnto_SUB,"atom (atom, element, periodic table element)",promethium,5,1.0,2,11,0
LLMs4OL_MatOnto_SUB,"atom (atom, element, periodic table element)",tellurium atom,5,1.0,2,13,0
LLMs4OL_MatOnto_SUB,"atom (atom, element, periodic table element)",xenon,5,1.0,2,12,0
LLMs4OL_MatOnto_SUB,"atom (atom, element, periodic table element)",scandium,5,1.0,2,10,0
LLMs4OL_MatOnto_SUB,"atom (atom, element, periodic table element)",magnesium,5,1.0,2,12,0
LLMs4OL_MatOnto_SUB,"atom (atom, element, periodic table element)",p-block element,35,0.6666666666666666,2,7,0
LLMs4OL_MatOnto_SUB,"atom (atom, element, periodic table element)",carbon allotrope,15,0.0,2,7,1
LLMs4OL_MatOnto_SUB,periodic block,rubidium atom,1,1.0,1,2,1
LLMs4OL_MatOnto_SUB,periodic block,gallium atom,1,1.0,1,2,1
LLMs4OL_MatOnto_SUB,periodic block,curium atom,1,1.0,1,1,1
LLMs4OL_MatOnto_SUB,periodic block,p-block element,7,0.3333333333333333,2,3,0
LLMs4OL_MatOnto_SUB,periodic block,terbium atom,1,1.0,1,2,1
LLMs4OL_MatOnto_SUB,periodic block,scandium,1,1.0,1,1,1
LLMs4OL_MatOnto_SUB,periodic block,"atom (atom, element, periodic table element)",20,0.42105263157894735,1,2,1
LLMs4OL_MatOnto_SUB,periodic block,promethium,1,1.0,1,2,1
LLMs4OL_MatOnto_SUB,periodic block,tellurium atom,1,1.0,1,2,1
LLMs4OL_MatOnto_SUB,moleculecomponentcount,undefined stereo atom count,7,1.0,1,2,0
LLMs4OL_MatOnto_SUB,count,moleculecomponentcount,10,1.0,2,5,1
LLMs4OL_MatOnto_SUB,count,undefined stereo atom count,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,chemical quality,moleculecomponentcount,8,0.0,1,3,1
LLMs4OL_MatOnto_SUB,chemical quality,pauling electronegativity,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,chemical quality,molecularquality,52,0.6666666666666666,2,5,1
LLMs4OL_MatOnto_SUB,chemical quality,cyclicity,20,0.75,1,2,1
LLMs4OL_MatOnto_SUB,chemical quality,aromaticity,8,1.0,1,2,1
LLMs4OL_MatOnto_SUB,chemical quality,chemical formula,8,1.0,1,2,0
LLMs4OL_MatOnto_SUB,chemical quality,aromatic,4,1.0,1,3,1
LLMs4OL_MatOnto_SUB,chemical quality,mulliken electronegativity,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,chemical quality,concentration,12,0.5,1,3,1
LLMs4OL_MatOnto_SUB,chemical quality,electronegativity,12,1.0,1,2,0
LLMs4OL_MatOnto_SUB,chemical quality,acyclic,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,chemical quality,molecular formula,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,chemical quality,amount of substance concentration,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,chemical quality,chemical class,40,0.1111111111111111,1,2,0
LLMs4OL_MatOnto_SUB,quality,moleculecomponentcount,6,0.0,1,3,0
LLMs4OL_MatOnto_SUB,quality,temperature,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,quality,surface tension,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,quality,chemical quality,84,0.4444444444444444,2,6,0
LLMs4OL_MatOnto_SUB,quality,cyclicity,15,0.5,2,4,0
LLMs4OL_MatOnto_SUB,quality,aromaticity,6,1.0,2,4,0
LLMs4OL_MatOnto_SUB,quality,mulliken electronegativity,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,quality,concentration,9,0.5,1,2,0
LLMs4OL_MatOnto_SUB,quality,velocity,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,quality,molecularquality,39,0.5833333333333334,2,5,0
LLMs4OL_MatOnto_SUB,quality,angle,6,0.0,1,2,0
LLMs4OL_MatOnto_SUB,quality,measured property,99,0.65625,2,5,0
LLMs4OL_MatOnto_SUB,quality,electronegativity,9,1.0,2,3,0
LLMs4OL_MatOnto_SUB,quality,intensive property,72,0.6521739130434783,2,4,0
LLMs4OL_MatOnto_SUB,quality,hardness range,3,1.0,2,5,1
LLMs4OL_MatOnto_SUB,quality,aromatic,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,quality,density,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,quality,magnetic flux,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,quality,electric resistance,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,quality,pauling electronegativity,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,quality,flexural modulus,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,wavenumber,3,1.0,1,1,0
LLMs4OL_MatOnto_SUB,quality,chemical class,30,0.1111111111111111,1,2,0
LLMs4OL_MatOnto_SUB,quality,count,9,0.5,1,3,0
LLMs4OL_MatOnto_SUB,continuant,moleculecomponentcount,2,0.0,1,3,0
LLMs4OL_MatOnto_SUB,continuant,object,34,0.24242424242424243,2,5,0
LLMs4OL_MatOnto_SUB,continuant,gallium atom,1,1.0,1,2,0
LLMs4OL_MatOnto_SUB,continuant,temperature,1,1.0,1,2,0
LLMs4OL_MatOnto_SUB,continuant,site,3,1.0,2,5,0
LLMs4OL_MatOnto_SUB,continuant,surface tension,1,1.0,1,2,0
LLMs4OL_MatOnto_SUB,continuant,dependent_continuant,68,0.1791044776119403,2,5,0
LLMs4OL_MatOnto_SUB,continuant,independent_continuant,35,0.2647058823529412,2,5,0
LLMs4OL_MatOnto_SUB,continuant,"atom (atom, element, periodic table element)",20,0.15789473684210525,1,4,0
LLMs4OL_MatOnto_SUB,continuant,chiral center,1,1.0,1,3,0
LLMs4OL_MatOnto_SUB,continuant,velocity,1,1.0,1,2,0
LLMs4OL_MatOnto_SUB,continuant,mixture,3,0.0,1,3,0
LLMs4OL_MatOnto_SUB,continuant,molecular center,2,1.0,1,2,0
LLMs4OL_MatOnto_SUB,continuant,measured property,33,0.25,2,3,0
LLMs4OL_MatOnto_SUB,continuant,fullerene,1,1.0,1,4,1
LLMs4OL_MatOnto_SUB,continuant,quality,44,0.23255813953488372,2,4,0
LLMs4OL_MatOnto_SUB,continuant,chemical quality,28,0.14814814814814814,1,2,0
LLMs4OL_MatOnto_SUB,continuant,molecularquality,13,0.16666666666666666,1,2,0
LLMs4OL_MatOnto_SUB,continuant,intensive property,24,0.21739130434782608,1,2,0
LLMs4OL_MatOnto_SUB,continuant,material,14,0.38461538461538464,2,5,1
LLMs4OL_MatOnto_SUB,continuant,unit,24,0.0,1,3,1
LLMs4OL_MatOnto_SUB,electronegativity,pauling electronegativity,8,1.0,2,4,0
LLMs4OL_MatOnto_SUB,electronegativity,mulliken electronegativity,8,1.0,2,4,0
LLMs4OL_MatOnto_SUB,molecular mass unit,molar mass unit,6,1.0,1,1,1
LLMs4OL_MatOnto_SUB,object,rubidium atom,3,1.0,1,3,0
LLMs4OL_MatOnto_SUB,object,gallium atom,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,object,curium atom,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,object,molybdenum,3,1.0,1,1,1
LLMs4OL_MatOnto_SUB,object,potassium atom,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,object,magnesium,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,object,terbium atom,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,object,darmstadtium,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,object,scandium,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,object,tellurium atom,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,object,xenon,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,object,promethium,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,object,"atom (atom, element, periodic table element)",60,1.0,2,11,0
LLMs4OL_MatOnto_SUB,object,anion,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,object,ion,6,1.0,1,2,1
LLMs4OL_MatOnto_SUB,object,p-block element,21,1.0,1,1,1
LLMs4OL_MatOnto_SUB,object,organic group,12,1.0,1,2,0
LLMs4OL_MatOnto_SUB,object,organic compound,9,1.0,1,2,1
LLMs4OL_MatOnto_SUB,object,mixture,9,1.0,2,5,0
LLMs4OL_MatOnto_SUB,object,homogeneous mixture,6,1.0,1,2,0
LLMs4OL_MatOnto_SUB,object,solution,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,object,ceramic material,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,object,fullerene,3,1.0,2,5,1
LLMs4OL_MatOnto_SUB,object,chaoite,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,object,carbon allotrope,9,1.0,1,2,1
LLMs4OL_MatOnto_SUB,object,thiol group,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,object,general sulfinic acid group,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,object,imine,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,object,opticalisomer,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,object,site,9,0.5,2,4,1
LLMs4OL_MatOnto_SUB,object,material,42,0.9230769230769231,2,5,1
LLMs4OL_MatOnto_SUB,object,chiral center,3,1.0,1,3,1
LLMs4OL_MatOnto_SUB,ion,anion,6,1.0,2,3,0
LLMs4OL_MatOnto_SUB,p-block element,gallium atom,6,1.0,2,4,1
LLMs4OL_MatOnto_SUB,p-block element,tellurium atom,6,1.0,2,4,1
LLMs4OL_MatOnto_SUB,p-block element,xenon,6,1.0,2,4,1
LLMs4OL_MatOnto_SUB,p-block element,carbon allotrope,18,0.0,1,2,1
LLMs4OL_MatOnto_SUB,organic group,thiol group,8,1.0,2,6,0
LLMs4OL_MatOnto_SUB,organic group,general sulfinic acid group,8,1.0,2,5,0
LLMs4OL_MatOnto_SUB,organic group,imine,8,1.0,2,5,1
LLMs4OL_MatOnto_SUB,organic compound,imine,9,1.0,2,4,0
LLMs4OL_MatOnto_SUB,organic compound,fullerene,9,1.0,2,5,1
LLMs4OL_MatOnto_SUB,mixture,homogeneous mixture,10,1.0,2,5,0
LLMs4OL_MatOnto_SUB,mixture,solution,5,1.0,2,6,0
LLMs4OL_MatOnto_SUB,homogeneous mixture,solution,6,1.0,2,5,0
LLMs4OL_MatOnto_SUB,carbon allotrope,chaoite,12,1.0,2,4,0
LLMs4OL_MatOnto_SUB,carbon allotrope,fullerene,12,1.0,2,5,0
LLMs4OL_MatOnto_SUB,site,chiral center,5,1.0,1,3,1
LLMs4OL_MatOnto_SUB,site,molecular center,10,1.0,1,2,1
LLMs4OL_MatOnto_SUB,material,site,12,0.5,1,3,1
LLMs4OL_MatOnto_SUB,material,homogeneous mixture,8,1.0,2,5,1
LLMs4OL_MatOnto_SUB,material,magnesium,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,material,chiral center,4,1.0,1,3,1
LLMs4OL_MatOnto_SUB,material,solution,4,1.0,2,6,1
LLMs4OL_MatOnto_SUB,material,mixture,12,1.0,2,6,1
LLMs4OL_MatOnto_SUB,material,chaoite,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,material,ceramic material,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,material,fullerene,4,1.0,1,3,1
LLMs4OL_MatOnto_SUB,material,carbon allotrope,12,1.0,1,2,1
LLMs4OL_MatOnto_SUB,material,organic compound,12,0.5,1,3,1
LLMs4OL_MatOnto_SUB,chemical class,thiol group,5,1.0,2,5,1
LLMs4OL_MatOnto_SUB,chemical class,general sulfinic acid group,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,chemical class,imine,5,1.0,2,5,1
LLMs4OL_MatOnto_SUB,chemical class,organic compound,15,1.0,2,5,1
