dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_MatOnto_SUB,unit,derivedunit,84,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,wavenumber,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,unit,molar mass unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,electric resistance unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,dose equivalent unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,linear density unit,4,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,luminous flux unit,4,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,radiation unit,16,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,moment of force unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,zepto scaled unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of negative one,16,1.0,2,4,1
LLMs4OL_MatOnto_SUB,unit,molecular mass unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,density unit,4,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,scaled unit,24,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,energy unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,peta scaled unit,4,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of three,4,1.0,2,4,1
LLMs4OL_MatOnto_SUB,unit,electric current unit,4,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,electromagnetic radiation unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,conduction unit,8,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,area density unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,exposure,4,1.0,1,1,1
LLMs4OL_MatOnto_SUB,unit,catalytic activity unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power,24,1.0,2,3,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power of negative one,20,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power of three,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power,30,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,molar mass unit,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,electric resistance unit,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,dose equivalent unit,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,linear density unit,5,1.0,2,3,1
LLMs4OL_MatOnto_SUB,derivedunit,luminous flux unit,5,1.0,2,3,1
LLMs4OL_MatOnto_SUB,derivedunit,radiation unit,20,0.6666666666666666,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,moment of force unit,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,energy unit,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,electric current unit,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,area density unit,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,conduction unit,10,1.0,2,5,1
LLMs4OL_MatOnto_SUB,derivedunit,electromagnetic radiation unit,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,density unit,5,1.0,2,3,1
LLMs4OL_MatOnto_SUB,derivedunit,molecular mass unit,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,wavenumber,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,catalytic activity unit,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,unit raised to power of negative one,wavenumber,7,1.0,1,2,1
LLMs4OL_MatOnto_SUB,unit raised to power of negative one,conduction unit,14,0.0,1,2,1
LLMs4OL_MatOnto_SUB,unit raised to power,wavenumber,6,1.0,1,2,1
LLMs4OL_MatOnto_SUB,unit raised to power,unit raised to power of negative one,24,0.3333333333333333,2,4,0
LLMs4OL_MatOnto_SUB,unit raised to power,unit raised to power of three,6,1.0,2,5,0
LLMs4OL_MatOnto_SUB,radiation unit,dose equivalent unit,6,1.0,2,4,0
LLMs4OL_MatOnto_SUB,radiation unit,electromagnetic radiation unit,6,1.0,2,4,1
LLMs4OL_MatOnto_SUB,radiation unit,exposure,6,1.0,1,1,1
LLMs4OL_MatOnto_SUB,conduction unit,electric current unit,8,1.0,1,1,1
LLMs4OL_MatOnto_SUB,measured property,flexural modulus,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,wavenumber,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,pauling electronegativity,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,measured property,temperature,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,surface tension,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,density,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,"aromatic (aromatic, aromaticity)",4,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,mulliken electronegativity,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,measured property,concentration,8,1.0,2,5,0
LLMs4OL_MatOnto_SUB,measured property,solid angle,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,velocity,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,magnetic flux,4,1.0,2,3,0
LLMs4OL_MatOnto_SUB,measured property,angle,8,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,electric resistance,4,1.0,2,5,0
LLMs4OL_MatOnto_SUB,measured property,permittivity,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,count,12,0.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,amount of substance concentration,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,hardness range,4,1.0,2,4,1
LLMs4OL_MatOnto_SUB,measured property,exposure,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,electronegativity,12,1.0,1,2,1
LLMs4OL_MatOnto_SUB,measured property,intensive property,72,0.9411764705882353,1,2,0
LLMs4OL_MatOnto_SUB,measured property,angular acceleration,4,1.0,1,3,0
LLMs4OL_MatOnto_SUB,measured property,molar entropy,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,intensive property,flexural modulus,5,1.0,1,2,0
LLMs4OL_MatOnto_SUB,intensive property,wavenumber,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,intensive property,moleculecomponentcount,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,intensive property,pauling electronegativity,5,1.0,2,4,1
