dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_MatOnto_SUB,unit,derivedunit,88,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,wavenumber,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,unit,molar mass unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,electric resistance unit,4,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,dose equivalent unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,linear density unit,4,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,luminous flux unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,radiation unit,16,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,moment of force unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,zepto scaled unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of negative one,8,1.0,2,4,1
LLMs4OL_MatOnto_SUB,unit,solid angle,4,1.0,2,4,1
LLMs4OL_MatOnto_SUB,unit,molecular mass unit,4,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,density unit,8,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,scaled unit,20,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,energy unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,peta scaled unit,4,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of three,4,1.0,2,4,1
LLMs4OL_MatOnto_SUB,unit,electric current unit,4,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,electromagnetic radiation unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,conduction unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,area density unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,exposure,4,1.0,1,4,1
LLMs4OL_MatOnto_SUB,unit,catalytic activity unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power,16,1.0,2,5,1
LLMs4OL_MatOnto_SUB,derivedunit,molar mass unit,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,electric resistance unit,5,1.0,2,5,1
LLMs4OL_MatOnto_SUB,derivedunit,dose equivalent unit,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,linear density unit,5,1.0,2,5,1
LLMs4OL_MatOnto_SUB,derivedunit,moment of force unit,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,luminous flux unit,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,radiation unit,20,1.0,2,5,1
LLMs4OL_MatOnto_SUB,derivedunit,energy unit,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,electric current unit,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,area density unit,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,catalytic activity unit,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,conduction unit,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,electromagnetic radiation unit,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,molecular mass unit,5,1.0,2,5,1
LLMs4OL_MatOnto_SUB,derivedunit,density unit,10,1.0,2,3,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power of negative one,10,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power of three,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power,20,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,wavenumber,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,solid angle,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,exposure,5,1.0,1,3,1
LLMs4OL_MatOnto_SUB,radiation unit,dose equivalent unit,6,1.0,2,5,0
LLMs4OL_MatOnto_SUB,radiation unit,electromagnetic radiation unit,6,1.0,2,5,1
LLMs4OL_MatOnto_SUB,radiation unit,exposure,6,1.0,1,2,1
LLMs4OL_MatOnto_SUB,density unit,linear density unit,6,1.0,1,3,0
LLMs4OL_MatOnto_SUB,unit raised to power of negative one,wavenumber,7,1.0,1,2,1
LLMs4OL_MatOnto_SUB,unit raised to power,unit raised to power of negative one,12,0.0,2,5,0
LLMs4OL_MatOnto_SUB,unit raised to power,unit raised to power of three,6,1.0,2,5,0
LLMs4OL_MatOnto_SUB,measured property,flexural modulus,4,1.0,1,2,0
