dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_MatOnto_SUB,unit,derivedunit,44,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,wavenumber,2,1.0,1,1,1
LLMs4OL_MatOnto_SUB,unit,molar mass unit,2,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,electric resistance unit,2,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,dose equivalent unit,2,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,linear density unit,2,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,luminous flux unit,2,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,radiation unit,10,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,moment of force unit,2,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,zepto scaled unit,2,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of negative one,8,1.0,2,2,1
LLMs4OL_MatOnto_SUB,unit,solid angle,2,1.0,2,3,1
LLMs4OL_MatOnto_SUB,unit,molecular mass unit,2,1.0,1,2,0
LLMs4OL_MatOnto_SUB,unit,density unit,6,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,scaled unit,8,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,energy unit,2,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,peta scaled unit,2,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of three,2,1.0,2,3,1
LLMs4OL_MatOnto_SUB,unit,electric current unit,2,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,electromagnetic radiation unit,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,unit,conduction unit,4,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,area density unit,2,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,exposure,2,1.0,1,2,1
LLMs4OL_MatOnto_SUB,unit,catalytic activity unit,2,1.0,1,2,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power,12,1.0,2,3,1
LLMs4OL_MatOnto_SUB,derivedunit,molar mass unit,3,1.0,2,3,1
LLMs4OL_MatOnto_SUB,derivedunit,electric resistance unit,3,1.0,2,3,1
LLMs4OL_MatOnto_SUB,derivedunit,density unit,9,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,energy unit,3,1.0,2,3,1
LLMs4OL_MatOnto_SUB,derivedunit,moment of force unit,3,1.0,2,3,1
LLMs4OL_MatOnto_SUB,derivedunit,radiation unit,15,0.75,2,3,1
LLMs4OL_MatOnto_SUB,derivedunit,dose equivalent unit,3,1.0,2,3,1
LLMs4OL_MatOnto_SUB,derivedunit,linear density unit,3,1.0,2,3,1
LLMs4OL_MatOnto_SUB,derivedunit,luminous flux unit,3,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,electric current unit,3,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,electromagnetic radiation unit,6,1.0,2,3,1
LLMs4OL_MatOnto_SUB,derivedunit,conduction unit,6,1.0,2,3,1
LLMs4OL_MatOnto_SUB,derivedunit,area density unit,3,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power of three,3,1.0,2,3,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power of negative one,12,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power,18,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,wavenumber,3,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,solid angle,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,molecular mass unit,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,catalytic activity unit,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,density unit,linear density unit,4,1.0,2,3,0
LLMs4OL_MatOnto_SUB,density unit,area density unit,4,1.0,1,1,0
LLMs4OL_MatOnto_SUB,radiation unit,dose equivalent unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,radiation unit,luminous flux unit,4,1.0,1,1,1
LLMs4OL_MatOnto_SUB,radiation unit,electromagnetic radiation unit,8,1.0,2,4,1
LLMs4OL_MatOnto_SUB,radiation unit,exposure,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,electromagnetic radiation unit,luminous flux unit,5,1.0,1,1,0
LLMs4OL_MatOnto_SUB,conduction unit,electric current unit,6,1.0,1,2,1
LLMs4OL_MatOnto_SUB,unit raised to power of negative one,wavenumber,5,1.0,1,1,1
LLMs4OL_MatOnto_SUB,unit raised to power of negative one,conduction unit,10,0.0,1,2,1
LLMs4OL_MatOnto_SUB,unit raised to power,wavenumber,4,1.0,1,1,1
LLMs4OL_MatOnto_SUB,unit raised to power,unit raised to power of negative one,16,0.3333333333333333,2,3,0
LLMs4OL_MatOnto_SUB,unit raised to power,unit raised to power of three,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,flexural modulus,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,wavenumber,4,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,moleculecomponentcount,4,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,pauling electronegativity,4,1.0,1,1,1
LLMs4OL_MatOnto_SUB,measured property,temperature,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,surface tension,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,density,4,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,mulliken electronegativity,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,measured property,undefined stereo atom count,4,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,concentration,8,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,solid angle,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,velocity,4,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,magnetic flux,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,angle,8,1.0,1,2,0
