dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_MatOnto_SUB,unit,derivedunit,54,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,molar mass unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,electric resistance unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,dose equivalent unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,linear density unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,luminous flux unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,radiation unit,12,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,moment of force unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,zepto scaled unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of negative one,3,1.0,2,2,1
LLMs4OL_MatOnto_SUB,unit,molecular mass unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,density unit,9,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,scaled unit,9,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,energy unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,peta scaled unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of three,3,1.0,2,2,1
LLMs4OL_MatOnto_SUB,unit,electric current unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,electromagnetic radiation unit,6,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,conduction unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,area density unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,catalytic activity unit,3,1.0,2,2,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power,9,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,area density unit,4,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,catalytic activity unit,4,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,conduction unit,4,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,density unit,12,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,dose equivalent unit,4,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,electric resistance unit,4,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,electromagnetic radiation unit,8,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,energy unit,4,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,linear density unit,4,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,luminous flux unit,4,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,molar mass unit,4,1.0,2,2,1
LLMs4OL_MatOnto_SUB,derivedunit,molecular mass unit,4,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,moment of force unit,4,1.0,2,2,1
