dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_MatOnto_SUB,derivedunit,electric resistance unit,1,1.0,1,3,1
LLMs4OL_MatOnto_SUB,derivedunit,catalytic activity unit,1,1.0,1,3,1
LLMs4OL_MatOnto_SUB,derivedunit,dose equivalent unit,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,derivedunit,linear density unit,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,derivedunit,luminous flux unit,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,derivedunit,radiation unit,2,1.0,0,1,1
LLMs4OL_MatOnto_SUB,derivedunit,moment of force unit,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,derivedunit,density unit,3,1.0,0,1,1
LLMs4OL_MatOnto_SUB,derivedunit,energy unit,3,1.0,0,1,1
LLMs4OL_MatOnto_SUB,derivedunit,electric current unit,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,derivedunit,area density unit,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,derivedunit,electromagnetic radiation unit,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,derivedunit,conduction unit,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,derivedunit,molar mass unit,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,unit,density unit,3,0.0,1,4,0
LLMs4OL_MatOnto_SUB,unit,zepto scaled unit,1,1.0,0,2,0
LLMs4OL_MatOnto_SUB,unit,peta scaled unit,1,1.0,0,2,0
LLMs4OL_MatOnto_SUB,unit,electric resistance unit,1,1.0,0,2,0
LLMs4OL_MatOnto_SUB,unit,radiation unit,2,0.0,0,2,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of negative one,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,unit,unit raised to power of three,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,density unit,area density unit,3,1.0,1,4,0
LLMs4OL_MatOnto_SUB,density unit,linear density unit,3,1.0,1,4,0
LLMs4OL_MatOnto_SUB,chemical quality,aromaticity,3,1.0,0,1,1
LLMs4OL_MatOnto_SUB,chemical quality,pauling electronegativity,3,1.0,0,2,0
LLMs4OL_MatOnto_SUB,chemical quality,mulliken electronegativity,3,1.0,0,2,0
LLMs4OL_MatOnto_SUB,chemical quality,molecularquality,6,1.0,0,1,1
LLMs4OL_MatOnto_SUB,molecularquality,aromaticity,4,1.0,0,1,0
LLMs4OL_MatOnto_SUB,organic group,aromaticity,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,chemical class,aromaticity,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,chemical class,chemical quality,5,0.25,0,1,1
LLMs4OL_MatOnto_SUB,quality,aromaticity,1,1.0,0,1,0
LLMs4OL_MatOnto_SUB,quality,pauling electronegativity,1,1.0,0,2,0
LLMs4OL_MatOnto_SUB,quality,mulliken electronegativity,1,1.0,0,2,0
LLMs4OL_MatOnto_SUB,intensive property,aromaticity,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,intensive property,amount of substance concentration,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,intensive property,pauling electronegativity,1,1.0,0,2,1
LLMs4OL_MatOnto_SUB,intensive property,mulliken electronegativity,1,1.0,0,2,1
LLMs4OL_MatOnto_SUB,intensive property,chemical quality,5,1.0,0,1,1
LLMs4OL_MatOnto_SUB,intensive property,molecularquality,2,1.0,0,1,1
LLMs4OL_MatOnto_SUB,measured property,amount of substance concentration,1,1.0,0,1,0
LLMs4OL_MatOnto_SUB,measured property,pauling electronegativity,1,1.0,0,2,1
LLMs4OL_MatOnto_SUB,measured property,mulliken electronegativity,1,1.0,0,2,1
LLMs4OL_MatOnto_SUB,material,homogeneous mixture,2,0.0,0,2,1
LLMs4OL_MatOnto_SUB,homogeneous mixture,solution,2,1.0,0,2,0
LLMs4OL_MatOnto_SUB,element,p-block element,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,element,rubidium atom,1,1.0,0,2,1
LLMs4OL_MatOnto_SUB,element,gallium atom,1,1.0,0,2,1
LLMs4OL_MatOnto_SUB,element,curium atom,1,1.0,0,2,1
LLMs4OL_MatOnto_SUB,element,potassium atom,1,1.0,0,2,1
LLMs4OL_MatOnto_SUB,element,terbium atom,1,1.0,0,2,1
LLMs4OL_MatOnto_SUB,element,magnesium,1,1.0,0,1,0
LLMs4OL_MatOnto_SUB,element,scandium,1,1.0,0,1,0
LLMs4OL_MatOnto_SUB,element,darmstadtium,1,1.0,0,1,0
LLMs4OL_MatOnto_SUB,element,promethium,1,1.0,0,1,0
LLMs4OL_MatOnto_SUB,element,tellurium atom,1,1.0,0,2,1
LLMs4OL_MatOnto_SUB,element,xenon,1,1.0,0,1,0
LLMs4OL_MatOnto_SUB,element,molybdenum,1,1.0,0,1,0
LLMs4OL_MatOnto_SUB,element,carbon allotrope,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,periodic table element,p-block element,1,1.0,0,2,0
LLMs4OL_MatOnto_SUB,periodic table element,rubidium atom,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,periodic table element,gallium atom,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,periodic table element,curium atom,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,periodic table element,potassium atom,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,periodic table element,terbium atom,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,periodic table element,tellurium atom,1,1.0,0,1,1
LLMs4OL_MatOnto_SUB,moleculecomponentcount,undefined stereo atom count,1,1.0,0,2,0
LLMs4OL_MatOnto_SUB,radiation unit,electromagnetic radiation unit,4,1.0,0,2,1
LLMs4OL_MatOnto_SUB,energy unit,radiation unit,4,0.0,0,2,1
LLMs4OL_MatOnto_SUB,scaled unit,peta scaled unit,1,1.0,0,1,0
LLMs4OL_MatOnto_SUB,scaled unit,zepto scaled unit,1,1.0,0,1,0
LLMs4OL_MatOnto_SUB,unit raised to power,unit raised to power of negative one,1,1.0,0,1,0
LLMs4OL_MatOnto_SUB,unit raised to power,unit raised to power of three,1,1.0,0,1,0
