dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_MatOnto_SUB,unit,derivedunit,40,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,wavenumber,2,1.0,1,2,1
LLMs4OL_MatOnto_SUB,unit,molar mass unit,2,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,electric resistance unit,2,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,dose equivalent unit,2,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,linear density unit,2,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,luminous flux unit,2,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,radiation unit,6,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,moment of force unit,2,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,zepto scaled unit,2,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of negative one,8,1.0,2,5,1
LLMs4OL_MatOnto_SUB,unit,solid angle,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,unit,molecular mass unit,2,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,density unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,scaled unit,16,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,energy unit,2,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,peta scaled unit,2,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of three,2,1.0,2,4,1
LLMs4OL_MatOnto_SUB,unit,electric current unit,2,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,electromagnetic radiation unit,2,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,conduction unit,4,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,area density unit,2,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,catalytic activity unit,2,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power,14,1.0,2,4,1
LLMs4OL_MatOnto_SUB,unit,angle,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,wavenumber,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,molar mass unit,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,electric resistance unit,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,dose equivalent unit,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,linear density unit,3,1.0,1,3,1
LLMs4OL_MatOnto_SUB,derivedunit,luminous flux unit,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,radiation unit,9,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,moment of force unit,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power of negative one,12,1.0,1,3,1
LLMs4OL_MatOnto_SUB,derivedunit,solid angle,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,molecular mass unit,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,density unit,6,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,energy unit,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power of three,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,electromagnetic radiation unit,3,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,conduction unit,6,1.0,1,3,1
LLMs4OL_MatOnto_SUB,derivedunit,area density unit,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,catalytic activity unit,3,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power,21,1.0,1,2,1
LLMs4OL_MatOnto_SUB,measured property,flexural modulus,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,wavenumber,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,moleculecomponentcount,6,1.0,1,3,0
LLMs4OL_MatOnto_SUB,measured property,pauling electronegativity,3,1.0,2,4,1
LLMs4OL_MatOnto_SUB,measured property,temperature,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,surface tension,3,1.0,2,5,0
LLMs4OL_MatOnto_SUB,measured property,density,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,cyclicity,12,0.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,mulliken electronegativity,3,1.0,1,3,1
LLMs4OL_MatOnto_SUB,measured property,undefined stereo atom count,3,1.0,1,3,0
LLMs4OL_MatOnto_SUB,measured property,concentration,9,1.0,2,5,0
LLMs4OL_MatOnto_SUB,measured property,solid angle,3,1.0,2,3,0
LLMs4OL_MatOnto_SUB,measured property,velocity,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,magnetic flux,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,molecularquality,33,0.3,1,3,0
LLMs4OL_MatOnto_SUB,measured property,angle,6,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,intensive property,144,0.48936170212765956,2,5,0
LLMs4OL_MatOnto_SUB,measured property,angular acceleration,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,exposure,3,1.0,2,5,0
LLMs4OL_MatOnto_SUB,measured property,count,9,1.0,2,5,0
LLMs4OL_MatOnto_SUB,measured property,radiation,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,electric resistance,3,1.0,2,5,0
LLMs4OL_MatOnto_SUB,measured property,molar entropy,3,1.0,2,4,0
LLMs4OL_MatOnto_SUB,measured property,hardness range,3,1.0,2,3,1
LLMs4OL_MatOnto_SUB,measured property,electronegativity,9,1.0,1,3,1
LLMs4OL_MatOnto_SUB,measured property,permittivity,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,amount of substance concentration,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,intensive property,flexural modulus,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,intensive property,wavenumber,4,1.0,2,5,1
LLMs4OL_MatOnto_SUB,intensive property,pauling electronegativity,4,1.0,2,5,1
LLMs4OL_MatOnto_SUB,intensive property,temperature,4,1.0,2,5,1
LLMs4OL_MatOnto_SUB,intensive property,surface tension,4,1.0,2,6,1
LLMs4OL_MatOnto_SUB,intensive property,density,4,1.0,2,5,1
LLMs4OL_MatOnto_SUB,intensive property,cyclicity,16,0.3333333333333333,1,2,1
LLMs4OL_MatOnto_SUB,intensive property,aromaticity,8,0.0,1,3,1
LLMs4OL_MatOnto_SUB,intensive property,mulliken electronegativity,4,1.0,2,6,1
LLMs4OL_MatOnto_SUB,intensive property,concentration,12,1.0,2,6,1
LLMs4OL_MatOnto_SUB,intensive property,molecularquality,44,0.2,1,3,1
LLMs4OL_MatOnto_SUB,intensive property,angle,8,0.0,1,1,1
LLMs4OL_MatOnto_SUB,intensive property,electronegativity,12,1.0,1,3,1
LLMs4OL_MatOnto_SUB,intensive property,amount of substance concentration,4,1.0,2,5,1
LLMs4OL_MatOnto_SUB,intensive property,permittivity,4,1.0,2,5,1
LLMs4OL_MatOnto_SUB,intensive property,molar entropy,4,1.0,2,5,1
LLMs4OL_MatOnto_SUB,intensive property,hardness range,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,intensive property,quality,176,0.37209302325581395,1,2,1
LLMs4OL_MatOnto_SUB,intensive property,electric resistance,4,1.0,1,3,1
LLMs4OL_MatOnto_SUB,intensive property,exposure,4,1.0,1,3,1
LLMs4OL_MatOnto_SUB,unit raised to power,wavenumber,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,unit raised to power,unit raised to power of negative one,16,0.3333333333333333,2,5,0
LLMs4OL_MatOnto_SUB,unit raised to power,solid angle,4,1.0,1,1,1
LLMs4OL_MatOnto_SUB,unit raised to power,unit raised to power of three,4,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit raised to power of negative one,wavenumber,6,1.0,2,4,1
LLMs4OL_MatOnto_SUB,unit raised to power of negative one,conduction unit,12,0.0,1,3,1
LLMs4OL_MatOnto_SUB,atom,rubidium atom,4,1.0,2,6,0
LLMs4OL_MatOnto_SUB,atom,gallium atom,4,1.0,2,6,0
LLMs4OL_MatOnto_SUB,atom,curium atom,4,1.0,2,7,0
LLMs4OL_MatOnto_SUB,atom,potassium atom,4,1.0,2,5,0
LLMs4OL_MatOnto_SUB,atom,magnesium,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,atom,chiral center,4,1.0,1,3,1
LLMs4OL_MatOnto_SUB,atom,terbium atom,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,atom,darmstadtium,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,atom,scandium,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,atom,promethium,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,atom,tellurium atom,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,atom,xenon,4,1.0,1,3,1
LLMs4OL_MatOnto_SUB,"continuant (continuant, independent_continuant, object)",rubidium atom,1,1.0,2,6,0
LLMs4OL_MatOnto_SUB,"continuant (continuant, independent_continuant, object)",moleculecomponentcount,2,1.0,2,7,0
LLMs4OL_MatOnto_SUB,"continuant (continuant, independent_continuant, object)",derivedunit,20,1.0,1,2,1
LLMs4OL_MatOnto_SUB,"continuant (continuant, independent_continuant, object)",flexural modulus,1,1.0,1,2,0
LLMs4OL_MatOnto_SUB,"continuant (continuant, independent_continuant, object)",wavenumber,1,1.0,1,2,0
LLMs4OL_MatOnto_SUB,"continuant (continuant, independent_continuant, object)",pauling electronegativity,1,1.0,1,2,0
LLMs4OL_MatOnto_SUB,"continuant (continuant, independent_continuant, object)",molar mass unit,1,1.0,1,2,1
LLMs4OL_MatOnto_SUB,"continuant (continuant, independent_continuant, object)",electric resistance unit,1,1.0,1,2,1
LLMs4OL_MatOnto_SUB,"continuant (continuant, independent_continuant, object)",thiol group,1,1.0,1,4,0
LLMs4OL_MatOnto_SUB,"continuant (continuant, independent_continuant, object)",gallium atom,1,1.0,1,4,0
LLMs4OL_MatOnto_SUB,"continuant (continuant, independent_continuant, object)",dose equivalent unit,1,1.0,1,2,1
LLMs4OL_MatOnto_SUB,"continuant (continuant, independent_continuant, object)",linear density unit,1,1.0,1,2,1
LLMs4OL_MatOnto_SUB,"continuant (continuant, independent_continuant, object)",temperature,1,1.0,1,2,0
LLMs4OL_MatOnto_SUB,"continuant (continuant, independent_continuant, object)",site,3,1.0,2,9,0
LLMs4OL_MatOnto_SUB,"continuant (continuant, independent_continuant, object)",surface tension,1,1.0,2,5,0
