dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_MatOnto_SUB,unit,derivedunit,72,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,molar mass unit,4,1.0,2,6,0
LLMs4OL_MatOnto_SUB,unit,electric resistance unit,4,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,dose equivalent unit,4,1.0,2,6,0
LLMs4OL_MatOnto_SUB,unit,linear density unit,4,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,luminous flux unit,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,unit,radiation unit,16,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,moment of force unit,4,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,zepto scaled unit,4,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of negative one,12,1.0,2,5,1
LLMs4OL_MatOnto_SUB,unit,solid angle,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,unit,molecular mass unit,4,1.0,1,1,0
LLMs4OL_MatOnto_SUB,unit,density unit,12,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,scaled unit,16,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,energy unit,4,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,peta scaled unit,4,1.0,2,6,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power of three,4,1.0,2,5,1
LLMs4OL_MatOnto_SUB,unit,electric current unit,4,1.0,2,4,0
LLMs4OL_MatOnto_SUB,unit,electromagnetic radiation unit,4,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,conduction unit,8,1.0,2,5,0
LLMs4OL_MatOnto_SUB,unit,area density unit,4,1.0,2,6,0
LLMs4OL_MatOnto_SUB,unit,catalytic activity unit,4,1.0,2,3,0
LLMs4OL_MatOnto_SUB,unit,unit raised to power,20,1.0,2,5,1
LLMs4OL_MatOnto_SUB,derivedunit,molar mass unit,5,1.0,1,3,1
LLMs4OL_MatOnto_SUB,derivedunit,electric resistance unit,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,dose equivalent unit,5,1.0,1,3,1
LLMs4OL_MatOnto_SUB,derivedunit,linear density unit,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,luminous flux unit,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,moment of force unit,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power of negative one,15,0.5,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,solid angle,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,density unit,15,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,energy unit,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power of three,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,derivedunit,electromagnetic radiation unit,5,1.0,1,3,1
LLMs4OL_MatOnto_SUB,derivedunit,conduction unit,10,0.0,1,3,1
LLMs4OL_MatOnto_SUB,derivedunit,area density unit,5,1.0,1,3,1
LLMs4OL_MatOnto_SUB,derivedunit,catalytic activity unit,5,1.0,1,1,1
LLMs4OL_MatOnto_SUB,derivedunit,unit raised to power,25,0.75,1,2,1
LLMs4OL_MatOnto_SUB,measured property,flexural modulus,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,wavenumber,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,moleculecomponentcount,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,pauling electronegativity,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,measured property,temperature,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,surface tension,4,1.0,1,3,0
LLMs4OL_MatOnto_SUB,measured property,density,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,aromaticity,8,0.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,mulliken electronegativity,4,1.0,1,3,1
LLMs4OL_MatOnto_SUB,measured property,undefined stereo atom count,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,concentration,8,1.0,1,3,0
LLMs4OL_MatOnto_SUB,measured property,solid angle,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,velocity,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,magnetic flux,4,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,molecularquality,40,0.4444444444444444,1,3,0
LLMs4OL_MatOnto_SUB,measured property,angle,8,1.0,1,1,0
LLMs4OL_MatOnto_SUB,measured property,electronegativity,12,1.0,1,2,1
LLMs4OL_MatOnto_SUB,measured property,intensive property,88,0.7619047619047619,1,2,0
LLMs4OL_MatOnto_SUB,measured property,hardness range,4,1.0,1,2,1
LLMs4OL_MatOnto_SUB,measured property,electric resistance,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,permittivity,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,amount of substance concentration,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,measured property,angular acceleration,4,1.0,1,3,0
LLMs4OL_MatOnto_SUB,measured property,molar entropy,4,1.0,1,2,0
LLMs4OL_MatOnto_SUB,intensive property,flexural modulus,5,1.0,2,4,0
LLMs4OL_MatOnto_SUB,intensive property,wavenumber,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,intensive property,pauling electronegativity,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,intensive property,temperature,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,intensive property,surface tension,5,1.0,2,5,1
LLMs4OL_MatOnto_SUB,intensive property,density,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,intensive property,cyclicity,20,0.3333333333333333,1,1,1
LLMs4OL_MatOnto_SUB,intensive property,aromaticity,10,0.0,1,2,1
LLMs4OL_MatOnto_SUB,intensive property,mulliken electronegativity,5,1.0,1,3,1
LLMs4OL_MatOnto_SUB,intensive property,concentration,10,1.0,2,5,1
LLMs4OL_MatOnto_SUB,intensive property,molecularquality,50,0.5555555555555556,1,3,1
LLMs4OL_MatOnto_SUB,intensive property,electronegativity,15,1.0,1,2,1
LLMs4OL_MatOnto_SUB,intensive property,permittivity,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,intensive property,amount of substance concentration,5,1.0,2,4,1
LLMs4OL_MatOnto_SUB,intensive property,molar entropy,5,1.0,2,3,1
LLMs4OL_MatOnto_SUB,intensive property,hardness range,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,intensive property,electric resistance,5,1.0,1,2,1
LLMs4OL_MatOnto_SUB,dependent_continuant,flexural modulus,2,1.0,1,2,0
LLMs4OL_MatOnto_SUB,dependent_continuant,chemical quality,80,0.07692307692307693,2,5,0
LLMs4OL_MatOnto_SUB,dependent_continuant,cyclicity,8,0.0,1,3,0
LLMs4OL_MatOnto_SUB,dependent_continuant,quality,114,0.17857142857142858,2,4,0
LLMs4OL_MatOnto_SUB,dependent_continuant,intensive property,44,0.19047619047619047,1,2,0
LLMs4OL_MatOnto_SUB,dependent_continuant,molecularquality,20,0.1111111111111111,2,4,0
LLMs4OL_MatOnto_SUB,dependent_continuant,measured property,60,0.27586206896551724,2,4,0
LLMs4OL_MatOnto_SUB,dependent_continuant,undefined stereo atom count,2,1.0,1,2,0
LLMs4OL_MatOnto_SUB,dependent_continuant,velocity,2,1.0,1,2,0
LLMs4OL_MatOnto_SUB,dependent_continuant,permittivity,2,1.0,1,2,0
LLMs4OL_MatOnto_SUB,dependent_continuant,angular acceleration,2,1.0,1,2,0
LLMs4OL_MatOnto_SUB,quality,flexural modulus,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,quality,wavenumber,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,quality,pauling electronegativity,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,quality,temperature,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,quality,surface tension,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,quality,chemical quality,120,0.2564102564102564,2,5,0
LLMs4OL_MatOnto_SUB,quality,cyclicity,12,0.6666666666666666,1,2,0
LLMs4OL_MatOnto_SUB,quality,aromaticity,6,0.0,1,2,0
LLMs4OL_MatOnto_SUB,quality,mulliken electronegativity,3,1.0,1,3,0
LLMs4OL_MatOnto_SUB,quality,undefined stereo atom count,3,1.0,1,2,0
LLMs4OL_MatOnto_SUB,quality,concentration,6,0.0,1,3,0
LLMs4OL_MatOnto_SUB,quality,velocity,3,1.0,1,2,0
