dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_OBI_SUB,enzymatic activity level assay,5-nucleotidase activity level assay,5,1.0,2,2,0
LLMs4OL_OBI_SUB,enzymatic activity level assay,insecticide resistance by detecting enzyme activity assay,10,0.0,2,2,1
LLMs4OL_OBI_SUB,insecticide resistance by detecting enzyme activity assay,insecticide resistance by detecting glutathione s-transferase activity assay,7,1.0,2,2,0
LLMs4OL_OBI_SUB,insecticide resistance assay,insecticide resistance by detecting enzyme activity assay,10,0.0,2,2,0
LLMs4OL_OBI_SUB,analyte assay,blood assay,64,0.0,1,1,1
LLMs4OL_OBI_SUB,analyte assay,cytometry assay,20,0.0,1,1,1
LLMs4OL_OBI_SUB,analyte assay,enzymatic activity level assay,16,0.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,insecticide resistance assay,12,0.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,organism detection assay,8,0.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,polymerase chain reaction assay,4,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,protein expression profiling assay,4,1.0,2,2,1
LLMs4OL_OBI_SUB,assay,analyte assay,84,0.0,2,2,0
LLMs4OL_OBI_SUB,assay,epitope protection experiment,9,0.0,1,1,1
LLMs4OL_OBI_SUB,assay,functional assessment of individual,6,0.0,1,1,1
LLMs4OL_OBI_SUB,"function (function, role)",regulatory role,9,0.0,2,3,0
LLMs4OL_OBI_SUB,"function (function, role)",adjuvant role,3,1.0,2,3,0
LLMs4OL_OBI_SUB,"function (function, role)",accessed material role,3,1.0,2,2,0
LLMs4OL_OBI_SUB,"function (function, role)",connection function,3,1.0,2,2,0
LLMs4OL_OBI_SUB,"function (function, role)",epitope specific cytokine production by t cells,9,0.0,1,1,1
LLMs4OL_OBI_SUB,regulatory role,regulator role,8,0.0,1,1,0
LLMs4OL_OBI_SUB,regulator role,role of regulator of consumables and medical devices,5,1.0,1,1,0
LLMs4OL_OBI_SUB,realizable entity,"continuant (continuant, independent continuant)",50,0.0,1,1,1
LLMs4OL_OBI_SUB,realizable entity,planned process,47,0.0,2,2,1
LLMs4OL_OBI_SUB,material processing,specimen collection process,18,0.0,1,1,1
LLMs4OL_OBI_SUB,material processing,adding a material entity into a target,3,1.0,1,1,0
LLMs4OL_OBI_SUB,material processing,material component separation,3,1.0,1,1,0
LLMs4OL_OBI_SUB,material processing,artificially induced dna repair,3,1.0,1,1,0
LLMs4OL_OBI_SUB,material processing,nanodroplet processing in one pot for trace samples assay,3,1.0,1,1,1
LLMs4OL_OBI_SUB,material processing,dna subtraction,3,1.0,1,1,0
LLMs4OL_OBI_SUB,planned process,material processing,24,0.0,1,1,0
LLMs4OL_OBI_SUB,planned process,assay,68,0.0,1,2,0
LLMs4OL_OBI_SUB,measurement device,spectrophotometer,5,1.0,2,2,0
LLMs4OL_OBI_SUB,measurement device,multichannel pipette,5,1.0,2,2,0
LLMs4OL_OBI_SUB,measurement device,cytometer,25,0.0,2,2,0
LLMs4OL_OBI_SUB,measurement device,"assay array (assay array, microarray)",25,0.0,2,2,1
LLMs4OL_OBI_SUB,device,container,16,0.0,2,2,0
LLMs4OL_OBI_SUB,device,measurement device,52,0.0,2,2,0
LLMs4OL_OBI_SUB,device,material separation device,8,0.0,2,2,0
LLMs4OL_OBI_SUB,device,environmental control device,8,0.0,2,2,0
LLMs4OL_OBI_SUB,material entity,molecular entity,12,0.0,2,2,0
LLMs4OL_OBI_SUB,material entity,processed material,3,1.0,2,2,0
LLMs4OL_OBI_SUB,material entity,material combination,3,1.0,1,1,1
LLMs4OL_OBI_SUB,material entity,device,66,0.0,2,2,0
LLMs4OL_OBI_SUB,material entity,alpha-beta t cell,6,0.0,1,1,1
LLMs4OL_OBI_SUB,"continuant (continuant, independent continuant)",material entity,62,0.0,2,5,0
LLMs4OL_OBI_SUB,"continuant (continuant, independent continuant)",organization,4,0.0,1,2,1
LLMs4OL_OBI_SUB,"continuant (continuant, independent continuant)",data item,12,0.0,1,1,1
LLMs4OL_OBI_SUB,"continuant (continuant, independent continuant)","function (function, role)",20,0.0,1,4,1
LLMs4OL_OBI_SUB,container,test tube,10,0.0,2,2,0
LLMs4OL_OBI_SUB,container,vial,5,1.0,2,2,0
LLMs4OL_OBI_SUB,assay measuring quantitative binding of an epitopemhctcr complex,assay measuring binding of a t cell epitopemhctcr complex,24,0.0,2,2,1
LLMs4OL_OBI_SUB,assay measuring binding of a t cell epitopemhctcr complex,assay measuring a binding constant of a t cell epitopemhctcr complex,18,0.0,2,2,0
LLMs4OL_OBI_SUB,assay measuring a binding constant of a t cell epitopemhctcr complex,assay measuring the on rate kon of a t cell epitopemhctcr complex,10,1.0,2,2,0
LLMs4OL_OBI_SUB,lymphocyte assay,lymphocyte count assay,12,0.0,2,2,0
LLMs4OL_OBI_SUB,lymphocyte assay,t cell epitope assay,42,0.0,2,2,1
LLMs4OL_OBI_SUB,t cell epitope assay,assay measuring quantitative binding of an epitopemhctcr complex,28,0.0,1,1,0
