dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_OBI_SUB,enzymatic activity level assay,insecticide resistance by detecting enzyme activity assay,8,1.0,2,2,1
LLMs4OL_OBI_SUB,enzymatic activity level assay,5-nucleotidase activity level assay,4,1.0,2,2,0
LLMs4OL_OBI_SUB,enzymatic activity level assay,insecticide resistance by detecting glutathione s-transferase activity assay,4,1.0,2,2,1
LLMs4OL_OBI_SUB,insecticide resistance by detecting enzyme activity assay,insecticide resistance by detecting glutathione s-transferase activity assay,6,1.0,2,2,0
LLMs4OL_OBI_SUB,insecticide resistance assay,insecticide resistance by detecting enzyme activity assay,8,1.0,2,2,0
LLMs4OL_OBI_SUB,insecticide resistance assay,insecticide resistance by detecting glutathione s-transferase activity assay,4,1.0,2,2,0
LLMs4OL_OBI_SUB,analyte assay,insecticide resistance by detecting enzyme activity assay,6,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,nanodroplet processing in one pot for trace samples assay,3,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,protein expression profiling assay,3,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,lymphocyte assay,30,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,albumin assay,6,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,parasite detection assay,3,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,assay measuring epitope specific interferon-alpha production by t cells,3,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,carboxyfluorescein succinimidyl ester staining assay,6,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,enzymatic activity level assay,12,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,proximity extension assay,3,1.0,2,2,0
LLMs4OL_OBI_SUB,analyte assay,manual differential bodily fluid monocyte count assay,3,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,comprehensive metabolic panel venous blood albumin assay,3,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,5-nucleotidase activity level assay,3,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,thyroid stimulating hormone assay,6,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,dna subtraction,3,1.0,1,1,1
LLMs4OL_OBI_SUB,analyte assay,insecticide resistance by detecting glutathione s-transferase activity assay,3,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,assay measuring quantitative binding of an epitopemhctcr complex,12,1.0,1,1,1
LLMs4OL_OBI_SUB,analyte assay,t cell epitope assay,21,1.0,1,1,1
LLMs4OL_OBI_SUB,analyte assay,in vivo assay measuring b cell epitope specific protection based on survival,3,1.0,1,1,1
LLMs4OL_OBI_SUB,analyte assay,assay measuring binding of a t cell epitopemhctcr complex,9,1.0,1,1,1
LLMs4OL_OBI_SUB,analyte assay,assay measuring the on rate kon of a t cell epitopemhctcr complex,3,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,polymerase chain reaction assay,3,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,carboxyfluorescein succinimidyl ester staining assay measuring epitope specific proliferation of t cells,3,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,insecticide resistance assay,9,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,venous blood thyroid stimulating hormone assay,3,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,assay measuring a binding constant of a t cell epitopemhctcr complex,6,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,organism detection assay,6,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,lymphocyte count assay,6,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,cytometry assay,15,1.0,1,1,1
LLMs4OL_OBI_SUB,analyte assay,monocyte assay,6,1.0,2,2,1
LLMs4OL_OBI_SUB,analyte assay,blood assay,48,1.0,1,1,1
LLMs4OL_OBI_SUB,analyte assay,affymetrix rhesus macaque genome array,3,1.0,1,1,1
LLMs4OL_OBI_SUB,assay,insecticide resistance by detecting enzyme activity assay,4,1.0,2,2,0
LLMs4OL_OBI_SUB,assay,nanodroplet processing in one pot for trace samples assay,2,1.0,2,2,0
