dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_OBI_SUB,insecticide resistance assay,insecticide resistance by detecting glutathione s-transferase activity assay,1,1.0,0,4,0
LLMs4OL_OBI_SUB,insecticide resistance assay,insecticide resistance by detecting enzyme activity assay,1,1.0,0,4,0
LLMs4OL_OBI_SUB,assay,insecticide resistance by detecting glutathione s-transferase activity assay,1,1.0,0,2,0
LLMs4OL_OBI_SUB,assay,nanodroplet processing in one pot for trace samples assay,1,1.0,1,2,0
LLMs4OL_OBI_SUB,assay,t cell epitope assay,9,0.375,1,1,1
LLMs4OL_OBI_SUB,assay,comprehensive metabolic panel venous blood albumin assay,1,1.0,0,1,0
LLMs4OL_OBI_SUB,assay,epitope protection experiment based on survival,2,1.0,0,1,1
LLMs4OL_OBI_SUB,assay,carboxyfluorescein succinimidyl ester staining assay measuring epitope specific proliferation of t cells,1,1.0,0,2,0
LLMs4OL_OBI_SUB,assay,thyroid stimulating hormone assay,2,0.0,1,2,1
LLMs4OL_OBI_SUB,assay,in vivo assay measuring b cell epitope specific protection based on survival,1,1.0,1,2,1
LLMs4OL_OBI_SUB,assay,insecticide resistance by detecting enzyme activity assay,1,1.0,0,2,0
LLMs4OL_OBI_SUB,assay,assay measuring quantitative binding of an epitopemhctcr complex,3,0.0,0,1,1
LLMs4OL_OBI_SUB,assay,epitope protection experiment,2,1.0,0,2,1
LLMs4OL_OBI_SUB,assay,dna microarray,2,0.0,0,2,1
LLMs4OL_OBI_SUB,assay,lymphocyte assay,2,0.0,0,1,1
LLMs4OL_OBI_SUB,assay,protein expression profiling assay,1,1.0,0,2,0
LLMs4OL_OBI_SUB,assay,epitope specific interleukin-3 production by t cells,1,1.0,1,2,1
LLMs4OL_OBI_SUB,assay,manual differential bodily fluid monocyte count assay,1,1.0,0,1,1
LLMs4OL_OBI_SUB,enzymatic activity level assay,insecticide resistance by detecting glutathione s-transferase activity assay,1,1.0,0,2,1
LLMs4OL_OBI_SUB,enzymatic activity level assay,5-nucleotidase activity level assay,1,1.0,0,2,0
LLMs4OL_OBI_SUB,enzymatic activity level assay,insecticide resistance by detecting enzyme activity assay,1,1.0,0,2,1
LLMs4OL_OBI_SUB,function,regulatory role,9,0.5,0,2,1
LLMs4OL_OBI_SUB,function,adjuvant role,3,1.0,0,2,1
LLMs4OL_OBI_SUB,function,regulator role,6,0.0,0,2,1
LLMs4OL_OBI_SUB,function,accessed material role,3,1.0,0,2,1
LLMs4OL_OBI_SUB,function,connection function,3,1.0,1,2,0
LLMs4OL_OBI_SUB,function,functional assessment of individual,3,1.0,1,1,1
LLMs4OL_OBI_SUB,regulatory role,regulator role,10,1.0,0,2,0
LLMs4OL_OBI_SUB,regulatory role,role of regulator of consumables and medical devices,5,1.0,0,1,0
LLMs4OL_OBI_SUB,regulator role,role of regulator of consumables and medical devices,6,1.0,0,4,0
LLMs4OL_OBI_SUB,t cell epitope assay,assay measuring quantitative binding of an epitopemhctcr complex,9,1.0,1,3,0
LLMs4OL_OBI_SUB,t cell epitope assay,assay measuring epitope specific interferon-alpha production by t cells,3,1.0,1,3,1
LLMs4OL_OBI_SUB,t cell epitope assay,assay measuring binding of a t cell epitopemhctcr complex,3,1.0,1,3,0
LLMs4OL_OBI_SUB,t cell epitope assay,assay measuring the on rate kon of a t cell epitopemhctcr complex,3,1.0,1,3,0
LLMs4OL_OBI_SUB,t cell epitope assay,assay measuring a binding constant of a t cell epitopemhctcr complex,3,1.0,1,3,0
LLMs4OL_OBI_SUB,t cell epitope assay,carboxyfluorescein succinimidyl ester staining assay measuring epitope specific proliferation of t cells,3,1.0,1,1,1
LLMs4OL_OBI_SUB,t cell epitope assay,epitope specific cytokine production by t cells,9,1.0,1,1,1
LLMs4OL_OBI_SUB,t cell epitope assay,epitope specific interleukin-3 production by t cells,3,1.0,2,3,1
LLMs4OL_OBI_SUB,assay measuring quantitative binding of an epitopemhctcr complex,assay measuring the on rate kon of a t cell epitopemhctcr complex,4,1.0,0,1,0
LLMs4OL_OBI_SUB,assay measuring quantitative binding of an epitopemhctcr complex,assay measuring a binding constant of a t cell epitopemhctcr complex,4,1.0,0,1,0
LLMs4OL_OBI_SUB,epitope specific cytokine production by t cells,epitope specific interleukin-3 production by t cells,4,1.0,2,4,0
LLMs4OL_OBI_SUB,epitope specific cytokine production by t cells,assay measuring epitope specific interferon-alpha production by t cells,4,1.0,1,1,1
LLMs4OL_OBI_SUB,container,anticoagulant-containing test tube,3,1.0,0,2,0
LLMs4OL_OBI_SUB,device,anticoagulant-containing test tube,3,1.0,0,2,0
LLMs4OL_OBI_SUB,device,dna microarray,6,0.0,0,2,0
LLMs4OL_OBI_SUB,device,flow cytometer analyzer,3,1.0,0,1,0
LLMs4OL_OBI_SUB,vial,anticoagulant-containing test tube,3,1.0,0,2,0
LLMs4OL_OBI_SUB,material entity,anticoagulant-containing test tube,3,1.0,0,2,0
LLMs4OL_OBI_SUB,material entity,dna microarray,6,0.0,0,2,0
LLMs4OL_OBI_SUB,material entity,measurement device,9,1.0,0,1,0
LLMs4OL_OBI_SUB,material entity,material separation device,3,1.0,0,1,0
LLMs4OL_OBI_SUB,material entity,environmental control device,3,1.0,0,1,0
LLMs4OL_OBI_SUB,material entity,flow cytometer,6,1.0,0,1,0
LLMs4OL_OBI_SUB,material entity,spectrophotometer,3,1.0,0,1,0
LLMs4OL_OBI_SUB,material entity,cryostat,3,1.0,0,1,0
LLMs4OL_OBI_SUB,material entity,multichannel pipette,3,1.0,0,1,0
LLMs4OL_OBI_SUB,material entity,cytometer,9,1.0,0,1,0
