dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_OBI_SUB,insecticide resistance assay,insecticide resistance by detecting enzyme activity assay,4,1.0,2,3,0
LLMs4OL_OBI_SUB,insecticide resistance assay,insecticide resistance by detecting glutathione s-transferase activity assay,2,1.0,2,4,0
LLMs4OL_OBI_SUB,insecticide resistance by detecting enzyme activity assay,insecticide resistance by detecting glutathione s-transferase activity assay,4,1.0,2,3,0
LLMs4OL_OBI_SUB,assay,insecticide resistance by detecting enzyme activity assay,2,1.0,1,1,0
LLMs4OL_OBI_SUB,assay,nanodroplet processing in one pot for trace samples assay,1,1.0,1,2,0
LLMs4OL_OBI_SUB,assay,assay measuring quantitative binding of an epitopemhctcr complex,3,1.0,1,1,1
LLMs4OL_OBI_SUB,assay,t cell epitope assay,7,1.0,2,4,1
LLMs4OL_OBI_SUB,assay,protein expression profiling assay,1,1.0,2,3,0
LLMs4OL_OBI_SUB,assay,lymphocyte assay,10,1.0,2,2,1
LLMs4OL_OBI_SUB,assay,albumin assay,2,1.0,2,4,1
LLMs4OL_OBI_SUB,assay,epitope protection experiment,3,1.0,1,2,1
LLMs4OL_OBI_SUB,assay,parasite detection assay,1,1.0,2,2,0
LLMs4OL_OBI_SUB,assay,insecticide resistance assay,3,1.0,2,3,0
LLMs4OL_OBI_SUB,assay,carboxyfluorescein succinimidyl ester staining assay,2,1.0,2,2,0
LLMs4OL_OBI_SUB,assay,enzymatic activity level assay,4,1.0,2,3,0
LLMs4OL_OBI_SUB,assay,proximity extension assay,1,1.0,2,2,0
LLMs4OL_OBI_SUB,assay,manual differential bodily fluid monocyte count assay,1,1.0,2,3,1
LLMs4OL_OBI_SUB,assay,comprehensive metabolic panel venous blood albumin assay,1,1.0,2,3,0
LLMs4OL_OBI_SUB,assay,5-nucleotidase activity level assay,1,1.0,2,3,0
LLMs4OL_OBI_SUB,assay,thyroid stimulating hormone assay,2,1.0,2,3,1
LLMs4OL_OBI_SUB,assay,in vivo assay measuring b cell epitope specific protection based on survival,1,1.0,2,4,1
LLMs4OL_OBI_SUB,assay,insecticide resistance by detecting glutathione s-transferase activity assay,1,1.0,2,3,0
LLMs4OL_OBI_SUB,assay,polymerase chain reaction assay,1,1.0,1,1,0
LLMs4OL_OBI_SUB,assay,blood assay,6,1.0,2,3,0
LLMs4OL_OBI_SUB,assay,cytometry assay,2,1.0,2,2,1
LLMs4OL_OBI_SUB,assay,organism detection assay,2,1.0,2,3,0
LLMs4OL_OBI_SUB,assay,lymphocyte count assay,1,1.0,2,3,1
LLMs4OL_OBI_SUB,assay,assay measuring epitope specific interferon-alpha production by t cells,1,1.0,1,3,1
LLMs4OL_OBI_SUB,assay,assay measuring binding of a t cell epitopemhctcr complex,4,1.0,1,2,1
LLMs4OL_OBI_SUB,assay,analyte assay,16,1.0,1,2,0
LLMs4OL_OBI_SUB,assay,assay measuring the on rate kon of a t cell epitopemhctcr complex,1,1.0,1,2,1
LLMs4OL_OBI_SUB,assay,epitope protection experiment based on survival,2,1.0,1,2,1
LLMs4OL_OBI_SUB,assay,carboxyfluorescein succinimidyl ester staining assay measuring epitope specific proliferation of t cells,1,1.0,1,2,0
LLMs4OL_OBI_SUB,assay,venous blood thyroid stimulating hormone assay,1,1.0,1,2,0
LLMs4OL_OBI_SUB,assay,assay measuring a binding constant of a t cell epitopemhctcr complex,2,1.0,1,2,1
LLMs4OL_OBI_SUB,assay,assay array,3,0.0,1,3,1
LLMs4OL_OBI_SUB,assay,monocyte assay,2,1.0,1,3,1
LLMs4OL_OBI_SUB,enzymatic activity level assay,insecticide resistance by detecting enzyme activity assay,4,1.0,2,4,1
LLMs4OL_OBI_SUB,enzymatic activity level assay,5-nucleotidase activity level assay,2,1.0,2,5,0
LLMs4OL_OBI_SUB,enzymatic activity level assay,insecticide resistance by detecting glutathione s-transferase activity assay,2,1.0,2,5,1
LLMs4OL_OBI_SUB,realizable entity,role,22,0.9,2,4,0
LLMs4OL_OBI_SUB,realizable entity,adjuvant role,2,1.0,2,4,0
LLMs4OL_OBI_SUB,realizable entity,regulatory role,6,1.0,2,5,0
LLMs4OL_OBI_SUB,realizable entity,function,10,0.75,2,4,1
LLMs4OL_OBI_SUB,realizable entity,accessed material role,2,1.0,2,4,0
LLMs4OL_OBI_SUB,realizable entity,regulator role,4,1.0,2,5,0
LLMs4OL_OBI_SUB,realizable entity,role of regulator of consumables and medical devices,2,1.0,2,4,0
LLMs4OL_OBI_SUB,realizable entity,connection function,2,1.0,2,4,1
