dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_OBI_SUB,assay,insecticide resistance by detecting enzyme activity assay,4,1.0,1,2,0
LLMs4OL_OBI_SUB,assay,nanodroplet processing in one pot for trace samples assay,2,1.0,1,2,0
LLMs4OL_OBI_SUB,assay,assay measuring quantitative binding of an epitopemhctcr complex,6,1.0,1,3,1
LLMs4OL_OBI_SUB,assay,t cell epitope assay,14,1.0,1,2,1
LLMs4OL_OBI_SUB,assay,protein expression profiling assay,4,1.0,1,3,0
LLMs4OL_OBI_SUB,assay,lymphocyte assay,20,1.0,1,2,1
LLMs4OL_OBI_SUB,assay,albumin assay,4,1.0,1,2,1
LLMs4OL_OBI_SUB,assay,epitope protection experiment,6,1.0,1,2,1
LLMs4OL_OBI_SUB,assay,parasite detection assay,2,1.0,1,1,0
LLMs4OL_OBI_SUB,assay,assay measuring epitope specific interferon-alpha production by t cells,2,1.0,1,2,1
LLMs4OL_OBI_SUB,assay,carboxyfluorescein succinimidyl ester staining assay,4,1.0,1,1,0
LLMs4OL_OBI_SUB,assay,enzymatic activity level assay,8,1.0,1,2,0
LLMs4OL_OBI_SUB,assay,proximity extension assay,2,1.0,1,3,0
LLMs4OL_OBI_SUB,assay,manual differential bodily fluid monocyte count assay,2,1.0,1,2,1
LLMs4OL_OBI_SUB,assay,comprehensive metabolic panel venous blood albumin assay,2,1.0,1,2,0
LLMs4OL_OBI_SUB,assay,5-nucleotidase activity level assay,2,1.0,1,2,0
LLMs4OL_OBI_SUB,assay,thyroid stimulating hormone assay,4,1.0,1,3,1
LLMs4OL_OBI_SUB,assay,dna subtraction,2,1.0,1,3,1
LLMs4OL_OBI_SUB,assay,in vivo assay measuring b cell epitope specific protection based on survival,2,1.0,1,2,1
LLMs4OL_OBI_SUB,assay,insecticide resistance by detecting glutathione s-transferase activity assay,2,1.0,1,2,0
LLMs4OL_OBI_SUB,assay,assay measuring binding of a t cell epitopemhctcr complex,8,1.0,1,3,1
LLMs4OL_OBI_SUB,assay,analyte assay,18,1.0,1,2,0
LLMs4OL_OBI_SUB,assay,dna microarray,4,0.0,1,2,1
LLMs4OL_OBI_SUB,assay,assay measuring the on rate kon of a t cell epitopemhctcr complex,2,1.0,1,2,1
LLMs4OL_OBI_SUB,assay,polymerase chain reaction assay,2,1.0,1,2,0
LLMs4OL_OBI_SUB,assay,epitope protection experiment based on survival,4,1.0,1,2,1
LLMs4OL_OBI_SUB,assay,microarray,6,0.5,1,1,1
LLMs4OL_OBI_SUB,assay,blood assay,10,1.0,1,3,0
LLMs4OL_OBI_SUB,assay,carboxyfluorescein succinimidyl ester staining assay measuring epitope specific proliferation of t cells,2,1.0,1,2,0
LLMs4OL_OBI_SUB,assay,insecticide resistance assay,6,1.0,1,2,0
LLMs4OL_OBI_SUB,assay,venous blood thyroid stimulating hormone assay,2,1.0,1,2,0
LLMs4OL_OBI_SUB,assay,assay measuring a binding constant of a t cell epitopemhctcr complex,4,1.0,1,2,1
LLMs4OL_OBI_SUB,assay,organism detection assay,4,1.0,1,1,0
LLMs4OL_OBI_SUB,assay,lymphocyte count assay,2,1.0,1,2,1
LLMs4OL_OBI_SUB,assay,cytometry assay,6,1.0,1,1,1
LLMs4OL_OBI_SUB,assay,assay array,8,0.6666666666666666,1,1,1
LLMs4OL_OBI_SUB,assay,monocyte assay,4,1.0,1,2,1
LLMs4OL_OBI_SUB,insecticide resistance by detecting enzyme activity assay,insecticide resistance by detecting glutathione s-transferase activity assay,5,1.0,1,2,0
LLMs4OL_OBI_SUB,enzymatic activity level assay,insecticide resistance by detecting enzyme activity assay,6,1.0,1,2,1
LLMs4OL_OBI_SUB,enzymatic activity level assay,5-nucleotidase activity level assay,3,1.0,1,2,0
LLMs4OL_OBI_SUB,enzymatic activity level assay,insecticide resistance by detecting glutathione s-transferase activity assay,3,1.0,1,2,1
LLMs4OL_OBI_SUB,insecticide resistance assay,insecticide resistance by detecting enzyme activity assay,6,1.0,1,2,0
LLMs4OL_OBI_SUB,insecticide resistance assay,insecticide resistance by detecting glutathione s-transferase activity assay,3,1.0,1,2,0
LLMs4OL_OBI_SUB,realizable entity,role,22,0.8,1,2,0
LLMs4OL_OBI_SUB,realizable entity,adjuvant role,2,1.0,1,2,0
LLMs4OL_OBI_SUB,realizable entity,albumin assay,4,0.0,1,2,1
