dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",abscission zone,8,0.0,1,1,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",axil,4,1.0,1,1,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",plant axis differentiation zone,12,0.0,1,1,0
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",shoot axis node,8,0.0,1,1,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",shoot axis apex,24,0.0,1,1,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)","fruit pedicel (fruit pedicel, infructescence fruit pedicel)",4,1.0,1,4,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",pulvinus,4,1.0,1,2,0
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",plant ovary wall middle layer,4,1.0,1,2,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",central root cap,20,0.0,1,2,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",shoot-borne internode root,4,1.0,1,2,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",tuber pith,4,1.0,1,2,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",upper glume,12,0.0,1,2,1
LLMs4OL_PO_SUB,multi-tissue plant structure,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",84,0.0,1,0,1
LLMs4OL_PO_SUB,multi-tissue plant structure,phyllome,30,0.0,2,2,0
LLMs4OL_PO_SUB,multi-tissue plant structure,plant epidermis,36,0.0,1,1,1
LLMs4OL_PO_SUB,multi-tissue plant structure,shoot system,33,0.0,2,2,1
LLMs4OL_PO_SUB,multi-tissue plant structure,basal root,3,1.0,2,2,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant organ, plant structure)",native plant cell,9,0.0,2,2,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant organ, plant structure)",portion of plant tissue,76,0.0,1,0,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant organ, plant structure)",root development stage,3,0.0,1,0,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant organ, plant structure)",stem elongation stage,3,0.0,1,0,1
LLMs4OL_PO_SUB,shoot system,reproductive shoot system,36,0.0,2,2,1
LLMs4OL_PO_SUB,shoot system,"subterranean tuber axillary shoot (subterranean tuber axillary shoot, tuber axillary shoot)",4,1.0,1,1,1
LLMs4OL_PO_SUB,reproductive shoot system,flower,15,0.0,1,1,0
LLMs4OL_PO_SUB,reproductive shoot system,fruit,10,0.0,1,1,1
LLMs4OL_PO_SUB,reproductive shoot system,reproductive bud,15,0.0,1,1,0
LLMs4OL_PO_SUB,pith,tuber pith,5,1.0,2,2,0
LLMs4OL_PO_SUB,plant axis differentiation zone,shoot internode differentiation zone,10,0.0,2,2,0
LLMs4OL_PO_SUB,shoot internode differentiation zone,branch internode differentiation zone,6,1.0,2,2,0
LLMs4OL_PO_SUB,plant epidermis,phyllome epidermis,40,0.1111111111111111,2,2,0
LLMs4OL_PO_SUB,plant epidermis,shoot system epidermis,4,1.0,2,2,0
LLMs4OL_PO_SUB,plant epidermis,seed coat epidermis,4,1.0,2,2,0
LLMs4OL_PO_SUB,portion of plant tissue,portion of ground tissue,16,0.0,2,2,0
LLMs4OL_PO_SUB,portion of plant tissue,portion of meristem tissue,16,0.0,2,2,0
LLMs4OL_PO_SUB,portion of plant tissue,multi-tissue plant structure,114,0.0,1,1,1
LLMs4OL_PO_SUB,portion of plant tissue,primordium,4,0.0,1,1,1
LLMs4OL_PO_SUB,portion of plant tissue,coma,2,1.0,1,1,0
LLMs4OL_PO_SUB,vascular leaf,adult vascular leaf,6,1.0,2,2,0
LLMs4OL_PO_SUB,vascular leaf,spine leaf,6,1.0,1,1,0
LLMs4OL_PO_SUB,vascular leaf,flag leaf,6,1.0,1,1,0
LLMs4OL_PO_SUB,central root cap,lateral root cap,15,0.0,1,0,1
LLMs4OL_PO_SUB,central root cap,central root cap of lateral root,5,1.0,2,2,0
LLMs4OL_PO_SUB,chlorenchyma cell,mesophyll cell,5,1.0,1,1,0
LLMs4OL_PO_SUB,lateral meristem,cambium,8,0.0,2,2,0
LLMs4OL_PO_SUB,shoot procambium,leaf procambium,5,1.0,1,1,0
LLMs4OL_PO_SUB,shoot axis apex,terminal bud,25,0.0,1,1,1
LLMs4OL_PO_SUB,storage parenchyma,tuber storage parenchyma,5,1.0,1,1,0
LLMs4OL_PO_SUB,reproductive bud,strobilus bud,18,0.0,2,2,0
LLMs4OL_PO_SUB,terminal bud,terminal reproductive bud,12,0.0,2,2,0
LLMs4OL_PO_SUB,terminal bud,reproductive bud,18,0.0,1,0,1
LLMs4OL_PO_SUB,ground tissue cell,parenchyma cell,9,0.0,2,2,0
LLMs4OL_PO_SUB,strobilus bud,terminal strobilus bud,10,1.0,2,2,0
LLMs4OL_PO_SUB,flower,pistillate flower,6,1.0,2,2,0
LLMs4OL_PO_SUB,flower,"ear floret (ear floret, spikelet floret)",6,1.0,2,4,0
LLMs4OL_PO_SUB,parenchyma,chlorenchyma,4,1.0,2,2,0
LLMs4OL_PO_SUB,parenchyma,storage parenchyma,8,0.0,2,2,1
LLMs4OL_PO_SUB,parenchyma,root parenchyma,4,1.0,2,2,0
LLMs4OL_PO_SUB,parenchyma,pith,8,0.0,1,1,0
LLMs4OL_PO_SUB,phyllome epidermis,leaf epidermis,20,0.0,2,3,0
LLMs4OL_PO_SUB,phyllome epidermis,bract epidermis,10,0.0,2,2,0
LLMs4OL_PO_SUB,phyllome epidermis,carpel epidermis,5,1.0,1,1,0
LLMs4OL_PO_SUB,phyllome epidermis,style epidermis,5,1.0,1,1,0
LLMs4OL_PO_SUB,phyllome epidermis,shoot system epidermis,5,1.0,1,0,1
LLMs4OL_PO_SUB,leaf,vascular leaf,20,0.0,2,2,0
LLMs4OL_PO_SUB,leaf,sporophyll,5,1.0,2,2,1
LLMs4OL_PO_SUB,procambium,shoot procambium,8,0.0,2,2,0
LLMs4OL_PO_SUB,primordium,root primordium,3,1.0,1,1,0
