dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)","fruit pedicel (fruit pedicel, infructescence fruit pedicel)",4,1.0,1,4,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",tuber pith,4,1.0,1,2,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",lateral root cap of lateral root,4,1.0,1,2,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",plant ovary wall middle layer,4,1.0,1,2,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",floral organ abscission zone,4,1.0,1,2,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",shoot-borne internode root,4,1.0,1,2,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",central root cap,8,1.0,1,2,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",lateral root cap,20,1.0,1,2,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",upper glume of pedicellate spikelet of tassel,4,1.0,1,2,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",upper glume,12,1.0,1,2,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",pulvinus,4,1.0,1,2,0
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",upper glume of tassel spikelet,8,1.0,1,2,1
LLMs4OL_PO_SUB,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",lateral root cap of primary root,4,1.0,1,1,1
