dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_PO_SUB,fruit pedicel,infructescence fruit pedicel,5,1.0,1,2,0
LLMs4OL_PO_SUB,plant organ,infructescence fruit pedicel,3,1.0,2,3,1
LLMs4OL_PO_SUB,plant organ,vascular leaf,15,1.0,2,3,0
LLMs4OL_PO_SUB,plant organ,adult vascular leaf,6,1.0,2,3,0
LLMs4OL_PO_SUB,plant organ,basal root,3,1.0,2,3,1
LLMs4OL_PO_SUB,plant organ,subterranean tuber axillary shoot,3,1.0,2,3,1
LLMs4OL_PO_SUB,plant organ,shoot-borne internode root,3,1.0,2,3,1
LLMs4OL_PO_SUB,plant organ,pistillate flower,3,1.0,2,3,1
LLMs4OL_PO_SUB,plant organ,reproductive bud,12,1.0,1,1,1
LLMs4OL_PO_SUB,plant organ,terminal bud,12,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,strobilus bud,6,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,flower,12,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,leaf,18,1.0,1,1,0
LLMs4OL_PO_SUB,plant organ,terminal strobilus bud,3,1.0,2,3,1
LLMs4OL_PO_SUB,plant organ,spine leaf,3,1.0,2,3,0
LLMs4OL_PO_SUB,plant organ,sporophyll,3,1.0,2,3,0
LLMs4OL_PO_SUB,plant organ,spikelet floret,6,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,flag leaf,3,1.0,2,4,0
LLMs4OL_PO_SUB,plant organ,ear floret,3,1.0,2,3,1
LLMs4OL_PO_SUB,plant organ,fruit,12,1.0,2,3,1
LLMs4OL_PO_SUB,plant organ,upper glume,9,1.0,2,3,1
LLMs4OL_PO_SUB,plant organ,fruit pedicel,6,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,terminal reproductive bud,9,1.0,2,3,1
LLMs4OL_PO_SUB,plant organ,samara fruit,3,1.0,2,3,1
LLMs4OL_PO_SUB,plant organ,pulvinus,3,1.0,2,3,1
LLMs4OL_PO_SUB,plant organ,tuber axillary shoot,6,1.0,2,3,1
LLMs4OL_PO_SUB,plant organ,phyllome,36,1.0,2,4,0
LLMs4OL_PO_SUB,plant organ,upper glume of pedicellate spikelet of tassel,3,1.0,2,3,1
LLMs4OL_PO_SUB,plant organ,upper glume of tassel spikelet,6,1.0,2,2,1
LLMs4OL_PO_SUB,plant organ,primordium,6,0.0,1,2,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",infructescence fruit pedicel,1,1.0,2,7,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",shoot system,4,1.0,2,7,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",tuber pith,1,1.0,2,9,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",plant axis differentiation zone,3,1.0,2,7,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",style epidermis,1,1.0,2,4,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",multi-tissue plant structure,49,1.0,2,9,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",lateral root cap of primary root,1,1.0,2,5,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",lateral root cap of lateral root,1,1.0,2,9,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",plant ovary wall middle layer,1,1.0,2,9,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",shoot internode differentiation zone,2,1.0,2,9,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",tuber storage parenchyma,2,1.0,2,7,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",axil,1,1.0,2,9,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",root parenchyma,1,1.0,2,8,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",vascular leaf,5,1.0,2,7,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",portion of meristem tissue,10,1.0,2,9,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)","chlorenchyma cell (chlorenchyma cell, mesophyll cell)",1,1.0,2,16,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",plant organ,31,1.0,2,7,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",seed coat epidermis,1,1.0,2,5,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",adult vascular leaf,2,1.0,2,7,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",floral organ abscission zone,1,1.0,2,7,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",plant gamete,4,1.0,2,9,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",plant sperm cell,1,1.0,2,7,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",cardinal part of multi-tissue plant structure,7,1.0,2,7,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",basal root,1,1.0,2,7,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",subterranean tuber axillary shoot,1,1.0,2,5,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",pith,2,1.0,2,9,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",shoot-borne internode root,1,1.0,2,7,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",central root cap,2,1.0,2,9,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",plant epidermis,12,1.0,2,7,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",lateral meristem,4,1.0,2,5,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",central endosperm,1,1.0,2,7,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",shoot procambium,1,1.0,2,7,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",pistillate flower,1,1.0,2,7,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",shoot axis apex,1,1.0,2,7,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",branch internode differentiation zone,1,1.0,2,7,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",storage parenchyma,3,1.0,2,5,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",leaf lamina adaxial epidermis,1,1.0,2,5,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",reproductive bud,4,1.0,2,8,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",terminal bud,4,1.0,2,9,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",cork cambium,1,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",ground tissue cell,8,1.0,2,6,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",embryo sac egg cell,1,1.0,2,5,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",bract adaxial epidermis,1,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",strobilus bud,2,1.0,2,9,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",carpel epidermis,1,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",plant callus,1,1.0,2,7,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",flower,4,1.0,2,9,1
