dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_PO_SUB,fruit pedicel,infructescence fruit pedicel,6,1.0,2,5,0
LLMs4OL_PO_SUB,plant organ,infructescence fruit pedicel,3,1.0,1,2,1
LLMs4OL_PO_SUB,plant organ,plant ovary wall middle layer,3,1.0,1,1,1
LLMs4OL_PO_SUB,plant organ,vascular leaf,12,1.0,2,4,0
LLMs4OL_PO_SUB,plant organ,leaf,33,0.5,2,5,0
LLMs4OL_PO_SUB,plant organ,adult vascular leaf,6,1.0,2,5,0
LLMs4OL_PO_SUB,plant organ,basal root,3,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,shoot-borne internode root,3,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,pistillate flower,3,1.0,2,5,1
LLMs4OL_PO_SUB,plant organ,flower,12,1.0,2,7,1
LLMs4OL_PO_SUB,plant organ,reproductive bud,15,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,terminal bud,9,1.0,2,6,1
LLMs4OL_PO_SUB,plant organ,strobilus bud,6,1.0,2,5,1
LLMs4OL_PO_SUB,plant organ,terminal strobilus bud,3,1.0,2,5,1
LLMs4OL_PO_SUB,plant organ,spikelet floret,6,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,ear floret,3,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,fruit,15,1.0,2,5,1
LLMs4OL_PO_SUB,plant organ,samara fruit,3,1.0,2,5,1
LLMs4OL_PO_SUB,plant organ,fruit pedicel,6,1.0,2,5,1
LLMs4OL_PO_SUB,plant organ,pulvinus,3,1.0,1,2,1
LLMs4OL_PO_SUB,plant organ,phyllome,54,0.4117647058823529,2,5,0
LLMs4OL_PO_SUB,plant organ,spine leaf,3,1.0,2,5,0
LLMs4OL_PO_SUB,plant organ,sporophyll,3,1.0,2,5,0
LLMs4OL_PO_SUB,plant organ,flag leaf,3,1.0,2,4,0
LLMs4OL_PO_SUB,plant organ,upper glume,9,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,upper glume of pedicellate spikelet of tassel,3,1.0,2,5,1
LLMs4OL_PO_SUB,plant organ,upper glume of tassel spikelet,6,1.0,2,5,1
LLMs4OL_PO_SUB,plant organ,tuber axillary shoot,6,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,subterranean tuber axillary shoot,3,1.0,2,5,1
LLMs4OL_PO_SUB,plant organ,shoot axis apex,39,0.25,1,1,1
LLMs4OL_PO_SUB,plant organ,central root cap of lateral root,3,1.0,1,2,1
LLMs4OL_PO_SUB,plant organ,terminal reproductive bud,6,1.0,1,2,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",infructescence fruit pedicel,1,1.0,2,7,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",shoot system,35,1.0,2,7,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",tuber pith,1,1.0,2,7,0
