dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_PO_SUB,fruit pedicel,infructescence fruit pedicel,5,1.0,1,2,0
LLMs4OL_PO_SUB,plant structure,infructescence fruit pedicel,1,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,shoot system,5,1.0,2,5,1
LLMs4OL_PO_SUB,plant structure,tuber pith,1,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,plant axis differentiation zone,3,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,style epidermis,1,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,multi-tissue plant structure,52,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,lateral root cap of primary root,1,1.0,2,3,0
LLMs4OL_PO_SUB,plant structure,lateral root cap of lateral root,2,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,plant ovary wall middle layer,1,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,shoot internode differentiation zone,2,1.0,2,5,0
LLMs4OL_PO_SUB,plant structure,tuber storage parenchyma,1,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,axil,1,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,root parenchyma,1,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,vascular leaf,3,1.0,2,5,0
LLMs4OL_PO_SUB,plant structure,portion of meristem tissue,11,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,mesophyll cell,1,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,plant organ,34,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,seed coat epidermis,1,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,adult vascular leaf,2,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,floral organ abscission zone,1,1.0,2,5,0
LLMs4OL_PO_SUB,plant structure,plant gamete,4,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,plant sperm cell,1,1.0,1,2,1
LLMs4OL_PO_SUB,plant structure,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",8,1.0,2,5,0
LLMs4OL_PO_SUB,plant structure,basal root,1,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,subterranean tuber axillary shoot,1,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,pith,2,1.0,2,3,0
LLMs4OL_PO_SUB,plant structure,shoot-borne internode root,1,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,central root cap,2,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,chlorenchyma cell,2,1.0,1,2,1
LLMs4OL_PO_SUB,plant structure,plant epidermis,11,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,lateral meristem,6,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,central endosperm,1,1.0,2,3,0
LLMs4OL_PO_SUB,plant structure,shoot procambium,1,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,pistillate flower,1,1.0,2,3,1
LLMs4OL_PO_SUB,plant structure,shoot axis apex,1,1.0,2,3,1
LLMs4OL_PO_SUB,plant structure,branch internode differentiation zone,1,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,storage parenchyma,3,1.0,1,2,1
LLMs4OL_PO_SUB,plant structure,"leaf adaxial epidermis (leaf adaxial epidermis, leaf lamina adaxial epidermis)",1,1.0,2,7,0
LLMs4OL_PO_SUB,plant structure,reproductive bud,4,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,terminal bud,3,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,cork cambium,1,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,ground tissue cell,8,1.0,1,2,1
LLMs4OL_PO_SUB,plant structure,embryo sac egg cell,1,1.0,1,1,1
LLMs4OL_PO_SUB,plant structure,bract adaxial epidermis,1,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,strobilus bud,2,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,carpel epidermis,2,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,plant callus,1,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,flower,4,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,parenchyma,12,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,central root cap of lateral root,1,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,phyllome epidermis,5,1.0,2,5,0
LLMs4OL_PO_SUB,plant structure,leaf procambium,1,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,leaf,6,1.0,2,5,0
LLMs4OL_PO_SUB,plant structure,terminal strobilus bud,1,1.0,2,3,1
LLMs4OL_PO_SUB,plant structure,procambium,3,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,inflorescence axis node,1,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,primordium,2,1.0,2,3,1
LLMs4OL_PO_SUB,plant structure,root primordium,1,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,spine leaf,1,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,sporophyll,1,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,"leaf epidermis (leaf epidermis, leaf lamina epidermis)",2,1.0,2,9,0
LLMs4OL_PO_SUB,plant structure,spikelet floret,2,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,shoot system epidermis,8,1.0,2,5,0
LLMs4OL_PO_SUB,plant structure,flag leaf,1,1.0,2,5,0
LLMs4OL_PO_SUB,plant structure,shoot axis node,3,1.0,2,5,1
LLMs4OL_PO_SUB,plant structure,portion of plant tissue,50,1.0,2,5,0
LLMs4OL_PO_SUB,plant structure,lateral root cap,4,1.0,2,5,0
LLMs4OL_PO_SUB,plant structure,reproductive shoot system,1,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,ear floret,1,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,parenchyma cell,7,1.0,1,2,1
LLMs4OL_PO_SUB,plant structure,abscission zone,2,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,chlorenchyma,3,1.0,2,5,0
LLMs4OL_PO_SUB,plant structure,portion of ground tissue,11,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,plant egg cell,2,1.0,2,3,1
LLMs4OL_PO_SUB,plant structure,upper glume of pedicellate spikelet of tassel,1,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,cambium,5,1.0,2,5,0
LLMs4OL_PO_SUB,plant structure,fruit,2,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,bract epidermis,2,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,upper glume,3,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,fruit pedicel,2,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,terminal reproductive bud,2,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,samara fruit,1,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,pulvinus,1,1.0,2,5,0
LLMs4OL_PO_SUB,plant structure,upper glume of tassel spikelet,2,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,native plant cell,9,1.0,1,2,1
LLMs4OL_PO_SUB,plant structure,tuber axillary shoot,2,1.0,2,4,1
LLMs4OL_PO_SUB,plant structure,phyllome,15,1.0,2,4,0
LLMs4OL_PO_SUB,plant structure,plant anatomical entity,90,1.0,1,1,1
LLMs4OL_PO_SUB,plant structure,po_0000055,12,1.0,1,2,1
LLMs4OL_PO_SUB,plant structure,coma,1,1.0,1,2,0
LLMs4OL_PO_SUB,multi-tissue plant structure,infructescence fruit pedicel,3,1.0,1,2,1
LLMs4OL_PO_SUB,multi-tissue plant structure,shoot system,15,1.0,2,5,1
LLMs4OL_PO_SUB,multi-tissue plant structure,plant axis differentiation zone,9,1.0,1,2,1
LLMs4OL_PO_SUB,multi-tissue plant structure,leaf,18,1.0,2,5,0
LLMs4OL_PO_SUB,multi-tissue plant structure,flower,12,0.6666666666666666,2,4,1
LLMs4OL_PO_SUB,multi-tissue plant structure,fruit,6,1.0,2,4,0
LLMs4OL_PO_SUB,multi-tissue plant structure,plant organ,102,0.7878787878787878,2,4,0
