dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_PO_SUB,reproductive shoot system,shoot system epidermis,7,1.0,0,1,1
LLMs4OL_PO_SUB,plant anatomical entity,plant organ,46,0.08888888888888889,0,1,0
LLMs4OL_PO_SUB,plant anatomical entity,plant gamete,3,0.0,0,1,1
LLMs4OL_PO_SUB,plant anatomical entity,plant callus,1,1.0,0,1,0
LLMs4OL_PO_SUB,plant anatomical entity,multi-tissue plant structure,42,0.07317073170731707,0,1,0
LLMs4OL_PO_SUB,plant anatomical entity,root primordium,1,1.0,0,1,1
LLMs4OL_PO_SUB,plant anatomical entity,leaf lamina epidermis,2,0.0,1,2,0
LLMs4OL_PO_SUB,plant anatomical entity,lateral root cap of primary root,1,1.0,0,2,0
LLMs4OL_PO_SUB,plant anatomical entity,lateral root cap of lateral root,2,0.0,0,2,0
LLMs4OL_PO_SUB,plant anatomical entity,floral organ abscission zone,1,1.0,0,1,0
LLMs4OL_PO_SUB,plant organ,leaf,16,0.2857142857142857,0,2,0
LLMs4OL_PO_SUB,plant organ,flower,10,1.0,0,1,1
LLMs4OL_PO_SUB,plant organ,fruit,10,0.5,0,1,1
LLMs4OL_PO_SUB,plant organ,shoot system,16,0.14285714285714285,0,1,1
LLMs4OL_PO_SUB,plant organ,lateral root cap,6,0.0,0,1,1
LLMs4OL_PO_SUB,plant organ,central root cap,4,0.0,0,1,1
LLMs4OL_PO_SUB,plant organ,root parenchyma,2,1.0,0,1,1
LLMs4OL_PO_SUB,plant organ,basal root,2,1.0,0,1,1
LLMs4OL_PO_SUB,plant organ,cardinal part of multi-tissue plant structure,80,0.38461538461538464,0,1,1
LLMs4OL_PO_SUB,plant organ,adult vascular leaf,12,0.2,0,1,0
LLMs4OL_PO_SUB,plant organ,tuber axillary shoot,6,0.0,0,2,1
LLMs4OL_PO_SUB,plant organ,pistillate flower,4,1.0,0,2,1
LLMs4OL_PO_SUB,plant organ,spikelet floret,4,1.0,0,2,1
LLMs4OL_PO_SUB,plant organ,ear floret,2,1.0,0,2,1
LLMs4OL_PO_SUB,plant organ,root primordium,2,1.0,0,1,1
LLMs4OL_PO_SUB,plant organ,leaf lamina epidermis,4,0.0,1,2,1
LLMs4OL_PO_SUB,plant organ,floral organ abscission zone,2,1.0,0,1,1
LLMs4OL_PO_SUB,plant organ,fruit pedicel,4,0.0,0,2,1
LLMs4OL_PO_SUB,plant organ,samara fruit,2,1.0,0,2,1
LLMs4OL_PO_SUB,plant gamete,plant egg cell,2,1.0,0,1,0
LLMs4OL_PO_SUB,plant gamete,plant sperm cell,2,1.0,0,1,0
LLMs4OL_PO_SUB,multi-tissue plant structure,cardinal part of multi-tissue plant structure,80,0.02564102564102564,0,3,1
LLMs4OL_PO_SUB,multi-tissue plant structure,cardinal organ part,82,0.05,0,2,1
LLMs4OL_PO_SUB,multi-tissue plant structure,leaf,16,0.0,0,1,0
LLMs4OL_PO_SUB,leaf,leaf lamina epidermis,14,1.0,1,4,1
LLMs4OL_PO_SUB,leaf,leaf epidermis,28,1.0,0,2,1
LLMs4OL_PO_SUB,leaf,leaf adaxial epidermis,14,1.0,0,2,1
LLMs4OL_PO_SUB,leaf,leaf lamina adaxial epidermis,7,1.0,0,2,1
LLMs4OL_PO_SUB,leaf,leaf procambium,7,1.0,0,2,1
