dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_PO_SUB,fruit pedicel,infructescence fruit pedicel,4,1.0,2,5,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",infructescence fruit pedicel,1,1.0,2,9,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",shoot system,12,1.0,2,8,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",tuber pith,1,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",plant axis differentiation zone,3,1.0,2,8,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",style epidermis,1,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",multi-tissue plant structure,51,1.0,2,8,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",lateral root cap of primary root,1,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",lateral root cap of lateral root,1,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",plant ovary wall middle layer,1,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",shoot internode differentiation zone,1,1.0,2,8,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",tuber storage parenchyma,2,1.0,2,4,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",axil,1,1.0,2,4,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",root parenchyma,1,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",vascular leaf,5,1.0,2,8,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",portion of meristem tissue,10,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",mesophyll cell,1,1.0,2,4,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",plant organ,36,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",seed coat epidermis,1,1.0,2,8,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",adult vascular leaf,2,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",floral organ abscission zone,1,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",plant gamete,4,1.0,2,4,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",plant sperm cell,1,1.0,2,5,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)","cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",7,1.0,2,12,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",basal root,2,1.0,2,8,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",subterranean tuber axillary shoot,1,1.0,2,6,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",pith,2,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",shoot-borne internode root,1,1.0,2,8,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",central root cap,2,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",chlorenchyma cell,2,1.0,2,4,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",plant epidermis,14,1.0,2,8,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",lateral meristem,4,1.0,2,4,0
