dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_PO_SUB,fruit pedicel,infructescence fruit pedicel,5,1.0,2,4,0
LLMs4OL_PO_SUB,plant organ,infructescence fruit pedicel,4,1.0,1,2,1
LLMs4OL_PO_SUB,plant organ,vascular leaf,20,1.0,2,5,0
LLMs4OL_PO_SUB,plant organ,leaf,24,1.0,1,2,0
LLMs4OL_PO_SUB,plant organ,adult vascular leaf,4,1.0,2,4,0
LLMs4OL_PO_SUB,plant organ,flag leaf,4,1.0,1,2,0
LLMs4OL_PO_SUB,plant organ,spine leaf,4,1.0,2,4,0
LLMs4OL_PO_SUB,plant organ,sporophyll,4,1.0,2,5,0
LLMs4OL_PO_SUB,plant organ,phyllome,40,1.0,2,4,0
LLMs4OL_PO_SUB,plant organ,flower,16,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,pistillate flower,4,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,spikelet floret,8,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,ear floret,4,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,strobilus bud,8,1.0,2,5,1
LLMs4OL_PO_SUB,plant organ,terminal strobilus bud,4,1.0,1,2,1
LLMs4OL_PO_SUB,plant organ,terminal bud,12,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,reproductive bud,16,1.0,1,2,1
LLMs4OL_PO_SUB,plant organ,terminal reproductive bud,8,1.0,2,5,1
LLMs4OL_PO_SUB,plant organ,basal root,4,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,fruit,8,1.0,2,5,1
LLMs4OL_PO_SUB,plant organ,samara fruit,4,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,fruit pedicel,8,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,pulvinus,4,1.0,2,4,1
LLMs4OL_PO_SUB,plant organ,subterranean tuber axillary shoot,4,1.0,1,3,1
LLMs4OL_PO_SUB,plant organ,shoot-borne internode root,4,1.0,1,2,1
LLMs4OL_PO_SUB,plant organ,shoot axis apex,4,1.0,1,2,1
LLMs4OL_PO_SUB,plant organ,central root cap of lateral root,4,1.0,1,2,1
