dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_PO_SUB,fruit pedicel,infructescence fruit pedicel,5,1.0,2,5,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",infructescence fruit pedicel,1,1.0,2,7,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",shoot system,19,1.0,2,7,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",tuber pith,1,1.0,2,7,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",plant axis differentiation zone,3,1.0,2,9,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",style epidermis,1,1.0,1,3,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",multi-tissue plant structure,62,1.0,2,8,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",lateral root cap of primary root,1,1.0,2,9,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",lateral root cap of lateral root,2,1.0,2,5,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",plant ovary wall middle layer,1,1.0,2,7,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",shoot internode differentiation zone,2,1.0,2,7,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",tuber storage parenchyma,2,1.0,2,7,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",axil,1,1.0,2,7,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",root parenchyma,1,1.0,2,7,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",vascular leaf,4,1.0,1,3,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",portion of meristem tissue,14,1.0,2,8,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",mesophyll cell,2,1.0,2,5,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",plant organ,56,1.0,2,9,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",seed coat epidermis,1,1.0,2,8,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",adult vascular leaf,2,1.0,2,7,0
