dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_PO_SUB,fruit pedicel,infructescence fruit pedicel,4,1.0,2,3,0
LLMs4OL_PO_SUB,plant organ,infructescence fruit pedicel,3,1.0,1,2,1
LLMs4OL_PO_SUB,plant organ,plant ovary wall middle layer,3,1.0,1,2,1
LLMs4OL_PO_SUB,plant organ,vascular leaf,15,1.0,2,4,0
LLMs4OL_PO_SUB,plant organ,leaf,18,1.0,2,7,0
LLMs4OL_PO_SUB,plant organ,flower,12,1.0,2,8,1
LLMs4OL_PO_SUB,plant organ,fruit,6,1.0,2,8,1
LLMs4OL_PO_SUB,plant organ,phyllome,33,1.0,2,7,0
LLMs4OL_PO_SUB,plant organ,spikelet floret,6,1.0,2,6,1
LLMs4OL_PO_SUB,plant organ,ear floret,3,1.0,2,7,1
LLMs4OL_PO_SUB,plant organ,flag leaf,3,1.0,2,6,0
LLMs4OL_PO_SUB,plant organ,terminal bud,12,0.6666666666666666,2,6,1
LLMs4OL_PO_SUB,plant organ,strobilus bud,6,1.0,2,7,1
LLMs4OL_PO_SUB,plant organ,reproductive bud,12,1.0,1,3,1
LLMs4OL_PO_SUB,plant organ,terminal reproductive bud,6,1.0,2,6,1
LLMs4OL_PO_SUB,plant organ,adult vascular leaf,6,1.0,2,5,0
LLMs4OL_PO_SUB,plant organ,basal root,3,1.0,1,2,1
LLMs4OL_PO_SUB,plant organ,"subterranean tuber axillary shoot (subterranean tuber axillary shoot, tuber axillary shoot)",3,1.0,1,4,1
LLMs4OL_PO_SUB,plant organ,shoot-borne internode root,3,1.0,1,2,1
LLMs4OL_PO_SUB,plant organ,pistillate flower,3,1.0,1,2,1
LLMs4OL_PO_SUB,plant organ,terminal strobilus bud,3,1.0,1,2,1
LLMs4OL_PO_SUB,plant organ,spine leaf,3,1.0,1,2,0
LLMs4OL_PO_SUB,plant organ,sporophyll,3,1.0,1,2,0
LLMs4OL_PO_SUB,plant organ,"cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",18,0.6,1,2,1
LLMs4OL_PO_SUB,plant organ,reproductive shoot system,3,1.0,1,2,1
LLMs4OL_PO_SUB,plant organ,po_0000055,18,1.0,1,3,1
LLMs4OL_PO_SUB,plant organ,upper glume of pedicellate spikelet of tassel,3,1.0,1,2,1
LLMs4OL_PO_SUB,plant organ,upper glume,9,1.0,1,2,1
LLMs4OL_PO_SUB,plant organ,fruit pedicel,6,1.0,1,2,1
LLMs4OL_PO_SUB,plant organ,samara fruit,3,1.0,1,2,1
LLMs4OL_PO_SUB,plant organ,pulvinus,3,1.0,1,3,1
LLMs4OL_PO_SUB,plant organ,upper glume of tassel spikelet,6,1.0,1,2,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",infructescence fruit pedicel,1,1.0,2,6,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",shoot system,15,1.0,2,10,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",tuber pith,1,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",plant axis differentiation zone,3,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",style epidermis,1,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",multi-tissue plant structure,54,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",lateral root cap of primary root,1,1.0,2,4,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",lateral root cap of lateral root,2,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",plant ovary wall middle layer,1,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",shoot internode differentiation zone,2,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",tuber storage parenchyma,2,1.0,2,6,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",axil,1,1.0,2,6,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",root parenchyma,1,1.0,2,7,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",vascular leaf,5,1.0,2,6,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",portion of meristem tissue,16,1.0,2,4,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",mesophyll cell,1,1.0,2,6,1
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",plant organ,35,1.0,2,10,0
LLMs4OL_PO_SUB,"plant anatomical entity (plant anatomical entity, plant structure)",seed coat epidermis,1,1.0,2,6,0
