dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_PO_SUB,fruit pedicel,infructescence fruit pedicel,3,1.0,1,2,0
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)",infructescence fruit pedicel,2,1.0,1,3,1
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)",vascular leaf,8,1.0,1,4,0
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)",adult vascular leaf,4,1.0,1,6,0
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)",basal root,2,1.0,1,4,1
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)","subterranean tuber axillary shoot (subterranean tuber axillary shoot, tuber axillary shoot)",2,1.0,1,8,1
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)",shoot-borne internode root,2,1.0,1,4,1
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)",pistillate flower,4,1.0,1,4,1
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)",reproductive bud,8,1.0,1,4,1
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)",terminal bud,6,1.0,1,4,1
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)",strobilus bud,4,1.0,1,4,1
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)",flower,8,1.0,1,4,1
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)",leaf,12,1.0,1,4,0
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)",terminal strobilus bud,2,1.0,1,4,1
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)",spine leaf,2,1.0,1,4,0
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)",sporophyll,2,1.0,1,4,0
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)",spikelet floret,4,1.0,1,4,1
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)",flag leaf,2,1.0,1,4,0
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)",ear floret,2,1.0,1,6,1
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)",po_0000055,2,1.0,1,4,1
LLMs4OL_PO_SUB,"multi-tissue plant structure (multi-tissue plant structure, plant organ)",upper glume of pedicellate spikelet of tassel,2,1.0,1,4,1
