dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_SchemaOrg_SUB,enumeration,sizegroupenumeration,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,adultorientedenumeration,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,measurementtypeenumeration,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,certificationstatusenumeration,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,measurementmethodenum,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,sizesystemenumeration,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,enumeration,wearablemeasurementtypeenumeration,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,bookmarkaction,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,authorizeaction,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,takeaction,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,tieaction,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,consumeaction,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,allocateaction,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,achieveaction,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,organizeaction,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,createaction,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,findaction,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,eataction,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,transferaction,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,assignaction,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,cookaction,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,peopleaudience,audience,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,service,paymentservice,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,service,taxiservice,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,service,radiobroadcastservice,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,service,legalservice,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,service,emergencyservice,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,service,broadcastservice,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,itemlistordertype,itemlist,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,organization,localbusiness,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,organization,medicalorganization,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,organization,researchorganization,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,creativeworkseries,movieseries,1,1.0,0,1,0
LLMs4OL_SchemaOrg_SUB,creativeworkseries,radioseries,1,1.0,0,1,0
LLMs4OL_SchemaOrg_SUB,creativeworkseries,comicseries,1,1.0,0,1,1
