dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_SchemaOrg_SUB,socialmediaposting,blogposting,2,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,article,blogposting,3,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,article,techarticle,3,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,creativework,blogposting,1,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,creativework,clip,2,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,creativework,movieseries,1,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,creativework,article,3,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,creativework,socialmediaposting,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,creativework,periodical,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,creativework,review,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,creativework,radioseries,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,creativework,howtostep,1,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,creativework,movieclip,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,creativework,creativeworkseries,5,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,creativework,shortstory,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,creativework,sheetmusic,1,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,creativework,game,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,creativework,recommendation,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,creativework,imageobject,2,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,creativework,techarticle,1,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,creativework,itemlist,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,creativework,sculpture,1,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,creativework,imageobjectsnapshot,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,creativework,conversation,1,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,creativework,ampstory,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,creativework,comicseries,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,creativework,series,3,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,datatype,time,2,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,intangible,time,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,sizegroupenumeration,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,adultorientedenumeration,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,paymentservice,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,clip,2,0.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,measurementtypeenumeration,2,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,surgicalprocedure,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,enumeration,12,0.9090909090909091,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,article,3,0.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,invoice,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,offer,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,therapeuticprocedure,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,review,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,consumeaction,2,0.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,speakablespecification,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,observation,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,radioseries,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,achieveaction,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,governmentbenefitstype,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,howtostep,1,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,intangible,product,3,0.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,entrypoint,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,peopleaudience,1,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,intangible,action,15,0.21428571428571427,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,medicalintangible,3,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,medicalentity,9,0.625,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,taxiservice,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,creativeworkseries,5,0.25,1,2,0
LLMs4OL_SchemaOrg_SUB,intangible,ticket,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,medicalcode,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,sheetmusic,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,certificationstatusenumeration,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,researchorganization,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,audience,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,game,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,organizeaction,2,0.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,legalservice,1,1.0,1,3,1
LLMs4OL_SchemaOrg_SUB,intangible,imageobject,2,0.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,medicaltherapy,4,0.6666666666666666,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,listitem,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,itemlistordertype,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,service,7,0.8333333333333334,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,measurementmethodenum,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,paymentmethod,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,wearablemeasurementtypeenumeration,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,organization,11,0.1,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,collection,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,datatype,2,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,emergencyservice,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,physicalactivitycategory,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,sculpture,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,conversation,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,seat,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,series,3,0.5,1,2,0
LLMs4OL_SchemaOrg_SUB,intangible,broadcastservice,2,0.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,sizegroupenumeration,2,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,adultorientedenumeration,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,measurementtypeenumeration,4,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,governmentbenefitstype,2,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,certificationstatusenumeration,2,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,itemlistordertype,2,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,measurementmethodenum,2,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,sizesystemenumeration,2,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,enumeration,paymentmethod,2,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,enumeration,wearablemeasurementtypeenumeration,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,physicalactivitycategory,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,service,paymentservice,2,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,service,taxiservice,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,service,radiobroadcastservice,2,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,service,legalservice,2,1.0,1,3,1
LLMs4OL_SchemaOrg_SUB,service,emergencyservice,2,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,service,broadcastservice,4,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,bookmarkaction,2,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,action,authorizeaction,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,takeaction,2,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,action,tieaction,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,consumeaction,4,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,action,allocateaction,2,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,action,achieveaction,2,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,action,organizeaction,4,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,createaction,4,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,findaction,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,eataction,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,transferaction,8,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,action,assignaction,2,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,action,cookaction,2,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,organizeaction,bookmarkaction,3,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,clip,movieclip,3,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,measurementtypeenumeration,wearablemeasurementtypeenumeration,3,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,transferaction,takeaction,3,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,transferaction,allocateaction,3,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,transferaction,assignaction,3,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,creativeworkseries,movieseries,3,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,creativeworkseries,periodical,3,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,creativeworkseries,radioseries,3,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,creativeworkseries,comicseries,3,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,medicalprocedure,surgicalprocedure,4,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,medicalprocedure,therapeuticprocedure,4,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,medicalentity,surgicalprocedure,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,medicalentity,therapeuticprocedure,2,1.0,1,2,0
