dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",area management,1,1.0,1,1,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",climate change policy,1,1.0,2,3,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",coastal protection,1,1.0,2,2,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",economic instrument for the environment,7,0.0,1,1,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",environmental economics,1,1.0,1,2,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)","pollution control measures (pollution control measures, prevention of pollution)",2,0.0,2,6,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)","protection of animal life (protection of animal life, protection of animals)",2,0.0,2,4,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",protection of plant life,1,1.0,2,2,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",risk prevention,2,0.0,1,1,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",management of resources,8,0.0,1,0,0
SemEvalEnvironment_SUB,economic instrument for the environment,emission trading,6,0.0,2,2,1
SemEvalEnvironment_SUB,economic instrument for the environment,environmental tax,4,0.0,2,2,0
SemEvalEnvironment_SUB,economic instrument for the environment,polluter pays principle,2,1.0,1,1,1
SemEvalEnvironment_SUB,"pollution control measures (pollution control measures, prevention of pollution)",anti-pollution device,2,1.0,2,2,0
SemEvalEnvironment_SUB,emission trading,clean development mechanism,3,1.0,1,1,1
SemEvalEnvironment_SUB,emission trading,"emission allowance (emission allowance, tradeable emission permit)",3,1.0,1,1,1
SemEvalEnvironment_SUB,environmental tax,deposit on a polluting product,3,1.0,1,1,1
SemEvalEnvironment_SUB,waste management,storage of waste,6,0.0,2,2,0
SemEvalEnvironment_SUB,waste management,waste recycling,3,1.0,2,2,0
SemEvalEnvironment_SUB,management of resources,conservation of resources,4,0.0,2,2,1
SemEvalEnvironment_SUB,management of resources,exploitation of resources,2,1.0,1,1,0
SemEvalEnvironment_SUB,management of resources,waste management,8,0.0,2,2,1
SemEvalEnvironment_SUB,environment,biosphere,15,0.0,2,2,0
SemEvalEnvironment_SUB,environment,degradation of the environment,4,0.0,1,1,0
SemEvalEnvironment_SUB,environment,physical environment,21,0.0,2,2,0
SemEvalEnvironment_SUB,environment,quality of the environment,2,0.0,1,1,0
SemEvalEnvironment_SUB,conservation of resources,countryside conservation,3,1.0,1,1,1
SemEvalEnvironment_SUB,degradation of the environment,defoliation,2,1.0,2,2,0
SemEvalEnvironment_SUB,degradation of the environment,desertification,2,1.0,2,2,0
SemEvalEnvironment_SUB,degradation of the environment,exhaustion of resources,2,1.0,2,2,1
SemEvalEnvironment_SUB,quality of the environment,environmental indicator,2,1.0,1,0,1
SemEvalEnvironment_SUB,risk prevention,fire protection,2,1.0,1,1,1
SemEvalEnvironment_SUB,"protection of animal life (protection of animal life, protection of animals)",hunting regulations,2,1.0,2,3,0
SemEvalEnvironment_SUB,storage of waste,underground storage of waste,4,1.0,2,2,0
