dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalEnvironment_SUB,environmental policy,prevention of pollution,4,0.3333333333333333,1,2,1
SemEvalEnvironment_SUB,environmental policy,economic instrument for the environment,6,0.8,1,2,0
SemEvalEnvironment_SUB,environmental policy,conservation of resources,5,0.75,1,2,1
SemEvalEnvironment_SUB,environmental policy,"environmental protection (environmental protection, risk prevention)",24,0.5217391304347826,1,4,0
SemEvalEnvironment_SUB,environmental policy,polluter pays principle,3,1.0,1,2,1
SemEvalEnvironment_SUB,environmental policy,clean development mechanism,1,1.0,1,2,1
SemEvalEnvironment_SUB,environmental policy,protection of plant life,1,1.0,1,2,1
SemEvalEnvironment_SUB,environmental policy,emission trading,2,1.0,1,3,1
SemEvalEnvironment_SUB,environmental policy,countryside conservation,2,1.0,1,3,1
SemEvalEnvironment_SUB,environmental policy,deposit on a polluting product,1,1.0,1,3,0
SemEvalEnvironment_SUB,environmental policy,climate change policy,3,1.0,2,5,1
SemEvalEnvironment_SUB,environmental policy,environmental tax,2,1.0,2,4,0
SemEvalEnvironment_SUB,environmental policy,hunting regulations,1,1.0,2,4,1
SemEvalEnvironment_SUB,climate change policy,emission trading,6,1.0,1,3,0
SemEvalEnvironment_SUB,climate change policy,clean development mechanism,3,1.0,2,5,0
SemEvalEnvironment_SUB,"environmental protection (environmental protection, risk prevention)",economic instrument for the environment,12,1.0,1,3,1
SemEvalEnvironment_SUB,"environmental protection (environmental protection, risk prevention)",polluter pays principle,6,1.0,1,3,1
SemEvalEnvironment_SUB,"environmental protection (environmental protection, risk prevention)",climate change policy,6,1.0,1,3,1
SemEvalEnvironment_SUB,"environmental protection (environmental protection, risk prevention)",non-polluting vehicle,2,1.0,1,3,1
SemEvalEnvironment_SUB,"environmental protection (environmental protection, risk prevention)",storage of waste,4,1.0,1,5,1
SemEvalEnvironment_SUB,"environmental protection (environmental protection, risk prevention)",underground storage of waste,2,1.0,1,5,1
SemEvalEnvironment_SUB,"environmental protection (environmental protection, risk prevention)",conservation of resources,10,1.0,2,5,0
SemEvalEnvironment_SUB,"environmental protection (environmental protection, risk prevention)",pollution control measures,24,1.0,2,7,1
