dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalEnvironment_SUB,environmental policy,climate change policy,4,0.6666666666666666,2,2,1
SemEvalEnvironment_SUB,environmental policy,clean development mechanism,1,1.0,1,1,1
SemEvalEnvironment_SUB,environmental policy,emission trading,2,1.0,1,1,1
SemEvalEnvironment_SUB,environmental policy,environmental tax,2,1.0,2,2,0
SemEvalEnvironment_SUB,environmental policy,hunting regulations,1,1.0,2,3,1
SemEvalEnvironment_SUB,environmental policy,economic instrument for the environment,7,0.8333333333333334,1,1,0
SemEvalEnvironment_SUB,environmental policy,deposit on a polluting product,1,1.0,1,2,0
SemEvalEnvironment_SUB,environmental policy,environmental protection,25,0.4166666666666667,1,1,1
SemEvalEnvironment_SUB,environmental policy,pollution control measures,13,0.4166666666666667,1,1,1
SemEvalEnvironment_SUB,environmental policy,polluter pays principle,2,1.0,1,2,1
SemEvalEnvironment_SUB,environmental policy,prevention of pollution,4,0.3333333333333333,1,1,1
SemEvalEnvironment_SUB,climate change policy,clean development mechanism,4,1.0,2,2,0
SemEvalEnvironment_SUB,climate change policy,"emission allowance (emission allowance, tradeable emission permit)",4,1.0,1,2,0
SemEvalEnvironment_SUB,climate change policy,emission trading,8,1.0,1,1,0
SemEvalEnvironment_SUB,environmental protection,climate change policy,12,1.0,2,2,1
SemEvalEnvironment_SUB,environmental protection,clean development mechanism,3,1.0,2,2,1
SemEvalEnvironment_SUB,environmental protection,"emission allowance (emission allowance, tradeable emission permit)",3,1.0,2,4,1
SemEvalEnvironment_SUB,environmental protection,emission trading,6,1.0,2,2,1
SemEvalEnvironment_SUB,environmental protection,deposit on a polluting product,3,1.0,2,3,1
SemEvalEnvironment_SUB,environmental protection,environmental tax,6,1.0,2,2,1
SemEvalEnvironment_SUB,environmental protection,area management,6,1.0,1,1,1
SemEvalEnvironment_SUB,environmental protection,economic instrument for the environment,21,1.0,1,1,1
SemEvalEnvironment_SUB,environmental protection,coastal protection,3,1.0,2,3,0
SemEvalEnvironment_SUB,environmental protection,conservation of resources,12,1.0,2,3,0
SemEvalEnvironment_SUB,environmental protection,countryside conservation,3,1.0,2,2,0
SemEvalEnvironment_SUB,environmental protection,"protection of animal life (protection of animal life, protection of animals)",6,1.0,2,6,0
SemEvalEnvironment_SUB,environmental protection,hunting regulations,3,1.0,2,3,0
SemEvalEnvironment_SUB,environmental protection,protection of plant life,3,1.0,2,2,0
