dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalEnvironment_SUB,environmental protection,protection of animal life,1,1.0,0,4,0
SemEvalEnvironment_SUB,environmental protection,pollution control measures,2,0.0,0,3,1
SemEvalEnvironment_SUB,environmental protection,anti-pollution device,1,1.0,0,1,1
SemEvalEnvironment_SUB,environmental protection,polluter pays principle,1,1.0,0,1,1
SemEvalEnvironment_SUB,environmental protection,risk prevention,4,0.6666666666666666,0,2,1
SemEvalEnvironment_SUB,environmental protection,coastal protection,1,1.0,0,2,0
SemEvalEnvironment_SUB,environmental protection,fire protection,1,1.0,0,2,0
SemEvalEnvironment_SUB,environmental protection,protection of plant life,1,1.0,0,2,0
SemEvalEnvironment_SUB,wildlife,protection of animal life,2,1.0,0,2,1
SemEvalEnvironment_SUB,pollution control measures,noise level,4,1.0,0,2,1
SemEvalEnvironment_SUB,environmental policy,pollution control measures,2,0.0,0,1,1
SemEvalEnvironment_SUB,environmental policy,anti-pollution device,1,1.0,0,1,1
SemEvalEnvironment_SUB,environmental policy,polluter pays principle,1,1.0,0,1,1
SemEvalEnvironment_SUB,environmental policy,climate change policy,1,1.0,0,4,1
SemEvalEnvironment_SUB,environmental policy,environmental tax,1,1.0,0,2,0
SemEvalEnvironment_SUB,environmental policy,environmental indicator,2,0.0,0,2,0
SemEvalEnvironment_SUB,environmental economics,polluter pays principle,1,1.0,0,1,1
SemEvalEnvironment_SUB,environmental economics,economic instrument for the environment,1,1.0,0,2,1
SemEvalEnvironment_SUB,environmental economics,environmental tax,1,1.0,0,2,1
SemEvalEnvironment_SUB,environmental economics,environmental indicator,2,0.0,0,2,1
SemEvalEnvironment_SUB,risk prevention,pollution control measures,4,1.0,0,1,1
SemEvalEnvironment_SUB,risk prevention,anti-pollution device,2,1.0,0,1,1
SemEvalEnvironment_SUB,risk prevention,noise level,2,1.0,0,1,1
SemEvalEnvironment_SUB,waste management,underground storage of waste,1,1.0,0,2,0
SemEvalEnvironment_SUB,waste management,storage of waste,2,1.0,0,1,0
SemEvalEnvironment_SUB,waste management,waste recycling,1,1.0,0,1,0
SemEvalEnvironment_SUB,waste management,hazardous waste,2,1.0,0,1,1
SemEvalEnvironment_SUB,waste management,non-recoverable waste,1,1.0,0,1,1
SemEvalEnvironment_SUB,waste management,radioactive waste,1,1.0,0,1,1
SemEvalEnvironment_SUB,climate change,global warming,1,1.0,0,1,0
SemEvalEnvironment_SUB,climate change,climate change policy,1,1.0,0,1,1
SemEvalEnvironment_SUB,surface water,drinking water,1,1.0,0,2,1
SemEvalEnvironment_SUB,surface water,saltwater,1,1.0,0,2,1
SemEvalEnvironment_SUB,surface water,stagnant water,1,1.0,0,2,1
SemEvalEnvironment_SUB,marine environment,marine ecosystem,3,1.0,0,2,1
SemEvalEnvironment_SUB,marine environment,sea-bed,3,1.0,0,2,0
SemEvalEnvironment_SUB,marine environment,continental shelf,3,1.0,0,2,0
SemEvalEnvironment_SUB,biosphere,marine ecosystem,2,1.0,0,2,1
SemEvalEnvironment_SUB,environment,marine ecosystem,1,1.0,0,2,0
SemEvalEnvironment_SUB,animal life,wildlife,2,0.0,1,1,1
SemEvalEnvironment_SUB,animal life,bird,1,1.0,1,1,0
SemEvalEnvironment_SUB,animal life,reptile,1,1.0,1,1,0
SemEvalEnvironment_SUB,animal life,wild mammal,1,1.0,1,1,0
SemEvalEnvironment_SUB,animal life,marine mammal,1,1.0,1,1,0
SemEvalEnvironment_SUB,animal life,marsupial,1,1.0,1,1,0
SemEvalEnvironment_SUB,animal life,wolf,1,1.0,1,1,0
SemEvalEnvironment_SUB,animal life,lynx,1,1.0,1,1,0
SemEvalEnvironment_SUB,animal life,dolphin,1,1.0,1,1,0
SemEvalEnvironment_SUB,animal life,seal,1,1.0,1,1,0
SemEvalEnvironment_SUB,animal life,whale,1,1.0,1,1,0
SemEvalEnvironment_SUB,climate,climate change policy,1,1.0,0,2,1
SemEvalEnvironment_SUB,environmental indicator,noise level,3,1.0,0,2,1
SemEvalEnvironment_SUB,atmospheric pollutant,stratospheric pollutant,1,1.0,0,2,0
SemEvalEnvironment_SUB,storage of waste,underground storage of waste,2,1.0,0,1,0
SemEvalEnvironment_SUB,hazardous waste,radioactive waste,2,1.0,0,1,1
SemEvalEnvironment_SUB,physical environment,aquatic environment,5,0.0,0,2,0
SemEvalEnvironment_SUB,physical environment,atmosphere,1,1.0,0,2,0
SemEvalEnvironment_SUB,physical environment,biosphere,2,0.0,0,2,0
SemEvalEnvironment_SUB,aquatic environment,marine environment,8,0.0,0,2,0
