dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalEnvironment_SUB,environmental policy,climate change policy,4,1.0,2,4,1
SemEvalEnvironment_SUB,environmental policy,clean development mechanism,1,1.0,1,2,1
SemEvalEnvironment_SUB,environmental policy,"emission allowance (emission allowance, tradeable emission permit)",1,1.0,2,4,0
SemEvalEnvironment_SUB,environmental policy,emission trading,3,1.0,2,5,1
SemEvalEnvironment_SUB,environmental policy,environmental tax,2,1.0,2,4,0
SemEvalEnvironment_SUB,environmental policy,deposit on a polluting product,1,1.0,2,4,0
SemEvalEnvironment_SUB,environmental policy,economic instrument for the environment,7,1.0,2,4,0
SemEvalEnvironment_SUB,environmental policy,"pollution control measures (pollution control measures, prevention of pollution)",12,0.5454545454545454,2,4,1
SemEvalEnvironment_SUB,environmental policy,waste management,4,0.0,2,5,1
SemEvalEnvironment_SUB,environmental policy,environmental protection,27,0.46153846153846156,1,3,1
SemEvalEnvironment_SUB,environmental policy,conservation of resources,8,0.42857142857142855,1,2,1
SemEvalEnvironment_SUB,environmental policy,countryside conservation,3,0.5,1,1,1
SemEvalEnvironment_SUB,environmental policy,hunting regulations,1,1.0,1,2,1
SemEvalEnvironment_SUB,environmental policy,"protection of animal life (protection of animal life, protection of animals)",2,1.0,1,2,1
SemEvalEnvironment_SUB,environmental policy,polluter pays principle,5,1.0,1,2,1
SemEvalEnvironment_SUB,climate change policy,clean development mechanism,2,1.0,1,2,0
SemEvalEnvironment_SUB,climate change policy,"emission allowance (emission allowance, tradeable emission permit)",2,1.0,1,2,0
SemEvalEnvironment_SUB,climate change policy,emission trading,6,1.0,1,3,0
SemEvalEnvironment_SUB,economic instrument for the environment,clean development mechanism,3,1.0,2,4,1
SemEvalEnvironment_SUB,economic instrument for the environment,"emission allowance (emission allowance, tradeable emission permit)",3,1.0,2,8,0
SemEvalEnvironment_SUB,economic instrument for the environment,emission trading,9,1.0,2,5,1
SemEvalEnvironment_SUB,economic instrument for the environment,environmental tax,6,1.0,2,4,0
SemEvalEnvironment_SUB,economic instrument for the environment,deposit on a polluting product,3,1.0,2,4,0
SemEvalEnvironment_SUB,economic instrument for the environment,polluter pays principle,15,1.0,1,2,1
SemEvalEnvironment_SUB,emission trading,clean development mechanism,10,1.0,1,2,1
SemEvalEnvironment_SUB,emission trading,"emission allowance (emission allowance, tradeable emission permit)",10,1.0,2,8,1
SemEvalEnvironment_SUB,environmental economics,clean development mechanism,1,1.0,1,1,1
SemEvalEnvironment_SUB,environmental economics,emission trading,3,0.5,1,3,1
SemEvalEnvironment_SUB,environmental economics,economic instrument for the environment,7,0.5,1,2,1
SemEvalEnvironment_SUB,environmental economics,evaluation of resources,1,1.0,1,2,1
SemEvalEnvironment_SUB,environmental economics,polluter pays principle,5,0.5,1,2,1
SemEvalEnvironment_SUB,environmental protection,clean development mechanism,2,1.0,1,1,1
SemEvalEnvironment_SUB,environmental protection,emission trading,6,1.0,1,3,1
SemEvalEnvironment_SUB,environmental protection,area management,10,1.0,1,1,1
SemEvalEnvironment_SUB,environmental protection,deposit on a polluting product,2,1.0,1,2,1
SemEvalEnvironment_SUB,environmental protection,"emission allowance (emission allowance, tradeable emission permit)",2,1.0,1,1,1
SemEvalEnvironment_SUB,environmental protection,management of resources,28,0.6153846153846154,1,2,1
SemEvalEnvironment_SUB,environmental protection,"pollution control measures (pollution control measures, prevention of pollution)",24,0.7272727272727273,2,10,1
SemEvalEnvironment_SUB,environmental protection,anti-pollution device,2,1.0,2,5,1
SemEvalEnvironment_SUB,environmental protection,"protection of animal life (protection of animal life, protection of animals)",4,1.0,2,10,0
SemEvalEnvironment_SUB,environmental protection,protection of plant life,2,1.0,2,5,0
SemEvalEnvironment_SUB,environmental protection,coastal protection,2,1.0,2,6,0
SemEvalEnvironment_SUB,environmental protection,fire protection,2,1.0,2,5,0
SemEvalEnvironment_SUB,environmental protection,conservation of resources,16,0.7142857142857143,2,5,0
SemEvalEnvironment_SUB,environmental protection,countryside conservation,6,1.0,2,6,0
SemEvalEnvironment_SUB,environmental protection,risk prevention,36,0.8235294117647058,1,2,1
SemEvalEnvironment_SUB,environmental protection,hunting regulations,2,1.0,1,2,0
SemEvalEnvironment_SUB,environmental protection,non-polluting vehicle,2,1.0,1,2,1
SemEvalEnvironment_SUB,environmental protection,polluter pays principle,10,1.0,1,2,1
SemEvalEnvironment_SUB,environmental protection,waste management,8,0.3333333333333333,1,3,1
SemEvalEnvironment_SUB,environmental protection,waste recycling,2,1.0,1,2,1
SemEvalEnvironment_SUB,"pollution control measures (pollution control measures, prevention of pollution)",emission trading,12,1.0,2,7,1
SemEvalEnvironment_SUB,"pollution control measures (pollution control measures, prevention of pollution)",deposit on a polluting product,4,1.0,2,4,1
SemEvalEnvironment_SUB,"pollution control measures (pollution control measures, prevention of pollution)",environmental tax,8,1.0,2,4,1
SemEvalEnvironment_SUB,"pollution control measures (pollution control measures, prevention of pollution)","emission allowance (emission allowance, tradeable emission permit)",4,1.0,2,6,1
SemEvalEnvironment_SUB,"pollution control measures (pollution control measures, prevention of pollution)",clean development mechanism,4,1.0,1,2,1
