dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalEnvironment_SUB,environmental policy,climate change policy,4,1.0,2,4,1
SemEvalEnvironment_SUB,environmental policy,clean development mechanism,1,1.0,2,4,1
SemEvalEnvironment_SUB,environmental policy,"emission allowance (emission allowance, tradeable emission permit)",1,1.0,2,7,0
SemEvalEnvironment_SUB,environmental policy,emission trading,3,1.0,2,4,1
SemEvalEnvironment_SUB,environmental policy,economic instrument for the environment,7,1.0,2,3,0
SemEvalEnvironment_SUB,environmental policy,deposit on a polluting product,1,1.0,2,4,0
SemEvalEnvironment_SUB,environmental policy,environmental tax,2,1.0,2,4,0
SemEvalEnvironment_SUB,environmental policy,environmental protection,24,0.4782608695652174,1,2,1
SemEvalEnvironment_SUB,environmental policy,"protection of animal life (protection of animal life, protection of animals)",1,1.0,1,2,1
SemEvalEnvironment_SUB,environmental policy,hunting regulations,1,1.0,1,2,1
SemEvalEnvironment_SUB,environmental policy,pollution control measures,15,0.5,1,2,1
SemEvalEnvironment_SUB,environmental policy,polluter pays principle,3,1.0,1,2,1
SemEvalEnvironment_SUB,climate change policy,clean development mechanism,4,1.0,2,4,0
SemEvalEnvironment_SUB,climate change policy,"emission allowance (emission allowance, tradeable emission permit)",4,1.0,1,4,0
SemEvalEnvironment_SUB,climate change policy,emission trading,12,1.0,2,4,0
SemEvalEnvironment_SUB,environmental protection,climate change policy,12,1.0,2,4,1
SemEvalEnvironment_SUB,environmental protection,emission trading,9,1.0,2,3,1
SemEvalEnvironment_SUB,environmental protection,deposit on a polluting product,3,1.0,1,2,1
SemEvalEnvironment_SUB,environmental protection,clean development mechanism,3,1.0,1,2,1
SemEvalEnvironment_SUB,environmental protection,"emission allowance (emission allowance, tradeable emission permit)",3,1.0,1,2,1
SemEvalEnvironment_SUB,environmental protection,coastal protection,3,1.0,2,4,0
SemEvalEnvironment_SUB,environmental protection,conservation of resources,12,1.0,2,5,0
SemEvalEnvironment_SUB,environmental protection,countryside conservation,6,1.0,2,4,0
SemEvalEnvironment_SUB,environmental protection,"protection of animal life (protection of animal life, protection of animals)",3,1.0,2,9,0
SemEvalEnvironment_SUB,environmental protection,protection of plant life,3,1.0,2,4,0
SemEvalEnvironment_SUB,environmental protection,pollution control measures,45,0.6428571428571429,2,4,1
SemEvalEnvironment_SUB,environmental protection,prevention of pollution,12,0.6666666666666666,2,6,1
SemEvalEnvironment_SUB,environmental protection,fire protection,3,1.0,1,2,0
SemEvalEnvironment_SUB,environmental protection,hunting regulations,3,1.0,1,2,0
SemEvalEnvironment_SUB,environmental protection,polluter pays principle,9,0.5,1,2,1
SemEvalEnvironment_SUB,environmental protection,anti-pollution device,3,1.0,1,2,1
SemEvalEnvironment_SUB,environmental protection,waste management,12,0.3333333333333333,1,2,1
SemEvalEnvironment_SUB,environmental protection,waste recycling,3,1.0,1,2,1
SemEvalEnvironment_SUB,emission trading,clean development mechanism,9,1.0,1,2,1
