dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",climate change policy,6,1.0,1,1,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",clean development mechanism,2,1.0,1,3,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",emission trading,4,1.0,1,4,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",economic instrument for the environment,14,1.0,1,4,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",deposit on a polluting product,2,1.0,1,4,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",environmental tax,4,1.0,1,4,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)","emission allowance (emission allowance, tradeable emission permit)",2,1.0,1,5,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",coastal protection,2,1.0,1,6,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",hunting regulations,2,1.0,1,4,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",polluter pays principle,4,1.0,1,4,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",conservation of resources,6,1.0,1,2,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",countryside conservation,2,1.0,1,2,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)","protection of animal life (protection of animal life, protection of animals)",4,1.0,1,4,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",protection of plant life,2,1.0,1,1,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)","pollution control measures (pollution control measures, prevention of pollution)",22,0.9,1,4,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",anti-pollution device,2,1.0,1,2,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",waste management,8,0.6666666666666666,1,2,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",storage of waste,4,0.0,1,2,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",waste recycling,2,1.0,1,2,1
SemEvalEnvironment_SUB,climate change policy,clean development mechanism,3,1.0,1,2,0
SemEvalEnvironment_SUB,climate change policy,emission trading,6,1.0,1,2,0
SemEvalEnvironment_SUB,emission trading,clean development mechanism,7,1.0,1,2,1
SemEvalEnvironment_SUB,economic instrument for the environment,clean development mechanism,4,1.0,1,2,1
SemEvalEnvironment_SUB,economic instrument for the environment,"emission allowance (emission allowance, tradeable emission permit)",4,1.0,1,5,0
SemEvalEnvironment_SUB,economic instrument for the environment,emission trading,8,1.0,1,2,1
SemEvalEnvironment_SUB,economic instrument for the environment,deposit on a polluting product,4,1.0,1,2,0
SemEvalEnvironment_SUB,economic instrument for the environment,environmental tax,8,1.0,1,3,0
SemEvalEnvironment_SUB,economic instrument for the environment,polluter pays principle,8,1.0,1,2,1
SemEvalEnvironment_SUB,"pollution control measures (pollution control measures, prevention of pollution)",clean development mechanism,3,1.0,1,1,1
SemEvalEnvironment_SUB,"pollution control measures (pollution control measures, prevention of pollution)",emission trading,6,1.0,1,2,1
SemEvalEnvironment_SUB,"pollution control measures (pollution control measures, prevention of pollution)",deposit on a polluting product,3,1.0,1,4,1
SemEvalEnvironment_SUB,"pollution control measures (pollution control measures, prevention of pollution)",environmental tax,6,1.0,1,2,1
SemEvalEnvironment_SUB,"pollution control measures (pollution control measures, prevention of pollution)","emission allowance (emission allowance, tradeable emission permit)",3,1.0,1,3,1
SemEvalEnvironment_SUB,"pollution control measures (pollution control measures, prevention of pollution)",anti-pollution device,3,1.0,1,4,0
SemEvalEnvironment_SUB,"pollution control measures (pollution control measures, prevention of pollution)",waste management,12,0.3333333333333333,1,2,1
SemEvalEnvironment_SUB,"pollution control measures (pollution control measures, prevention of pollution)",waste recycling,3,1.0,1,2,1
SemEvalEnvironment_SUB,environmental economics,economic instrument for the environment,7,0.16666666666666666,1,2,1
SemEvalEnvironment_SUB,environmental economics,polluter pays principle,2,0.0,1,2,1
SemEvalEnvironment_SUB,environmental tax,deposit on a polluting product,6,1.0,1,2,1
SemEvalEnvironment_SUB,polluter pays principle,deposit on a polluting product,5,1.0,1,2,1
SemEvalEnvironment_SUB,management of resources,evaluation of resources,1,1.0,1,1,0
SemEvalEnvironment_SUB,management of resources,exploitation of resources,1,1.0,1,1,0
SemEvalEnvironment_SUB,management of resources,replacement of resources,1,1.0,1,1,0
SemEvalEnvironment_SUB,management of resources,conservation of resources,3,0.5,1,2,1
SemEvalEnvironment_SUB,management of resources,hunting regulations,1,1.0,1,2,1
SemEvalEnvironment_SUB,management of resources,waste management,4,0.0,1,2,1
SemEvalEnvironment_SUB,degradation of the environment,exhaustion of resources,1,1.0,1,1,1
SemEvalEnvironment_SUB,degradation of the environment,acid rain,1,1.0,1,2,0
SemEvalEnvironment_SUB,degradation of the environment,defoliation,1,1.0,1,1,0
SemEvalEnvironment_SUB,degradation of the environment,desertification,1,1.0,1,1,0
SemEvalEnvironment_SUB,environmental indicator,quality of the environment,1,1.0,1,2,1
SemEvalEnvironment_SUB,environmental indicator,biodegradability,1,1.0,1,1,1
SemEvalEnvironment_SUB,environmental indicator,noise level,1,1.0,1,1,1
SemEvalEnvironment_SUB,risk prevention,"environmental policy (environmental policy, environmental protection)",21,0.1,1,2,1
SemEvalEnvironment_SUB,risk prevention,coastal protection,1,1.0,1,3,1
SemEvalEnvironment_SUB,risk prevention,fire protection,1,1.0,1,1,1
SemEvalEnvironment_SUB,risk prevention,anti-pollution device,1,1.0,1,1,1
SemEvalEnvironment_SUB,area management,coastal protection,1,1.0,1,2,1
SemEvalEnvironment_SUB,area management,countryside conservation,1,1.0,1,2,1
SemEvalEnvironment_SUB,conservation of resources,countryside conservation,4,1.0,1,2,1
SemEvalEnvironment_SUB,conservation of resources,hunting regulations,4,1.0,1,2,1
