dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalFood_SUB,dessert,tiramisu,7,1.0,2,3,0
SemEvalFood_SUB,dessert,hard sauce,7,1.0,1,1,1
SemEvalFood_SUB,dessert,candy,14,0.0,1,2,1
SemEvalFood_SUB,dessert,jelly,21,1.0,1,2,1
SemEvalFood_SUB,dessert,apple jelly,14,1.0,1,2,1
SemEvalFood_SUB,dessert,crabapple jelly,7,1.0,1,2,1
SemEvalFood_SUB,dish,tiramisu,4,1.0,2,2,1
SemEvalFood_SUB,dish,appetizer,16,1.0,2,2,1
SemEvalFood_SUB,dish,meatball,8,1.0,2,3,0
SemEvalFood_SUB,dish,bannock,4,1.0,2,3,1
SemEvalFood_SUB,dish,entree,12,1.0,2,3,1
SemEvalFood_SUB,dish,scampi,4,1.0,2,3,0
SemEvalFood_SUB,dish,antipasto,4,1.0,2,3,1
SemEvalFood_SUB,dish,succotash,4,1.0,2,3,0
SemEvalFood_SUB,dish,dainty,4,1.0,1,2,1
SemEvalFood_SUB,dish,bread,32,0.42857142857142855,1,1,1
SemEvalFood_SUB,dish,french bread,8,0.0,1,1,1
SemEvalFood_SUB,dish,gazpacho,4,1.0,2,2,0
SemEvalFood_SUB,dish,flatbread,12,0.5,2,2,1
SemEvalFood_SUB,dish,jelly,12,1.0,1,1,1
SemEvalFood_SUB,dish,crabapple jelly,4,1.0,1,1,1
SemEvalFood_SUB,dish,apple jelly,8,1.0,2,2,1
SemEvalFood_SUB,dish,confiture,12,1.0,2,2,1
SemEvalFood_SUB,dish,soup,16,0.6666666666666666,2,2,0
SemEvalFood_SUB,dish,broth,4,1.0,2,2,0
SemEvalFood_SUB,dish,home fries,4,1.0,2,2,1
SemEvalFood_SUB,dish,mashed potato,4,1.0,2,3,1
SemEvalFood_SUB,dish,tamale pie,4,1.0,2,2,0
SemEvalFood_SUB,dish,moo goo gai pan,4,1.0,2,2,0
SemEvalFood_SUB,dish,crudites,4,1.0,2,3,1
SemEvalFood_SUB,dish,dessert,32,0.5714285714285714,2,3,1
SemEvalFood_SUB,dish,popcorn,4,1.0,1,1,1
SemEvalFood_SUB,dish,course,80,0.7894736842105263,1,1,1
SemEvalFood_SUB,dish,porcupine ball,4,1.0,1,2,0
SemEvalFood_SUB,dish,blue cheese dressing,4,1.0,1,1,1
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",tiramisu,2,1.0,2,6,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",green mayonnaise,2,1.0,2,4,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",appetizer,8,1.0,2,6,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",meatball,4,1.0,2,9,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",bannock,2,1.0,2,7,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",entree,6,1.0,2,9,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",dressing,10,1.0,2,6,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",curd,2,1.0,2,6,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",sweet,22,1.0,2,6,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",scampi,2,1.0,2,9,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",hard sauce,2,1.0,2,5,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",potato,6,1.0,2,5,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",buckwheat,2,1.0,2,5,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",fennel seed,2,1.0,2,5,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",antipasto,2,1.0,2,9,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",ingredient,90,1.0,2,4,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",dairy product,8,1.0,2,6,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",sun tea,2,1.0,2,9,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",corn,4,1.0,2,7,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",sauce,18,1.0,2,5,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",nut butter,2,1.0,2,7,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",spread,22,1.0,2,5,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",grain,10,1.0,2,9,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",succotash,2,1.0,2,9,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",crabapple jelly,2,1.0,2,5,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",ravigote,2,1.0,2,7,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",dainty,2,1.0,1,6,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",taco sauce,2,1.0,2,7,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",groats,2,1.0,2,6,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",bread,16,1.0,2,6,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",eatage,26,1.0,1,6,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",meal,2,1.0,2,4,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",condiment,38,1.0,2,5,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",french bread,4,1.0,2,5,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",gazpacho,2,1.0,2,6,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",flatbread,6,1.0,2,5,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",relish,4,1.0,2,5,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",hard candy,2,1.0,2,7,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",dish,76,1.0,2,5,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",feed,6,1.0,2,5,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",pickle relish,2,1.0,2,4,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",popcorn,2,1.0,2,5,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",fodder,4,1.0,2,5,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",apple jelly,4,1.0,2,4,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",sugar water,2,1.0,2,7,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",conserve,8,1.0,2,4,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",course,40,1.0,2,4,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",porcupine ball,2,1.0,2,8,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",starches,26,1.0,2,9,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",blue cheese dressing,2,1.0,2,5,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",candy,4,1.0,2,7,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",confiture,6,1.0,2,6,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",soup,8,1.0,2,6,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",home fries,2,1.0,2,6,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",chow,90,1.0,2,9,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",mashed potato,2,1.0,2,7,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",dessert,16,1.0,2,9,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",tamale pie,2,1.0,2,5,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",celery stick,2,1.0,2,7,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",moo goo gai pan,2,1.0,2,6,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",caraway seed,2,1.0,2,7,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",steak sauce,2,1.0,2,6,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",baguet,2,1.0,2,7,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",garlic,2,1.0,2,7,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",crudites,2,1.0,2,9,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",white bread,2,1.0,2,7,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",mayonnaise,4,1.0,2,5,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",jelly,6,1.0,1,3,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",herb,10,1.0,2,4,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, tea)",bullshot,2,1.0,1,1,0
