dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalFood_SUB,"dessert (dessert, sweet)",tiramisu,6,1.0,2,4,0
SemEvalFood_SUB,"dessert (dessert, sweet)",jelly,18,1.0,2,3,0
SemEvalFood_SUB,"dessert (dessert, sweet)",apple jelly,12,1.0,2,2,0
SemEvalFood_SUB,"dessert (dessert, sweet)",candy,18,1.0,2,2,0
SemEvalFood_SUB,"dessert (dessert, sweet)",center,6,1.0,2,2,0
SemEvalFood_SUB,"dessert (dessert, sweet)",confiture,6,1.0,2,2,0
SemEvalFood_SUB,"dessert (dessert, sweet)",conserve,24,1.0,2,2,0
SemEvalFood_SUB,"dessert (dessert, sweet)",crabapple jelly,6,1.0,2,2,0
SemEvalFood_SUB,"dessert (dessert, sweet)",hard candy,6,1.0,2,2,0
SemEvalFood_SUB,dish,tiramisu,3,1.0,2,2,1
SemEvalFood_SUB,dish,jelly,9,0.0,1,1,1
SemEvalFood_SUB,dish,meatball,6,1.0,2,2,0
SemEvalFood_SUB,dish,entree,3,1.0,2,2,1
SemEvalFood_SUB,dish,scampi,3,1.0,2,2,0
SemEvalFood_SUB,dish,succotash,3,1.0,2,2,0
SemEvalFood_SUB,dish,gazpacho,3,1.0,2,2,0
SemEvalFood_SUB,dish,appetizer,21,0.3333333333333333,1,1,1
SemEvalFood_SUB,dish,antipasto,3,1.0,1,1,1
SemEvalFood_SUB,dish,porcupine ball,3,1.0,2,2,0
SemEvalFood_SUB,dish,soup,9,1.0,2,2,0
SemEvalFood_SUB,dish,home fries,3,1.0,2,2,1
SemEvalFood_SUB,dish,mashed potato,3,1.0,2,2,1
SemEvalFood_SUB,dish,"dessert (dessert, sweet)",30,0.2222222222222222,1,1,1
SemEvalFood_SUB,dish,tamale pie,3,1.0,2,2,0
SemEvalFood_SUB,dish,moo goo gai pan,3,1.0,2,2,0
SemEvalFood_SUB,dish,crudites,6,0.0,1,1,1
SemEvalFood_SUB,dish,broth,3,1.0,2,2,0
SemEvalFood_SUB,dish,popcorn,3,1.0,1,1,1
SemEvalFood_SUB,nutriment,tiramisu,2,1.0,2,2,0
SemEvalFood_SUB,nutriment,jelly,6,0.0,1,1,0
SemEvalFood_SUB,nutriment,appetizer,14,0.6666666666666666,2,2,0
SemEvalFood_SUB,nutriment,meatball,4,1.0,2,2,0
SemEvalFood_SUB,nutriment,entree,2,1.0,2,2,0
SemEvalFood_SUB,nutriment,"dessert (dessert, sweet)",20,0.3333333333333333,2,4,0
SemEvalFood_SUB,nutriment,scampi,2,1.0,2,2,0
SemEvalFood_SUB,nutriment,antipasto,2,1.0,2,2,0
SemEvalFood_SUB,nutriment,succotash,2,1.0,2,2,0
SemEvalFood_SUB,nutriment,dainty,22,0.4,2,2,0
SemEvalFood_SUB,nutriment,meal,26,0.6666666666666666,2,2,0
SemEvalFood_SUB,nutriment,french bread,4,0.0,1,1,1
SemEvalFood_SUB,nutriment,gazpacho,2,1.0,2,2,0
SemEvalFood_SUB,nutriment,dish,62,0.7333333333333333,2,2,0
SemEvalFood_SUB,nutriment,pickle relish,2,1.0,1,1,1
SemEvalFood_SUB,nutriment,popcorn,2,1.0,1,1,1
SemEvalFood_SUB,nutriment,course,38,0.5555555555555556,2,2,0
SemEvalFood_SUB,nutriment,porcupine ball,2,1.0,2,2,0
SemEvalFood_SUB,nutriment,starches,8,0.3333333333333333,1,1,1
SemEvalFood_SUB,nutriment,candy,6,0.0,1,1,0
SemEvalFood_SUB,nutriment,soup,6,1.0,2,2,0
SemEvalFood_SUB,nutriment,home fries,2,1.0,2,2,1
SemEvalFood_SUB,nutriment,mashed potato,2,1.0,2,2,1
SemEvalFood_SUB,nutriment,vitamin b2,2,1.0,1,1,0
SemEvalFood_SUB,nutriment,cocktail,6,0.0,1,1,0
SemEvalFood_SUB,nutriment,diabetic diet,2,1.0,1,1,1
SemEvalFood_SUB,nutriment,fare,18,0.75,1,1,1
SemEvalFood_SUB,nutriment,eatage,12,0.6,1,1,1
SemEvalFood_SUB,nutriment,feed,34,0.75,1,1,1
SemEvalFood_SUB,nutriment,fodder,2,1.0,1,1,1
SemEvalFood_SUB,nutriment,chow,10,0.5,1,1,1
SemEvalFood_SUB,nutriment,alfalfa,2,1.0,1,1,1
SemEvalFood_SUB,nutriment,tamale pie,2,1.0,2,2,0
SemEvalFood_SUB,nutriment,celery stick,2,1.0,1,1,0
SemEvalFood_SUB,nutriment,moo goo gai pan,2,1.0,2,2,0
SemEvalFood_SUB,nutriment,crudites,4,1.0,2,2,0
SemEvalFood_SUB,nutriment,diet,12,0.6,1,1,1
SemEvalFood_SUB,nutriment,broth,2,1.0,2,2,0
SemEvalFood_SUB,nutriment,pantothenic acid,2,1.0,1,1,0
SemEvalFood_SUB,nutriment,"herb tea (herb tea, tisane)",4,0.0,1,1,0
SemEvalFood_SUB,nutriment,white bread,8,0.3333333333333333,1,1,1
SemEvalFood_SUB,nutriment,mayonnaise,4,0.0,1,1,1
SemEvalFood_SUB,food,tiramisu,1,1.0,2,2,0
SemEvalFood_SUB,food,jelly,3,1.0,2,2,0
SemEvalFood_SUB,food,green mayonnaise,1,1.0,2,2,0
SemEvalFood_SUB,food,appetizer,7,1.0,2,2,0
SemEvalFood_SUB,food,meatball,2,1.0,2,2,0
SemEvalFood_SUB,food,bannock,1,1.0,2,2,0
SemEvalFood_SUB,food,entree,1,1.0,2,2,0
SemEvalFood_SUB,food,dressing,4,1.0,2,2,0
SemEvalFood_SUB,food,herb,9,1.0,2,2,0
SemEvalFood_SUB,food,bullshot,1,1.0,2,2,0
SemEvalFood_SUB,food,curd,1,1.0,2,2,0
SemEvalFood_SUB,food,"dessert (dessert, sweet)",10,1.0,2,4,0
SemEvalFood_SUB,food,scampi,1,1.0,2,2,0
SemEvalFood_SUB,food,hard sauce,1,1.0,2,2,0
SemEvalFood_SUB,food,potato,3,1.0,2,2,0
SemEvalFood_SUB,food,buckwheat,1,1.0,2,2,0
SemEvalFood_SUB,food,fennel seed,1,1.0,2,2,0
SemEvalFood_SUB,food,center,1,1.0,2,2,0
SemEvalFood_SUB,food,antipasto,1,1.0,2,2,0
SemEvalFood_SUB,food,dairy product,2,1.0,2,2,0
SemEvalFood_SUB,food,sun tea,1,1.0,2,2,0
SemEvalFood_SUB,food,corn,2,1.0,2,2,0
SemEvalFood_SUB,food,diabetic diet,1,1.0,2,2,0
SemEvalFood_SUB,food,nut butter,1,1.0,2,2,0
SemEvalFood_SUB,food,grain,5,1.0,2,2,0
SemEvalFood_SUB,food,succotash,1,1.0,2,2,0
SemEvalFood_SUB,food,crabapple jelly,1,1.0,2,2,0
SemEvalFood_SUB,food,tea,5,1.0,2,2,0
SemEvalFood_SUB,food,ravigote,1,1.0,2,2,0
SemEvalFood_SUB,food,dainty,11,1.0,2,2,0
SemEvalFood_SUB,food,taco sauce,1,1.0,2,2,0
SemEvalFood_SUB,food,fare,9,1.0,2,2,0
SemEvalFood_SUB,food,groats,1,1.0,2,2,0
SemEvalFood_SUB,food,bread,8,1.0,2,2,0
SemEvalFood_SUB,food,eatage,6,1.0,2,2,0
SemEvalFood_SUB,food,meal,13,1.0,2,2,0
SemEvalFood_SUB,food,condiment,19,1.0,2,2,0
SemEvalFood_SUB,food,french bread,2,1.0,2,2,0
SemEvalFood_SUB,food,gazpacho,1,1.0,2,2,0
SemEvalFood_SUB,food,flatbread,3,1.0,2,2,0
SemEvalFood_SUB,food,relish,2,1.0,2,2,0
SemEvalFood_SUB,food,hard candy,1,1.0,2,2,0
SemEvalFood_SUB,food,dish,31,1.0,2,2,0
SemEvalFood_SUB,food,feed,17,1.0,2,2,0
SemEvalFood_SUB,food,camomile tea,1,1.0,2,2,0
SemEvalFood_SUB,food,pickle relish,1,1.0,2,2,0
SemEvalFood_SUB,food,popcorn,1,1.0,2,2,0
SemEvalFood_SUB,food,fodder,1,1.0,2,2,0
SemEvalFood_SUB,food,apple jelly,2,1.0,2,2,0
SemEvalFood_SUB,food,conserve,4,1.0,2,2,0
SemEvalFood_SUB,food,liquor,2,1.0,2,2,0
SemEvalFood_SUB,food,course,19,1.0,2,2,0
SemEvalFood_SUB,food,porcupine ball,1,1.0,2,2,0
SemEvalFood_SUB,food,starches,4,1.0,1,1,0
SemEvalFood_SUB,food,blue cheese dressing,1,1.0,2,2,0
SemEvalFood_SUB,food,candy,3,1.0,2,2,0
SemEvalFood_SUB,food,foodstuff,48,1.0,2,2,0
SemEvalFood_SUB,food,confiture,1,1.0,2,2,0
SemEvalFood_SUB,food,soup,3,1.0,2,2,0
SemEvalFood_SUB,food,home fries,1,1.0,2,2,0
SemEvalFood_SUB,food,chow,5,1.0,2,2,0
SemEvalFood_SUB,food,mashed potato,1,1.0,2,2,0
SemEvalFood_SUB,food,vitamin b2,1,1.0,2,2,0
SemEvalFood_SUB,food,alfalfa,1,1.0,1,1,0
SemEvalFood_SUB,food,cocktail,3,1.0,2,2,0
SemEvalFood_SUB,food,nutriment,56,1.0,2,2,0
SemEvalFood_SUB,food,tamale pie,1,1.0,2,2,0
SemEvalFood_SUB,food,pantothenic acid,1,1.0,2,2,0
SemEvalFood_SUB,food,celery stick,1,1.0,2,2,0
SemEvalFood_SUB,food,moo goo gai pan,1,1.0,2,2,0
SemEvalFood_SUB,food,"herb tea (herb tea, tisane)",2,1.0,2,4,0
SemEvalFood_SUB,food,caraway seed,1,1.0,2,2,0
SemEvalFood_SUB,food,steak sauce,1,1.0,2,2,0
SemEvalFood_SUB,food,baguet,1,1.0,2,2,0
SemEvalFood_SUB,food,garlic,1,1.0,2,2,0
SemEvalFood_SUB,food,crudites,2,1.0,2,2,0
SemEvalFood_SUB,food,white bread,4,1.0,2,2,0
SemEvalFood_SUB,food,mayonnaise,2,1.0,2,2,0
SemEvalFood_SUB,food,diet,6,1.0,2,2,0
SemEvalFood_SUB,food,ingredient,36,1.0,1,1,0
SemEvalFood_SUB,food,sauce,9,1.0,1,1,0
