dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalFood_SUB,dessert,tiramisu,8,1.0,2,4,0
SemEvalFood_SUB,dessert,crabapple jelly,8,1.0,1,2,1
SemEvalFood_SUB,dessert,hard candy,8,1.0,1,2,1
SemEvalFood_SUB,sweet,tiramisu,4,1.0,2,4,1
SemEvalFood_SUB,sweet,hard sauce,4,1.0,2,5,1
SemEvalFood_SUB,sweet,hard candy,4,1.0,2,4,0
SemEvalFood_SUB,sweet,crabapple jelly,4,1.0,2,4,0
SemEvalFood_SUB,sweet,apple jelly,8,1.0,2,4,0
SemEvalFood_SUB,sweet,sugar water,4,1.0,2,5,1
SemEvalFood_SUB,sweet,candy,8,1.0,2,4,0
SemEvalFood_SUB,sweet,confiture,12,1.0,2,4,0
SemEvalFood_SUB,sweet,dessert,16,1.0,1,2,1
SemEvalFood_SUB,dish,tiramisu,5,1.0,2,4,1
SemEvalFood_SUB,dish,appetizer,20,1.0,2,5,1
SemEvalFood_SUB,dish,meatball,10,1.0,2,6,0
SemEvalFood_SUB,dish,bannock,5,1.0,2,4,1
SemEvalFood_SUB,dish,entree,15,1.0,2,4,1
SemEvalFood_SUB,dish,antipasto,15,1.0,2,5,1
SemEvalFood_SUB,dish,succotash,5,1.0,2,4,0
SemEvalFood_SUB,dish,dainty,5,1.0,1,2,1
SemEvalFood_SUB,dish,bread,40,1.0,2,5,1
SemEvalFood_SUB,dish,gazpacho,5,1.0,2,4,0
SemEvalFood_SUB,dish,flatbread,15,1.0,2,4,1
SemEvalFood_SUB,dish,dessert,20,0.3333333333333333,2,4,1
SemEvalFood_SUB,dish,course,85,0.875,1,1,1
SemEvalFood_SUB,dish,soup,15,1.0,2,5,0
SemEvalFood_SUB,dish,broth,5,1.0,2,4,0
SemEvalFood_SUB,dish,crudites,10,1.0,2,4,1
SemEvalFood_SUB,dish,scampi,5,1.0,1,2,0
SemEvalFood_SUB,dish,popcorn,5,1.0,1,2,1
SemEvalFood_SUB,dish,porcupine ball,5,1.0,2,4,0
SemEvalFood_SUB,dish,tamale pie,5,1.0,2,4,0
SemEvalFood_SUB,dish,celery stick,5,1.0,1,2,1
SemEvalFood_SUB,dish,moo goo gai pan,5,1.0,2,4,0
SemEvalFood_SUB,dish,french bread,10,1.0,1,2,1
SemEvalFood_SUB,dish,white bread,5,1.0,1,2,1
SemEvalFood_SUB,dish,baguet,5,1.0,1,2,1
SemEvalFood_SUB,dish,bap,5,1.0,2,3,1
SemEvalFood_SUB,dish,flatbrod,5,1.0,2,4,1
SemEvalFood_SUB,dish,home fries,5,1.0,2,4,1
SemEvalFood_SUB,dish,mashed potato,5,1.0,2,5,1
SemEvalFood_SUB,dish,apple jelly,10,0.0,1,2,1
SemEvalFood_SUB,dish,chow,45,0.375,1,2,1
SemEvalFood_SUB,food,tiramisu,2,1.0,1,2,0
SemEvalFood_SUB,food,jelly,6,1.0,1,4,0
SemEvalFood_SUB,food,green mayonnaise,2,1.0,1,2,0
SemEvalFood_SUB,food,appetizer,8,1.0,1,3,0
SemEvalFood_SUB,food,meatball,4,1.0,1,4,0
SemEvalFood_SUB,food,bannock,2,1.0,1,2,0
SemEvalFood_SUB,food,entree,6,1.0,1,2,0
SemEvalFood_SUB,food,dressing,10,1.0,1,3,0
SemEvalFood_SUB,food,curd,2,1.0,1,1,0
SemEvalFood_SUB,food,scampi,2,1.0,1,2,0
SemEvalFood_SUB,food,hard sauce,2,1.0,1,3,0
SemEvalFood_SUB,food,potato,6,1.0,1,3,0
SemEvalFood_SUB,food,buckwheat,2,1.0,1,2,0
SemEvalFood_SUB,food,fennel seed,2,1.0,1,2,0
SemEvalFood_SUB,food,antipasto,6,1.0,1,3,0
SemEvalFood_SUB,food,ingredient,94,0.9565217391304348,1,2,0
SemEvalFood_SUB,food,dairy product,8,1.0,1,4,0
SemEvalFood_SUB,food,corn,4,1.0,1,2,0
SemEvalFood_SUB,food,sauce,22,0.9,1,3,0
SemEvalFood_SUB,food,nut butter,2,1.0,1,2,0
SemEvalFood_SUB,food,spread,24,0.9090909090909091,1,3,0
SemEvalFood_SUB,food,grain,10,1.0,1,3,0
SemEvalFood_SUB,food,succotash,2,1.0,1,2,0
SemEvalFood_SUB,food,crabapple jelly,2,1.0,1,2,0
SemEvalFood_SUB,food,tea,10,0.25,1,3,0
SemEvalFood_SUB,food,ravigote,2,1.0,1,3,0
SemEvalFood_SUB,food,gin and it,2,1.0,1,2,0
SemEvalFood_SUB,food,dainty,2,1.0,1,2,0
SemEvalFood_SUB,food,taco sauce,2,1.0,1,2,0
SemEvalFood_SUB,food,fare,136,0.9701492537313433,2,5,0
SemEvalFood_SUB,food,groats,4,1.0,1,2,0
SemEvalFood_SUB,food,bread,16,1.0,1,4,0
SemEvalFood_SUB,food,"eatage (eatage, foodstuff)",174,0.8488372093023255,2,6,0
SemEvalFood_SUB,food,meal,4,1.0,1,3,0
SemEvalFood_SUB,food,flavorer,50,0.9166666666666666,1,3,0
SemEvalFood_SUB,food,condiment,38,0.9444444444444444,1,3,0
SemEvalFood_SUB,food,french bread,4,1.0,1,3,0
SemEvalFood_SUB,food,gazpacho,2,1.0,1,2,0
SemEvalFood_SUB,food,flatbread,6,1.0,1,2,0
SemEvalFood_SUB,food,hard candy,2,1.0,1,2,0
SemEvalFood_SUB,food,dish,78,1.0,1,3,0
SemEvalFood_SUB,food,feed,6,1.0,1,2,0
SemEvalFood_SUB,food,pickle relish,2,1.0,1,2,0
SemEvalFood_SUB,food,popcorn,2,1.0,1,2,0
SemEvalFood_SUB,food,fodder,4,1.0,1,2,0
SemEvalFood_SUB,food,apple jelly,4,1.0,1,2,0
SemEvalFood_SUB,food,sugar water,2,1.0,1,3,0
SemEvalFood_SUB,food,conserve,10,1.0,1,2,0
SemEvalFood_SUB,food,course,34,1.0,1,3,0
SemEvalFood_SUB,food,porcupine ball,2,1.0,1,2,0
SemEvalFood_SUB,food,starches,32,1.0,1,3,0
SemEvalFood_SUB,food,blue cheese dressing,2,1.0,1,2,0
SemEvalFood_SUB,food,candy,4,1.0,1,2,0
SemEvalFood_SUB,food,confiture,6,1.0,1,2,0
SemEvalFood_SUB,food,soup,6,1.0,1,3,0
SemEvalFood_SUB,food,home fries,2,1.0,1,2,0
SemEvalFood_SUB,food,chow,18,1.0,1,2,0
SemEvalFood_SUB,food,mashed potato,2,1.0,1,3,0
SemEvalFood_SUB,food,alfalfa,2,1.0,1,2,0
SemEvalFood_SUB,food,dessert,8,1.0,1,2,0
SemEvalFood_SUB,food,tamale pie,2,1.0,1,2,0
SemEvalFood_SUB,food,celery stick,2,1.0,1,2,0
SemEvalFood_SUB,food,moo goo gai pan,2,1.0,1,2,0
SemEvalFood_SUB,food,"herb tea (herb tea, tisane)",4,0.0,1,5,0
SemEvalFood_SUB,food,caraway seed,2,1.0,1,2,0
SemEvalFood_SUB,food,steak sauce,2,1.0,1,2,0
SemEvalFood_SUB,food,baguet,2,1.0,1,2,0
SemEvalFood_SUB,food,garlic,2,1.0,1,2,0
SemEvalFood_SUB,food,crudites,4,1.0,1,2,0
SemEvalFood_SUB,food,white bread,2,1.0,1,2,0
SemEvalFood_SUB,food,mayonnaise,4,1.0,1,3,0
SemEvalFood_SUB,food,broth,2,1.0,1,2,0
SemEvalFood_SUB,food,bap,2,1.0,1,2,0
SemEvalFood_SUB,food,flatbrod,2,1.0,1,2,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",tiramisu,3,1.0,2,6,1
SemEvalFood_SUB,"eatage (eatage, foodstuff)",jelly,9,1.0,2,7,1
SemEvalFood_SUB,"eatage (eatage, foodstuff)",green mayonnaise,3,1.0,2,5,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",appetizer,12,1.0,2,7,1
SemEvalFood_SUB,"eatage (eatage, foodstuff)",meatball,6,1.0,2,7,1
SemEvalFood_SUB,"eatage (eatage, foodstuff)",bannock,3,1.0,2,5,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",entree,9,1.0,2,8,1
SemEvalFood_SUB,"eatage (eatage, foodstuff)",dressing,15,1.0,2,6,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",herb,15,1.0,2,5,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",curd,3,1.0,2,4,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",scampi,3,1.0,2,6,1
SemEvalFood_SUB,"eatage (eatage, foodstuff)",hard sauce,3,1.0,2,6,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",potato,9,1.0,2,7,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",buckwheat,3,1.0,2,5,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",fennel seed,3,1.0,2,6,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",antipasto,9,1.0,2,6,1
SemEvalFood_SUB,"eatage (eatage, foodstuff)",ingredient,141,1.0,1,2,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",dairy product,12,1.0,2,7,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",corn,6,1.0,2,5,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",sauce,33,1.0,2,6,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",nut butter,3,1.0,2,5,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",spread,36,1.0,2,6,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",grain,15,1.0,2,6,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",succotash,3,1.0,2,5,1
SemEvalFood_SUB,"eatage (eatage, foodstuff)",crabapple jelly,3,1.0,2,5,1
SemEvalFood_SUB,"eatage (eatage, foodstuff)",tea,15,0.75,2,5,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",ravigote,3,1.0,2,6,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",gin and it,3,1.0,2,3,1
SemEvalFood_SUB,"eatage (eatage, foodstuff)",dainty,3,1.0,1,2,1
SemEvalFood_SUB,"eatage (eatage, foodstuff)",taco sauce,3,1.0,2,5,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",fare,204,1.0,2,4,1
SemEvalFood_SUB,"eatage (eatage, foodstuff)",groats,6,1.0,2,5,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",bread,24,1.0,2,7,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",flavorer,75,1.0,2,4,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",condiment,57,1.0,2,5,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",french bread,6,1.0,2,9,0
SemEvalFood_SUB,"eatage (eatage, foodstuff)",gazpacho,3,1.0,2,4,1
SemEvalFood_SUB,"eatage (eatage, foodstuff)",flatbread,9,1.0,2,5,0
