dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalScience_SUB,applied sciences,cybernetics,2,1.0,2,2,0
SemEvalScience_SUB,applied sciences,electrotechnology,4,0.0,2,2,0
SemEvalScience_SUB,applied sciences,information science,2,1.0,2,2,0
SemEvalScience_SUB,applied sciences,metrology,2,1.0,2,2,0
SemEvalScience_SUB,electrotechnology,electronics,3,1.0,1,1,1
SemEvalScience_SUB,science,applied sciences,6,0.0,2,2,0
SemEvalScience_SUB,science,life sciences,18,0.0,2,3,0
SemEvalScience_SUB,science,mathematics,1,1.0,2,2,0
SemEvalScience_SUB,science,philosophy,3,0.0,1,0,0
SemEvalScience_SUB,science,physical sciences,19,0.0,2,2,0
SemEvalScience_SUB,science,social sciences,30,0.0,2,2,0
SemEvalScience_SUB,life sciences,biology,32,0.0,2,3,0
SemEvalScience_SUB,life sciences,pharmacology,2,1.0,2,2,0
SemEvalScience_SUB,physical sciences,acoustics,2,1.0,2,2,0
SemEvalScience_SUB,physical sciences,aerodynamics,2,1.0,2,2,0
SemEvalScience_SUB,physical sciences,"astronomy (astronomy, space science)",6,0.0,2,4,1
SemEvalScience_SUB,physical sciences,chemistry,12,0.0,2,2,0
SemEvalScience_SUB,physical sciences,fundamental particle,4,0.0,1,0,0
SemEvalScience_SUB,physical sciences,nuclear physics,2,1.0,2,2,0
SemEvalScience_SUB,physical sciences,optics,4,0.0,2,2,0
SemEvalScience_SUB,physical sciences,plasma physics,2,1.0,2,2,0
SemEvalScience_SUB,physical sciences,thermodynamics,2,1.0,2,2,0
SemEvalScience_SUB,chemistry,analytical chemistry,6,0.0,2,2,0
SemEvalScience_SUB,chemistry,electrochemistry,3,1.0,2,2,0
SemEvalScience_SUB,chemistry,industrial chemistry,3,1.0,2,2,1
SemEvalScience_SUB,chemistry,photochemistry,3,1.0,2,2,0
SemEvalScience_SUB,biology,agronomy,3,1.0,1,1,1
SemEvalScience_SUB,biology,biochemistry,3,1.0,2,2,1
SemEvalScience_SUB,biology,biometrics,3,1.0,2,2,1
SemEvalScience_SUB,biology,botany,6,0.0,2,3,0
SemEvalScience_SUB,biology,cytology,3,1.0,2,2,0
SemEvalScience_SUB,biology,ecology,3,1.0,2,2,1
SemEvalScience_SUB,biology,genetics,6,0.0,2,2,0
SemEvalScience_SUB,biology,histology,3,1.0,2,2,0
SemEvalScience_SUB,biology,neurobiology,3,1.0,2,2,0
SemEvalScience_SUB,biology,parasitology,3,1.0,2,2,1
