dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalScience_SUB,science,applied sciences,25,1.0,2,4,0
SemEvalScience_SUB,science,agronomy,1,1.0,2,3,0
SemEvalScience_SUB,science,cybernetics,1,1.0,2,4,0
SemEvalScience_SUB,science,electrotechnology,2,1.0,2,3,0
SemEvalScience_SUB,science,industrial chemistry,1,1.0,2,3,0
SemEvalScience_SUB,science,information science,3,1.0,2,3,0
SemEvalScience_SUB,science,mathematics,1,1.0,2,2,0
SemEvalScience_SUB,science,metrology,3,1.0,2,4,0
SemEvalScience_SUB,science,life sciences,24,0.9565217391304348,2,3,0
SemEvalScience_SUB,science,biology,23,0.9545454545454546,2,3,0
SemEvalScience_SUB,science,botany,3,1.0,2,4,0
SemEvalScience_SUB,science,plant taxonomy,1,1.0,2,3,0
SemEvalScience_SUB,science,genetics,4,1.0,2,3,0
SemEvalScience_SUB,science,eugenics,1,1.0,2,2,0
SemEvalScience_SUB,science,neurobiology,1,1.0,2,3,0
SemEvalScience_SUB,science,radiobiology,1,1.0,2,3,0
SemEvalScience_SUB,science,zoology,4,1.0,2,3,0
SemEvalScience_SUB,science,animal taxonomy,1,1.0,2,3,0
SemEvalScience_SUB,science,ecology,1,1.0,2,3,0
SemEvalScience_SUB,science,parasitology,1,1.0,2,3,0
SemEvalScience_SUB,science,physical sciences,31,1.0,2,2,0
SemEvalScience_SUB,science,acoustics,1,1.0,2,4,0
SemEvalScience_SUB,science,chemistry,13,1.0,2,3,0
SemEvalScience_SUB,science,analytical chemistry,2,1.0,2,3,0
SemEvalScience_SUB,science,biochemistry,6,1.0,2,3,0
SemEvalScience_SUB,science,enzyme,1,1.0,2,3,0
SemEvalScience_SUB,science,electrochemistry,1,1.0,2,2,0
SemEvalScience_SUB,science,photochemistry,1,1.0,2,3,0
SemEvalScience_SUB,science,ionising radiation,1,1.0,2,3,0
SemEvalScience_SUB,science,laser physics,1,1.0,2,3,0
SemEvalScience_SUB,science,nuclear physics,2,1.0,2,5,0
SemEvalScience_SUB,science,atom,1,1.0,2,3,0
SemEvalScience_SUB,science,fundamental particle,1,1.0,2,3,0
SemEvalScience_SUB,science,optics,2,1.0,2,4,0
SemEvalScience_SUB,science,plasma physics,1,1.0,2,3,0
SemEvalScience_SUB,science,spectrometry,1,1.0,2,3,0
SemEvalScience_SUB,science,thermodynamics,1,1.0,2,3,0
SemEvalScience_SUB,science,space science,4,1.0,2,3,0
SemEvalScience_SUB,science,astronautics,1,1.0,2,3,0
SemEvalScience_SUB,science,astronomy,2,1.0,2,3,0
SemEvalScience_SUB,science,cosmology,1,1.0,2,4,0
SemEvalScience_SUB,science,behavioural sciences,32,0.967741935483871,2,3,0
SemEvalScience_SUB,science,psychology,6,0.8,2,3,0
SemEvalScience_SUB,science,personality,1,1.0,1,3,0
SemEvalScience_SUB,science,psychometric test,1,1.0,1,2,0
SemEvalScience_SUB,science,social sciences,43,0.9761904761904762,2,3,0
SemEvalScience_SUB,science,archaeology,2,1.0,2,3,0
SemEvalScience_SUB,science,economics,1,1.0,2,4,0
SemEvalScience_SUB,science,ethnology,2,1.0,2,3,0
SemEvalScience_SUB,science,linguistics,10,1.0,2,2,0
SemEvalScience_SUB,science,bilingualism,1,1.0,2,3,0
SemEvalScience_SUB,science,political science,7,1.0,2,3,0
SemEvalScience_SUB,science,geopolitics,1,1.0,2,3,0
SemEvalScience_SUB,science,sociology,15,0.9285714285714286,2,3,0
SemEvalScience_SUB,science,rural sociology,1,1.0,2,3,0
SemEvalScience_SUB,science,sociology of education,2,1.0,2,3,0
SemEvalScience_SUB,science,biometrics,1,1.0,1,1,0
SemEvalScience_SUB,science,cytology,2,1.0,1,1,0
SemEvalScience_SUB,science,embryo and foetus,1,1.0,1,1,0
SemEvalScience_SUB,science,dna,1,1.0,1,1,0
SemEvalScience_SUB,science,histology,3,1.0,1,1,0
SemEvalScience_SUB,science,microorganism,1,1.0,1,1,0
SemEvalScience_SUB,science,stem cell,1,1.0,1,1,0
SemEvalScience_SUB,science,pharmacology,1,1.0,1,1,0
SemEvalScience_SUB,science,aerodynamics,1,1.0,1,1,0
SemEvalScience_SUB,science,electronics,1,1.0,1,1,0
SemEvalScience_SUB,science,criminology,1,1.0,1,1,0
SemEvalScience_SUB,science,psychoanalysis,1,1.0,1,1,0
SemEvalScience_SUB,science,administrative science,1,1.0,1,1,0
SemEvalScience_SUB,science,ethnography,1,1.0,1,1,0
