dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
WordNetFood_SUB,tart,pie,8,0.0,1,0,1
WordNetFood_SUB,"baked goods (baked goods, pastry)",cake,6,0.0,2,3,0
WordNetFood_SUB,"baked goods (baked goods, pastry)",bread,12,0.0,2,2,0
WordNetFood_SUB,"baked goods (baked goods, pastry)",cookie,6,0.0,2,3,0
WordNetFood_SUB,"baked goods (baked goods, pastry)",pie,6,0.0,2,4,0
WordNetFood_SUB,"baked goods (baked goods, pastry)",tart,9,0.5,2,4,0
WordNetFood_SUB,dish,chicken paprika,1,1.0,2,2,0
WordNetFood_SUB,dish,concoction,12,0.0,1,0,1
WordNetFood_SUB,dish,course,1,1.0,1,0,1
WordNetFood_SUB,dish,dessert,15,0.0,2,2,1
WordNetFood_SUB,dish,sandwich,2,0.0,2,2,0
WordNetFood_SUB,dish,snack food,3,0.0,1,1,0
WordNetFood_SUB,dish,soul food,1,1.0,1,1,1
WordNetFood_SUB,"diet (diet, fare, food, foodstuff, ingredient, meal, nutriment)","produce (produce, vegetable)",41,0.0,2,16,0
WordNetFood_SUB,"diet (diet, fare, food, foodstuff, ingredient, meal, nutriment)",vitamin,4,0.0,2,6,0
WordNetFood_SUB,jerky,beef jerky,4,1.0,2,2,0
WordNetFood_SUB,meat,jerky,6,0.0,2,2,0
WordNetFood_SUB,meat,pork,6,0.0,2,2,0
WordNetFood_SUB,meat,cut,6,0.0,1,0,0
WordNetFood_SUB,meat,seafood,15,0.0,2,2,1
WordNetFood_SUB,snack food,chocolate,4,0.0,2,2,1
WordNetFood_SUB,shellfish,scampi,5,1.0,1,1,1
WordNetFood_SUB,seafood,freshwater fish,4,1.0,2,2,0
WordNetFood_SUB,seafood,octopus,4,1.0,2,3,0
WordNetFood_SUB,seafood,shellfish,8,0.0,2,2,0
WordNetFood_SUB,grain,rice,4,1.0,2,2,0
WordNetFood_SUB,starches,dough,3,1.0,1,1,1
WordNetFood_SUB,starches,grain,6,0.0,1,1,1
WordNetFood_SUB,starches,pea flour,3,1.0,2,2,1
WordNetFood_SUB,legume,pea,9,0.0,2,2,0
WordNetFood_SUB,field pea,marrowfat pea,5,1.0,2,2,1
WordNetFood_SUB,pea,field pea,8,0.0,2,2,0
WordNetFood_SUB,"produce (produce, vegetable)",greens,8,0.0,2,4,0
WordNetFood_SUB,"produce (produce, vegetable)",dairy product,6,0.0,1,0,1
WordNetFood_SUB,"produce (produce, vegetable)",edible fruit,18,0.0,2,2,0
WordNetFood_SUB,"produce (produce, vegetable)",egg,2,1.0,1,0,1
WordNetFood_SUB,"produce (produce, vegetable)",legume,8,0.0,2,4,0
WordNetFood_SUB,"produce (produce, vegetable)",herb,4,0.0,2,3,1
WordNetFood_SUB,"produce (produce, vegetable)",meat,24,0.0,1,0,1
WordNetFood_SUB,"produce (produce, vegetable)",starches,10,0.0,1,0,1
WordNetFood_SUB,bread,sweet roll,8,0.0,2,2,0
WordNetFood_SUB,bread,bun,4,1.0,2,2,0
WordNetFood_SUB,sweet roll,bear claw,5,1.0,1,1,0
WordNetFood_SUB,dessert,"baked goods (baked goods, pastry)",24,0.0,2,2,1
WordNetFood_SUB,dessert,pudding,4,0.0,2,2,0
WordNetFood_SUB,chowder,clam chowder,4,1.0,2,2,0
WordNetFood_SUB,soup,chowder,6,0.0,2,2,0
WordNetFood_SUB,concoction,beverage,16,0.0,1,0,1
WordNetFood_SUB,concoction,soup,6,0.0,1,1,1
WordNetFood_SUB,herb,marjoram,3,1.0,2,2,0
WordNetFood_SUB,greens,salad green,9,0.0,2,2,0
WordNetFood_SUB,salad green,lettuce,8,0.0,2,2,0
WordNetFood_SUB,lettuce,cos,5,1.0,1,1,0
WordNetFood_SUB,beer,ale,18,0.0,2,2,0
WordNetFood_SUB,ale,pale ale,7,1.0,2,2,0
WordNetFood_SUB,ale,spruce beer,7,1.0,1,1,1
WordNetFood_SUB,brew,beer,20,0.0,2,2,0
WordNetFood_SUB,brew,koumiss,5,1.0,1,1,1
WordNetFood_SUB,alcohol,brew,24,0.2,2,2,0
WordNetFood_SUB,alcohol,beer,16,0.0,2,2,0
WordNetFood_SUB,beverage,alcohol,21,0.0,2,2,0
WordNetFood_SUB,sandwich,gyro,2,1.0,2,2,0
WordNetFood_SUB,water-soluble vitamin,b-complex vitamin,6,0.0,2,2,0
WordNetFood_SUB,pork,cochon de lait,4,1.0,2,2,0
WordNetFood_SUB,dairy product,cheese,6,0.0,2,2,0
WordNetFood_SUB,orange,sweet orange,10,0.0,2,2,0
WordNetFood_SUB,cheese,camembert,4,1.0,2,2,0
WordNetFood_SUB,berry,boysenberry,4,1.0,2,2,0
WordNetFood_SUB,berry,elderberry,4,1.0,2,2,1
WordNetFood_SUB,berry,raspberry,4,1.0,2,2,0
WordNetFood_SUB,condiment,sauce,2,0.0,2,2,0
WordNetFood_SUB,condiment,flavorer,1,1.0,1,0,1
WordNetFood_SUB,sweet orange,navel orange,6,1.0,2,2,0
WordNetFood_SUB,vitamin,water-soluble vitamin,6,0.0,2,2,0
WordNetFood_SUB,edible fruit,berry,12,0.0,2,2,0
WordNetFood_SUB,edible fruit,citrus,12,0.0,2,2,0
WordNetFood_SUB,citrus,orange,12,0.0,2,2,0
WordNetFood_SUB,chocolate,chocolate candy,3,1.0,2,2,0
WordNetFood_SUB,b-complex vitamin,choline,4,1.0,1,1,0
WordNetFood_SUB,pie,squash pie,5,1.0,2,2,0
