dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
WordNetFood_SUB,tart,lobster tart,8,1.0,2,2,0
WordNetFood_SUB,"baked goods (baked goods, pastry)",lobster tart,6,1.0,2,4,0
WordNetFood_SUB,"baked goods (baked goods, pastry)",sweet roll,12,1.0,2,4,0
WordNetFood_SUB,"baked goods (baked goods, pastry)",tart,12,1.0,2,4,0
WordNetFood_SUB,"baked goods (baked goods, pastry)",bear claw,6,1.0,2,4,0
WordNetFood_SUB,"baked goods (baked goods, pastry)",pie,24,1.0,2,4,0
WordNetFood_SUB,"baked goods (baked goods, pastry)",gingersnap,6,1.0,2,3,0
WordNetFood_SUB,"baked goods (baked goods, pastry)",applesauce cake,6,1.0,2,3,0
WordNetFood_SUB,"baked goods (baked goods, pastry)",squash pie,6,1.0,2,4,0
WordNetFood_SUB,"baked goods (baked goods, pastry)",cookie,12,1.0,2,3,0
WordNetFood_SUB,"baked goods (baked goods, pastry)",bun,6,1.0,2,3,0
WordNetFood_SUB,"baked goods (baked goods, pastry)",cake,12,1.0,2,3,0
WordNetFood_SUB,"baked goods (baked goods, pastry)",bread,24,1.0,2,2,0
WordNetFood_SUB,dish,lobster tart,1,1.0,2,2,1
WordNetFood_SUB,dish,sweet roll,2,1.0,2,2,1
WordNetFood_SUB,dish,chowder,2,1.0,2,2,0
WordNetFood_SUB,dish,clam chowder,1,1.0,2,2,0
WordNetFood_SUB,dish,sandwich,2,1.0,2,2,0
WordNetFood_SUB,dish,tart,2,1.0,2,2,1
WordNetFood_SUB,dish,applesauce cake,1,1.0,2,2,1
WordNetFood_SUB,dish,"diet (diet, fare, food, foodstuff, ingredient, meal, nutriment)",87,0.313953488372093,2,3,1
WordNetFood_SUB,dish,beef jerky,1,1.0,1,1,1
WordNetFood_SUB,dish,scampi,1,1.0,1,1,0
WordNetFood_SUB,dish,gingersnap,1,1.0,1,1,1
WordNetFood_SUB,dish,bread,4,1.0,1,1,1
WordNetFood_SUB,dish,bear claw,1,1.0,1,1,1
WordNetFood_SUB,dish,pie,4,1.0,2,2,1
WordNetFood_SUB,dish,chocolate candy,1,1.0,1,1,1
WordNetFood_SUB,dish,"baked goods (baked goods, pastry)",13,1.0,1,2,1
WordNetFood_SUB,dish,anchovy sauce,1,1.0,1,1,1
WordNetFood_SUB,dish,gyro,1,1.0,2,2,0
WordNetFood_SUB,dish,corn pudding,1,1.0,2,2,0
WordNetFood_SUB,dish,soup,3,1.0,2,2,0
WordNetFood_SUB,dish,cookie,2,1.0,1,1,1
WordNetFood_SUB,dish,dessert,18,0.9411764705882353,2,2,1
WordNetFood_SUB,dish,squash pie,1,1.0,2,2,1
WordNetFood_SUB,dish,pudding,2,1.0,2,2,0
WordNetFood_SUB,dish,chicken paprika,1,1.0,2,2,0
WordNetFood_SUB,dish,bun,1,1.0,1,1,1
WordNetFood_SUB,dish,cake,2,1.0,2,2,1
WordNetFood_SUB,dish,soul food,1,1.0,1,1,1
WordNetFood_SUB,"diet (diet, fare, food, foodstuff, ingredient, meal, nutriment)",lobster tart,3,1.0,2,9,0
