dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
WordNetFood_SUB,tart,lobster tart,7,1.0,2,3,0
WordNetFood_SUB,pastry,cake,8,1.0,1,1,1
WordNetFood_SUB,pastry,sweet roll,8,1.0,1,2,1
WordNetFood_SUB,pastry,tart,8,1.0,1,2,0
WordNetFood_SUB,pastry,pie,8,1.0,1,3,0
WordNetFood_SUB,pastry,lobster tart,4,1.0,1,1,0
WordNetFood_SUB,pastry,applesauce cake,4,1.0,1,1,1
WordNetFood_SUB,pastry,bear claw,4,1.0,1,2,1
WordNetFood_SUB,pastry,squash pie,4,1.0,1,2,0
WordNetFood_SUB,dish,baked goods,28,0.6923076923076923,1,1,1
WordNetFood_SUB,dish,course,38,0.8888888888888888,1,2,1
WordNetFood_SUB,dish,dessert,26,0.8333333333333334,1,3,1
WordNetFood_SUB,dish,sweet roll,4,1.0,1,1,1
WordNetFood_SUB,dish,jerky,4,1.0,1,3,1
WordNetFood_SUB,dish,pudding,4,1.0,1,3,0
WordNetFood_SUB,dish,chicken paprika,2,1.0,1,2,0
WordNetFood_SUB,dish,soul food,2,1.0,1,2,1
WordNetFood_SUB,dish,scampi,2,1.0,1,2,0
WordNetFood_SUB,dish,applesauce cake,2,1.0,1,2,1
WordNetFood_SUB,dish,bear claw,2,1.0,1,2,1
WordNetFood_SUB,dish,corn pudding,2,1.0,1,3,0
WordNetFood_SUB,dish,squash pie,2,1.0,1,3,1
WordNetFood_SUB,dish,beef jerky,2,1.0,1,3,1
WordNetFood_SUB,dish,pastry,18,1.0,2,5,1
WordNetFood_SUB,dish,cake,4,1.0,2,4,1
WordNetFood_SUB,dish,pie,4,1.0,2,6,1
WordNetFood_SUB,dish,sandwich,4,1.0,2,5,0
WordNetFood_SUB,dish,tart,4,1.0,2,5,1
WordNetFood_SUB,dish,soup,6,1.0,2,6,0
WordNetFood_SUB,dish,gyro,2,1.0,2,4,0
WordNetFood_SUB,dish,lobster tart,2,1.0,2,4,1
WordNetFood_SUB,dish,chowder,4,1.0,2,6,0
WordNetFood_SUB,dish,clam chowder,2,1.0,2,5,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",beverage,8,0.5714285714285714,1,3,0
