dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
WordNetFood_SUB,tart,lobster tart,12,1.0,2,4,0
WordNetFood_SUB,pastry,lobster tart,10,1.0,1,2,0
WordNetFood_SUB,pastry,sweet roll,20,1.0,2,5,1
WordNetFood_SUB,pastry,tart,20,1.0,2,5,0
WordNetFood_SUB,pastry,gingersnap,10,1.0,1,2,1
WordNetFood_SUB,pastry,bear claw,10,1.0,2,6,1
WordNetFood_SUB,pastry,pie,40,1.0,2,4,0
WordNetFood_SUB,pastry,squash pie,10,1.0,2,5,0
WordNetFood_SUB,pastry,bun,30,1.0,1,2,1
WordNetFood_SUB,pastry,cookie,20,1.0,2,4,1
WordNetFood_SUB,pastry,cake,20,0.0,1,3,1
WordNetFood_SUB,"course (course, diet, dish, fare, foodstuff, meal)",lobster tart,3,1.0,2,9,0
WordNetFood_SUB,"course (course, diet, dish, fare, foodstuff, meal)",sweet roll,6,1.0,2,11,0
WordNetFood_SUB,"course (course, diet, dish, fare, foodstuff, meal)",chowder,6,1.0,2,11,0
WordNetFood_SUB,"course (course, diet, dish, fare, foodstuff, meal)",clam chowder,3,1.0,2,17,0
WordNetFood_SUB,"course (course, diet, dish, fare, foodstuff, meal)",scampi,3,1.0,2,11,0
WordNetFood_SUB,"course (course, diet, dish, fare, foodstuff, meal)",sandwich,6,1.0,2,22,0
WordNetFood_SUB,"course (course, diet, dish, fare, foodstuff, meal)",tart,6,1.0,2,10,0
WordNetFood_SUB,"course (course, diet, dish, fare, foodstuff, meal)",applesauce cake,3,1.0,2,12,1
WordNetFood_SUB,"course (course, diet, dish, fare, foodstuff, meal)",concoction,81,1.0,1,7,0
WordNetFood_SUB,"course (course, diet, dish, fare, foodstuff, meal)",bear claw,3,1.0,2,9,0
WordNetFood_SUB,"course (course, diet, dish, fare, foodstuff, meal)",beef jerky,3,1.0,2,10,1
WordNetFood_SUB,"course (course, diet, dish, fare, foodstuff, meal)",lobster tail,3,1.0,2,8,1
WordNetFood_SUB,"course (course, diet, dish, fare, foodstuff, meal)",pie,12,1.0,2,17,0
WordNetFood_SUB,"course (course, diet, dish, fare, foodstuff, meal)",soup,9,1.0,2,19,0
WordNetFood_SUB,"course (course, diet, dish, fare, foodstuff, meal)",cookie,6,1.0,2,11,1
WordNetFood_SUB,"course (course, diet, dish, fare, foodstuff, meal)",cake,6,1.0,2,15,1
WordNetFood_SUB,"course (course, diet, dish, fare, foodstuff, meal)",pudding,6,1.0,2,15,0
