dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
WordNetFood_SUB,tart,lobster tart,6,1.0,2,4,0
WordNetFood_SUB,pastry,lobster tart,5,1.0,1,2,0
WordNetFood_SUB,pastry,sweet roll,10,1.0,2,7,1
WordNetFood_SUB,pastry,tart,10,1.0,2,6,0
WordNetFood_SUB,pastry,gingersnap,5,1.0,2,6,1
WordNetFood_SUB,pastry,applesauce cake,5,1.0,1,1,1
WordNetFood_SUB,pastry,bear claw,5,1.0,2,6,1
WordNetFood_SUB,pastry,pie,10,1.0,2,5,0
WordNetFood_SUB,pastry,cookie,10,1.0,2,6,1
WordNetFood_SUB,pastry,squash pie,5,1.0,2,5,0
WordNetFood_SUB,pastry,cake,10,1.0,1,3,1
WordNetFood_SUB,baked goods,lobster tart,3,1.0,2,4,0
WordNetFood_SUB,baked goods,sweet roll,6,1.0,2,6,0
WordNetFood_SUB,baked goods,tart,6,1.0,2,5,0
WordNetFood_SUB,baked goods,gingersnap,3,1.0,2,5,0
WordNetFood_SUB,baked goods,applesauce cake,3,1.0,2,4,0
WordNetFood_SUB,baked goods,bread,12,1.0,2,5,0
WordNetFood_SUB,baked goods,bear claw,3,1.0,2,5,0
WordNetFood_SUB,baked goods,pastry,33,1.0,2,7,0
WordNetFood_SUB,baked goods,cookie,6,1.0,2,5,0
WordNetFood_SUB,baked goods,squash pie,3,1.0,1,2,0
WordNetFood_SUB,baked goods,bun,9,1.0,2,5,0
WordNetFood_SUB,baked goods,cake,6,1.0,2,6,0
WordNetFood_SUB,baked goods,pie,6,1.0,1,3,0
WordNetFood_SUB,"course (course, dish)",lobster tart,2,1.0,2,4,1
WordNetFood_SUB,"course (course, dish)",beef jerky,2,1.0,2,4,1
WordNetFood_SUB,"course (course, dish)",sweet roll,4,1.0,2,5,1
WordNetFood_SUB,"course (course, dish)",chowder,4,1.0,2,5,0
WordNetFood_SUB,"course (course, dish)",clam chowder,2,1.0,2,5,0
WordNetFood_SUB,"course (course, dish)",sandwich,4,1.0,2,5,0
WordNetFood_SUB,"course (course, dish)",tart,4,1.0,2,5,1
WordNetFood_SUB,"course (course, dish)",applesauce cake,2,1.0,2,5,1
WordNetFood_SUB,"course (course, dish)",bread,8,1.0,1,2,1
WordNetFood_SUB,"course (course, dish)",bear claw,2,1.0,2,4,1
