dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
WordNetFood_SUB,tart,lobster tart,8,1.0,2,2,0
WordNetFood_SUB,pastry,lobster tart,7,1.0,2,2,0
WordNetFood_SUB,pastry,sweet roll,14,1.0,2,2,1
WordNetFood_SUB,pastry,tart,14,1.0,2,2,0
WordNetFood_SUB,pastry,bear claw,7,1.0,2,2,1
WordNetFood_SUB,pastry,pie,14,1.0,1,1,0
WordNetFood_SUB,pastry,squash pie,7,1.0,1,1,0
WordNetFood_SUB,"dish (dish, meal)",lobster tart,2,1.0,2,2,1
WordNetFood_SUB,"dish (dish, meal)",sweet roll,4,1.0,2,2,1
WordNetFood_SUB,"dish (dish, meal)",chowder,4,1.0,2,2,0
WordNetFood_SUB,"dish (dish, meal)",clam chowder,2,1.0,2,3,0
WordNetFood_SUB,"dish (dish, meal)",sandwich,4,1.0,2,2,0
WordNetFood_SUB,"dish (dish, meal)",tart,4,1.0,2,2,1
WordNetFood_SUB,"dish (dish, meal)",applesauce cake,2,1.0,2,2,1
WordNetFood_SUB,"dish (dish, meal)",beef jerky,2,1.0,1,1,1
WordNetFood_SUB,"dish (dish, meal)",scampi,2,1.0,1,1,0
WordNetFood_SUB,"dish (dish, meal)",sauce,4,1.0,1,1,1
WordNetFood_SUB,"dish (dish, meal)",gingersnap,2,1.0,1,1,1
WordNetFood_SUB,"dish (dish, meal)",raspberry,2,1.0,1,1,1
WordNetFood_SUB,"dish (dish, meal)",fare,24,0.9090909090909091,1,1,1
WordNetFood_SUB,"dish (dish, meal)",bread,8,1.0,1,1,1
WordNetFood_SUB,"dish (dish, meal)",condiment,6,1.0,1,1,1
WordNetFood_SUB,"dish (dish, meal)",bear claw,2,1.0,1,1,1
WordNetFood_SUB,"dish (dish, meal)",pie,4,1.0,2,2,1
WordNetFood_SUB,"dish (dish, meal)",chocolate candy,2,1.0,1,1,1
WordNetFood_SUB,"dish (dish, meal)",anchovy sauce,2,1.0,1,1,1
WordNetFood_SUB,"dish (dish, meal)",pastry,14,1.0,1,1,1
WordNetFood_SUB,"dish (dish, meal)",gyro,2,1.0,2,3,0
WordNetFood_SUB,"dish (dish, meal)",corn pudding,2,1.0,2,2,0
WordNetFood_SUB,"dish (dish, meal)",soup,6,1.0,2,2,0
WordNetFood_SUB,"dish (dish, meal)",cookie,4,1.0,1,1,1
WordNetFood_SUB,"dish (dish, meal)",camembert,2,1.0,1,1,1
WordNetFood_SUB,"dish (dish, meal)",dessert,32,0.9333333333333333,2,3,1
WordNetFood_SUB,"dish (dish, meal)",squash pie,2,1.0,2,2,1
WordNetFood_SUB,"dish (dish, meal)",pudding,4,1.0,2,2,0
WordNetFood_SUB,"dish (dish, meal)",chicken paprika,2,1.0,2,3,0
WordNetFood_SUB,"dish (dish, meal)",bun,6,1.0,1,1,1
WordNetFood_SUB,"dish (dish, meal)",baked goods,28,1.0,1,1,1
WordNetFood_SUB,"dish (dish, meal)",cake,4,1.0,2,2,1
WordNetFood_SUB,"dish (dish, meal)",course,2,1.0,1,1,1
WordNetFood_SUB,"food (food, foodstuff, nutriment)",lobster tart,1,1.0,2,5,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",beef jerky,1,1.0,2,5,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",lobster tail,1,1.0,2,5,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",rice,2,1.0,2,6,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",legume,4,1.0,2,6,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",sweet roll,2,1.0,2,5,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",chowder,2,1.0,2,5,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",clam chowder,1,1.0,2,5,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",herb,2,1.0,2,6,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",salad green,3,1.0,2,6,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",beer,4,1.0,2,5,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",scampi,1,1.0,2,5,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",sandwich,2,1.0,2,5,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",greens,4,1.0,2,6,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",ingredient,57,1.0,2,5,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",field pea,2,1.0,2,6,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",meat,9,1.0,2,6,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",produce,24,1.0,2,6,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",pork,2,1.0,2,6,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",vegetable,11,1.0,2,6,0
WordNetFood_SUB,"food (food, foodstuff, nutriment)",dairy product,4,1.0,2,6,0
