dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
WordNetFood_SUB,tart,lobster tart,6,1.0,2,6,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",lobster tart,3,1.0,2,18,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",beef jerky,3,1.0,2,15,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",chowder,6,1.0,2,13,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",clam chowder,3,1.0,2,15,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",sandwich,6,1.0,2,17,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",tart,6,1.0,2,19,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",applesauce cake,3,1.0,2,14,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",bear claw,3,1.0,2,14,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",sweet roll,6,1.0,2,11,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",scampi,3,1.0,2,10,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",jerky,6,1.0,2,11,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",pie,6,1.0,2,11,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",pastry,33,1.0,2,21,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",cochon de lait,3,1.0,2,12,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",snack food,21,1.0,2,18,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",gyro,3,1.0,2,13,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",course,36,1.0,2,8,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",corn pudding,3,1.0,2,15,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",soup,9,1.0,2,25,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",cookie,6,1.0,2,18,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",dessert,30,1.0,2,18,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",squash pie,3,1.0,2,15,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",pudding,6,1.0,2,15,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",chicken paprika,3,1.0,2,12,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",bun,3,1.0,2,12,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",baked goods,42,1.0,2,19,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",cake,6,1.0,2,19,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",soul food,3,1.0,2,13,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",bread,12,1.0,2,14,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",lobster tail,3,1.0,2,12,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",rice,6,1.0,2,11,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",legume,12,1.0,2,10,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",salad green,9,1.0,2,11,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",beer,12,1.0,1,4,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",greens,12,1.0,2,13,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",ingredient,141,1.0,1,4,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",field pea,6,1.0,2,11,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",meat,36,1.0,2,13,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",produce,63,1.0,2,5,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",pork,6,1.0,2,14,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",vegetable,27,1.0,2,12,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",dairy product,12,1.0,2,9,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",orange,9,1.0,2,13,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",cheese,6,1.0,2,11,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",sauce,6,1.0,2,10,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",gingersnap,3,1.0,2,9,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",boysenberry,3,1.0,2,9,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",grain,9,1.0,2,11,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",berry,12,1.0,2,11,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",pea flour,3,1.0,2,11,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",raspberry,3,1.0,2,11,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",meal,3,1.0,2,10,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",flavorer,18,1.0,1,7,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",shellfish,15,1.0,2,9,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",condiment,12,1.0,2,8,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",sweet orange,6,1.0,2,11,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",koumiss,3,1.0,2,8,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",edible fruit,24,1.0,2,13,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",cut,9,1.0,1,10,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",octopus,3,1.0,2,9,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",chocolate candy,3,1.0,2,9,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",navel orange,3,1.0,2,9,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",cut of beef,3,1.0,2,11,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",anchovy sauce,3,1.0,2,9,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",cos,3,1.0,1,2,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",starches,24,1.0,2,8,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",spruce beer,3,1.0,2,7,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",citrus,12,1.0,2,11,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",freshwater fish,3,1.0,2,9,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",camembert,3,1.0,2,11,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",egg,3,1.0,2,11,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",lettuce,6,1.0,2,11,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",chocolate,6,1.0,2,11,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",marrowfat pea,3,1.0,2,11,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",ale,6,1.0,1,6,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",brown rice,3,1.0,2,9,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",beverage,24,1.0,2,6,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",elderberry,3,1.0,2,9,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",seafood,30,1.0,2,16,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",herb,6,1.0,1,4,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",pale ale,3,1.0,2,3,0
WordNetFood_SUB,"dish (dish, fare, food, foodstuff)",alcohol,18,1.0,2,3,0
